x,y
530.0,570.0
530.0,570.0
532.0,543.0
532.0,504.0
532.0,504.0
529.0,425.0
529.0,402.0
529.0,402.0
530.0,394.0
534.0,423.0
538.0,442.0
538.0,442.0
553.0,466.0
558.0,463.0
558.0,463.0
561.0,455.0
559.0,411.0
561.0,403.0
560.0,394.0
593.0,393.0
593.0,393.0
598.0,401.0
605.0,407.0
619.0,458.0
616.0,460.0
607.0,461.0
599.0,455.0
593.0,446.0
580.0,409.0
584.0,389.0
592.0,389.0
599.0,393.0
605.0,398.0
610.0,407.0
614.0,419.0
622.0,458.0
619.0,462.0
619.0,462.0
615.0,448.0
614.0,438.0
614.0,427.0
627.0,392.0
636.0,393.0
643.0,399.0
650.0,409.0
657.0,420.0
664.0,435.0
674.0,467.0
673.0,459.0
672.0,448.0
671.0,434.0
670.0,418.0
674.0,338.0
675.0,315.0
676.0,302.0
677.0,292.0
678.0,289.0
680.0,338.0
680.0,355.0
679.0,372.0
691.0,433.0
696.0,445.0
703.0,455.0
710.0,461.0
715.0,462.0
720.0,460.0
723.0,420.0
725.0,408.0
725.0,398.0
729.0,394.0
734.0,393.0
739.0,393.0
759.0,419.0
755.0,426.0
748.0,429.0
735.0,434.0
722.0,437.0
647.0,452.0
629.0,456.0
615.0,458.0
603.0,463.0
591.0,468.0
584.0,472.0
582.0,494.0
590.0,501.0
595.0,511.0
603.0,519.0
607.0,525.0
612.0,530.0
614.0,531.0
633.0,496.0
638.0,491.0
640.0,485.0
641.0,487.0
642.0,489.0
648.0,513.0
655.0,522.0
667.0,528.0
681.0,535.0
698.0,545.0
710.0,552.0
720.0,558.0
718.0,547.0
716.0,537.0
714.0,527.0
715.0,515.0
719.0,503.0
758.0,460.0
774.0,455.0
791.0,451.0
808.0,447.0
825.0,447.0
841.0,449.0
867.0,464.0
859.0,464.0
850.0,462.0
838.0,453.0
828.0,445.0
821.0,430.0
819.0,420.0
844.0,392.0
856.0,394.0
864.0,399.0
873.0,411.0
879.0,425.0
887.0,506.0
888.0,525.0
888.0,541.0
888.0,553.0
887.0,563.0
886.0,567.0
884.0,568.0
882.0,563.0
878.0,504.0
880.0,484.0
881.0,466.0
881.0,447.0
881.0,430.0
888.0,399.0
893.0,398.0
900.0,402.0
910.0,408.0
918.0,413.0
927.0,422.0
935.0,431.0
945.0,465.0
939.0,473.0
932.0,476.0
925.0,474.0
918.0,468.0
899.0,421.0
903.0,412.0
902.0,403.0
905.0,399.0
910.0,397.0
932.0,427.0
937.0,437.0
937.0,446.0
939.0,454.0
940.0,457.0
941.0,454.0
940.0,448.0
945.0,405.0
949.0,399.0
953.0,398.0
957.0,401.0
963.0,407.0
993.0,455.0
999.0,462.0
1001.0,469.0
1003.0,472.0
1002.0,469.0
1001.0,463.0
1000.0,454.0
992.0,402.0
992.0,395.0
990.0,394.0
992.0,397.0
994.0,404.0
1000.0,414.0
1005.0,426.0
1034.0,463.0
1037.0,466.0
1040.0,466.0
1040.0,462.0
1038.0,456.0
1029.0,410.0
1030.0,398.0
1031.0,389.0
1032.0,380.0
1036.0,377.0
1042.0,379.0
1061.0,396.0
1064.0,401.0
1058.0,407.0
1053.0,413.0
1044.0,420.0
1029.0,427.0
962.0,464.0
945.0,472.0
932.0,480.0
920.0,487.0
915.0,493.0
911.0,498.0
913.0,503.0
943.0,527.0
952.0,530.0
957.0,527.0
964.0,524.0
970.0,514.0
985.0,483.0
985.0,485.0
979.0,495.0
975.0,504.0
975.0,504.0
969.0,513.0
974.0,541.0
980.0,546.0
988.0,550.0
994.0,553.0
1004.0,551.0
1016.0,541.0
1032.0,514.0
1036.0,508.0
1044.0,508.0
1050.0,506.0
1074.0,525.0
1081.0,540.0
1083.0,545.0
