x,y
486.0,476.0
486.0,476.0
491.0,487.0
515.0,515.0
529.0,541.0
529.0,541.0
540.0,578.0
540.0,578.0
549.0,619.0
551.0,641.0
551.0,641.0
535.0,632.0
526.0,575.0
524.0,525.0
523.0,501.0
521.0,475.0
523.0,412.0
524.0,396.0
522.0,388.0
521.0,387.0
521.0,393.0
538.0,461.0
538.0,461.0
546.0,471.0
573.0,477.0
575.0,467.0
576.0,458.0
573.0,447.0
571.0,428.0
572.0,421.0
577.0,418.0
603.0,424.0
613.0,430.0
629.0,437.0
649.0,447.0
662.0,452.0
671.0,463.0
680.0,480.0
678.0,486.0
649.0,483.0
637.0,479.0
628.0,469.0
622.0,459.0
618.0,450.0
618.0,437.0
621.0,424.0
670.0,403.0
677.0,411.0
688.0,423.0
688.0,423.0
694.0,433.0
684.0,473.0
675.0,476.0
673.0,471.0
669.0,466.0
671.0,459.0
676.0,457.0
697.0,457.0
708.0,458.0
729.0,465.0
751.0,472.0
760.0,471.0
766.0,475.0
771.0,473.0
779.0,470.0
779.0,471.0
775.0,471.0
769.0,472.0
763.0,474.0
745.0,470.0
739.0,466.0
726.0,441.0
726.0,435.0
729.0,429.0
729.0,429.0
733.0,422.0
740.0,415.0
743.0,409.0
779.0,414.0
777.0,413.0
776.0,414.0
767.0,411.0
759.0,415.0
717.0,396.0
691.0,379.0
681.0,372.0
671.0,365.0
663.0,353.0
659.0,348.0
658.0,351.0
658.0,351.0
668.0,361.0
677.0,365.0
709.0,386.0
786.0,412.0
804.0,413.0
817.0,418.0
835.0,418.0
846.0,418.0
858.0,420.0
858.0,420.0
867.0,419.0
919.0,439.0
928.0,454.0
935.0,469.0
940.0,481.0
942.0,496.0
936.0,528.0
928.0,525.0
926.0,515.0
924.0,505.0
926.0,490.0
932.0,480.0
970.0,453.0
977.0,448.0
981.0,444.0
984.0,437.0
971.0,413.0
967.0,415.0
957.0,414.0
951.0,417.0
944.0,418.0
936.0,421.0
926.0,423.0
929.0,420.0
937.0,419.0
943.0,415.0
953.0,411.0
962.0,414.0
972.0,412.0
976.0,416.0
984.0,427.0
1003.0,473.0
1004.0,482.0
1001.0,480.0
1005.0,479.0
1003.0,474.0
998.0,433.0
994.0,423.0
994.0,414.0
995.0,409.0
995.0,409.0
1012.0,421.0
1019.0,426.0
1027.0,438.0
1032.0,449.0
1034.0,461.0
1037.0,470.0
1035.0,478.0
1034.0,475.0
1034.0,468.0
1036.0,457.0
1032.0,444.0
1031.0,436.0
1030.0,429.0
1024.0,426.0
1025.0,432.0
1027.0,434.0
1032.0,443.0
1036.0,455.0
1038.0,464.0
1044.0,470.0
1067.0,480.0
1072.0,475.0
1073.0,468.0
1074.0,464.0
1072.0,454.0
1071.0,445.0
1070.0,436.0
1071.0,413.0
1076.0,414.0
1080.0,413.0
1083.0,416.0
1091.0,426.0
1101.0,437.0
1110.0,452.0
1125.0,527.0
1132.0,549.0
1140.0,563.0
1149.0,582.0
1152.0,601.0
1156.0,618.0
1142.0,677.0
1133.0,681.0
1130.0,679.0
1122.0,669.0
1121.0,663.0
1123.0,647.0
1121.0,628.0
1125.0,514.0
1126.0,497.0
1124.0,478.0
1124.0,463.0
1124.0,454.0
1120.0,445.0
1107.0,420.0
1108.0,419.0
1108.0,416.0
1109.0,422.0
1109.0,425.0
1111.0,435.0
1113.0,444.0
1132.0,487.0
1138.0,496.0
1140.0,501.0
1149.0,507.0
1152.0,510.0
1165.0,488.0
1166.0,476.0
1167.0,465.0
1168.0,455.0
1164.0,443.0
1165.0,433.0
1176.0,412.0
1178.0,413.0
1178.0,419.0
1174.0,419.0
1171.0,428.0
1165.0,435.0
1158.0,445.0
1111.0,485.0
1094.0,495.0
1083.0,505.0
1073.0,512.0
1059.0,518.0
1049.0,524.0
1042.0,529.0
1034.0,531.0
1021.0,539.0
1018.0,539.0
