x,y
525.0,549.0
525.0,549.0
527.0,535.0
530.0,496.0
531.0,465.0
531.0,465.0
530.0,445.0
530.0,445.0
541.0,397.0
547.0,379.0
548.0,378.0
548.0,378.0
542.0,397.0
544.0,413.0
551.0,426.0
551.0,426.0
575.0,451.0
573.0,450.0
568.0,444.0
562.0,440.0
550.0,423.0
549.0,421.0
551.0,415.0
555.0,411.0
558.0,407.0
569.0,396.0
589.0,393.0
589.0,393.0
605.0,441.0
610.0,459.0
614.0,479.0
623.0,516.0
623.0,529.0
622.0,537.0
621.0,542.0
618.0,524.0
615.0,509.0
615.0,493.0
612.0,476.0
612.0,458.0
610.0,420.0
611.0,405.0
606.0,397.0
606.0,397.0
608.0,405.0
609.0,417.0
615.0,427.0
621.0,434.0
641.0,434.0
642.0,425.0
640.0,414.0
641.0,401.0
651.0,389.0
657.0,389.0
662.0,394.0
673.0,411.0
678.0,423.0
681.0,433.0
683.0,442.0
684.0,447.0
683.0,434.0
683.0,428.0
684.0,418.0
685.0,407.0
691.0,394.0
694.0,391.0
693.0,411.0
691.0,421.0
691.0,433.0
691.0,433.0
690.0,445.0
687.0,489.0
688.0,486.0
687.0,482.0
687.0,473.0
685.0,464.0
694.0,433.0
698.0,426.0
703.0,421.0
722.0,417.0
731.0,415.0
739.0,412.0
751.0,409.0
759.0,407.0
766.0,406.0
793.0,406.0
793.0,406.0
797.0,407.0
806.0,438.0
811.0,463.0
811.0,457.0
812.0,447.0
811.0,435.0
810.0,420.0
812.0,408.0
814.0,393.0
815.0,400.0
815.0,410.0
835.0,449.0
844.0,454.0
851.0,454.0
851.0,454.0
855.0,446.0
855.0,438.0
854.0,425.0
862.0,390.0
869.0,389.0
873.0,391.0
884.0,390.0
891.0,396.0
902.0,401.0
910.0,411.0
918.0,444.0
911.0,448.0
903.0,448.0
895.0,446.0
888.0,441.0
883.0,432.0
881.0,421.0
892.0,384.0
897.0,382.0
902.0,388.0
907.0,393.0
912.0,402.0
916.0,442.0
917.0,445.0
915.0,438.0
913.0,430.0
911.0,420.0
913.0,407.0
918.0,397.0
940.0,392.0
945.0,397.0
953.0,403.0
962.0,408.0
974.0,412.0
982.0,418.0
981.0,437.0
974.0,435.0
966.0,432.0
961.0,426.0
958.0,417.0
953.0,405.0
950.0,396.0
952.0,387.0
971.0,372.0
977.0,375.0
982.0,381.0
983.0,389.0
983.0,397.0
970.0,439.0
962.0,450.0
951.0,462.0
935.0,472.0
923.0,482.0
909.0,492.0
873.0,518.0
872.0,520.0
872.0,520.0
878.0,516.0
884.0,510.0
892.0,507.0
906.0,499.0
942.0,481.0
947.0,477.0
950.0,476.0
