x,y
501.0,494.0
502.0,498.0
505.0,502.0
510.0,506.0
556.0,564.0
566.0,581.0
570.0,595.0
578.0,611.0
578.0,611.0
587.0,643.0
586.0,648.0
581.0,635.0
575.0,625.0
571.0,612.0
569.0,593.0
553.0,524.0
551.0,500.0
549.0,475.0
545.0,449.0
543.0,434.0
534.0,379.0
531.0,381.0
532.0,387.0
532.0,395.0
538.0,429.0
542.0,439.0
558.0,462.0
564.0,475.0
574.0,483.0
581.0,487.0
586.0,491.0
590.0,476.0
586.0,467.0
580.0,457.0
576.0,451.0
568.0,446.0
563.0,445.0
576.0,447.0
579.0,440.0
577.0,432.0
578.0,424.0
578.0,424.0
581.0,416.0
595.0,412.0
602.0,420.0
606.0,431.0
611.0,446.0
620.0,461.0
624.0,478.0
648.0,534.0
655.0,566.0
658.0,578.0
658.0,594.0
659.0,603.0
657.0,608.0
657.0,609.0
653.0,606.0
650.0,594.0
640.0,549.0
635.0,507.0
631.0,482.0
629.0,466.0
630.0,445.0
626.0,400.0
627.0,399.0
629.0,403.0
629.0,409.0
629.0,409.0
636.0,428.0
641.0,436.0
661.0,456.0
665.0,453.0
664.0,444.0
663.0,435.0
660.0,422.0
659.0,411.0
657.0,397.0
655.0,391.0
670.0,391.0
676.0,397.0
682.0,405.0
687.0,416.0
694.0,426.0
700.0,435.0
705.0,444.0
702.0,444.0
700.0,431.0
696.0,422.0
693.0,411.0
692.0,397.0
694.0,387.0
714.0,384.0
721.0,391.0
729.0,400.0
737.0,406.0
743.0,416.0
748.0,427.0
751.0,433.0
747.0,429.0
745.0,421.0
744.0,411.0
743.0,403.0
743.0,394.0
746.0,386.0
748.0,378.0
773.0,377.0
779.0,375.0
791.0,374.0
793.0,373.0
808.0,372.0
818.0,372.0
830.0,375.0
848.0,419.0
850.0,434.0
852.0,445.0
851.0,449.0
852.0,451.0
853.0,449.0
850.0,441.0
846.0,392.0
842.0,381.0
838.0,369.0
835.0,353.0
837.0,340.0
833.0,330.0
832.0,284.0
829.0,279.0
828.0,275.0
828.0,274.0
825.0,272.0
823.0,274.0
821.0,279.0
826.0,328.0
838.0,355.0
846.0,371.0
844.0,382.0
855.0,403.0
862.0,416.0
865.0,431.0
886.0,459.0
893.0,462.0
897.0,460.0
903.0,457.0
904.0,453.0
905.0,447.0
906.0,441.0
888.0,413.0
882.0,409.0
879.0,407.0
871.0,403.0
868.0,403.0
863.0,402.0
860.0,404.0
856.0,407.0
861.0,413.0
865.0,407.0
866.0,404.0
870.0,400.0
874.0,399.0
880.0,400.0
916.0,446.0
926.0,462.0
933.0,478.0
941.0,499.0
948.0,520.0
953.0,538.0
972.0,605.0
976.0,617.0
981.0,629.0
979.0,644.0
979.0,637.0
970.0,631.0
956.0,545.0
950.0,522.0
948.0,501.0
943.0,475.0
936.0,458.0
933.0,442.0
929.0,429.0
913.0,406.0
911.0,404.0
914.0,406.0
914.0,407.0
919.0,410.0
924.0,417.0
950.0,452.0
957.0,460.0
964.0,465.0
971.0,465.0
972.0,462.0
975.0,457.0
976.0,450.0
968.0,423.0
965.0,415.0
966.0,405.0
968.0,406.0
971.0,401.0
976.0,402.0
981.0,407.0
990.0,413.0
1026.0,440.0
1034.0,447.0
1039.0,457.0
1048.0,465.0
1046.0,471.0
1044.0,472.0
1011.0,442.0
1008.0,431.0
1005.0,418.0
1009.0,406.0
1012.0,399.0
1015.0,394.0
1027.0,395.0
1052.0,419.0
1050.0,424.0
1056.0,433.0
1059.0,440.0
1055.0,468.0
1043.0,470.0
1035.0,474.0
1025.0,475.0
1018.0,473.0
1006.0,470.0
998.0,471.0
999.0,480.0
999.0,487.0
1009.0,498.0
1015.0,504.0
1019.0,514.0
1024.0,520.0
1034.0,526.0
1056.0,523.0
1060.0,517.0
1066.0,508.0
1069.0,499.0
1075.0,484.0
1090.0,487.0
1085.0,498.0
1085.0,498.0
1086.0,505.0
1088.0,508.0
1110.0,532.0
1117.0,535.0
1128.0,538.0
1137.0,542.0
1144.0,547.0
1145.0,549.0
1147.0,547.0
