x,y
569.0,378.0
576.0,387.0
589.0,409.0
593.0,426.0
599.0,446.0
602.0,465.0
606.0,514.0
605.0,526.0
602.0,533.0
597.0,534.0
594.0,528.0
593.0,500.0
593.0,479.0
589.0,406.0
585.0,379.0
586.0,355.0
584.0,333.0
584.0,319.0
585.0,307.0
588.0,301.0
590.0,309.0
590.0,320.0
590.0,320.0
597.0,359.0
604.0,364.0
612.0,372.0
626.0,375.0
630.0,371.0
632.0,366.0
631.0,357.0
613.0,340.0
607.0,336.0
603.0,335.0
599.0,336.0
601.0,336.0
608.0,332.0
613.0,324.0
615.0,319.0
620.0,312.0
637.0,303.0
643.0,307.0
651.0,310.0
657.0,318.0
662.0,328.0
670.0,345.0
674.0,356.0
675.0,366.0
673.0,364.0
671.0,335.0
671.0,335.0
675.0,323.0
679.0,312.0
684.0,304.0
698.0,305.0
721.0,347.0
721.0,355.0
723.0,358.0
722.0,357.0
722.0,357.0
723.0,352.0
722.0,343.0
723.0,327.0
722.0,242.0
718.0,226.0
717.0,211.0
713.0,194.0
711.0,183.0
701.0,149.0
697.0,149.0
700.0,161.0
699.0,177.0
697.0,190.0
698.0,208.0
700.0,223.0
706.0,241.0
724.0,284.0
733.0,299.0
746.0,318.0
749.0,328.0
747.0,339.0
744.0,349.0
736.0,360.0
695.0,415.0
686.0,425.0
677.0,435.0
677.0,435.0
671.0,443.0
673.0,441.0
676.0,436.0
684.0,429.0
725.0,389.0
738.0,377.0
749.0,368.0
760.0,360.0
760.0,360.0
780.0,347.0
791.0,342.0
801.0,339.0
821.0,349.0
826.0,359.0
829.0,371.0
832.0,387.0
837.0,401.0
843.0,420.0
847.0,441.0
855.0,496.0
856.0,504.0
857.0,505.0
856.0,503.0
857.0,495.0
854.0,482.0
850.0,406.0
851.0,384.0
850.0,366.0
849.0,350.0
847.0,335.0
846.0,323.0
843.0,314.0
842.0,308.0
844.0,314.0
845.0,324.0
846.0,332.0
853.0,343.0
858.0,352.0
863.0,359.0
869.0,364.0
879.0,353.0
878.0,344.0
878.0,335.0
877.0,327.0
880.0,320.0
884.0,316.0
890.0,314.0
925.0,326.0
932.0,335.0
937.0,342.0
943.0,351.0
942.0,357.0
939.0,362.0
932.0,364.0
923.0,365.0
897.0,326.0
900.0,318.0
905.0,309.0
910.0,306.0
922.0,309.0
928.0,316.0
935.0,325.0
939.0,362.0
935.0,362.0
936.0,361.0
933.0,352.0
932.0,339.0
932.0,321.0
938.0,311.0
959.0,323.0
964.0,335.0
966.0,346.0
971.0,358.0
974.0,367.0
978.0,373.0
980.0,375.0
976.0,313.0
974.0,302.0
974.0,300.0
974.0,301.0
976.0,311.0
981.0,324.0
986.0,337.0
1015.0,369.0
1022.0,370.0
1024.0,367.0
1022.0,360.0
1022.0,355.0
1021.0,346.0
1021.0,335.0
1031.0,304.0
1032.0,301.0
1033.0,300.0
1032.0,301.0
1029.0,301.0
1023.0,300.0
1015.0,302.0
1005.0,301.0
956.0,272.0
940.0,264.0
930.0,254.0
923.0,250.0
917.0,244.0
913.0,244.0
911.0,243.0
