x,y
550.0,541.0
550.0,539.0
550.0,531.0
550.0,520.0
548.0,469.0
546.0,450.0
550.0,431.0
550.0,411.0
550.0,399.0
552.0,385.0
553.0,370.0
552.0,377.0
554.0,384.0
558.0,395.0
575.0,425.0
587.0,438.0
594.0,441.0
597.0,441.0
598.0,440.0
571.0,426.0
571.0,426.0
565.0,421.0
563.0,417.0
563.0,414.0
585.0,390.0
589.0,388.0
595.0,390.0
598.0,392.0
602.0,396.0
607.0,405.0
617.0,430.0
617.0,432.0
615.0,427.0
616.0,417.0
615.0,407.0
616.0,399.0
619.0,390.0
631.0,394.0
638.0,404.0
644.0,412.0
651.0,430.0
652.0,434.0
654.0,433.0
655.0,427.0
642.0,374.0
634.0,341.0
634.0,341.0
627.0,315.0
623.0,309.0
619.0,305.0
616.0,325.0
618.0,334.0
625.0,346.0
634.0,355.0
644.0,366.0
644.0,366.0
651.0,381.0
664.0,458.0
659.0,472.0
650.0,483.0
643.0,491.0
637.0,500.0
621.0,514.0
615.0,513.0
614.0,512.0
614.0,512.0
618.0,506.0
623.0,502.0
629.0,499.0
661.0,484.0
670.0,476.0
677.0,472.0
680.0,469.0
683.0,457.0
684.0,448.0
687.0,439.0
704.0,409.0
712.0,407.0
719.0,411.0
729.0,414.0
739.0,421.0
744.0,429.0
751.0,438.0
764.0,454.0
765.0,448.0
761.0,438.0
763.0,428.0
761.0,414.0
756.0,406.0
761.0,414.0
769.0,422.0
775.0,433.0
780.0,440.0
785.0,443.0
794.0,426.0
793.0,416.0
791.0,406.0
792.0,400.0
794.0,397.0
802.0,394.0
842.0,416.0
849.0,422.0
856.0,430.0
858.0,437.0
861.0,446.0
856.0,451.0
850.0,451.0
822.0,427.0
821.0,419.0
823.0,409.0
825.0,400.0
827.0,393.0
833.0,391.0
837.0,395.0
845.0,400.0
860.0,436.0
859.0,439.0
857.0,436.0
857.0,426.0
851.0,416.0
837.0,348.0
833.0,328.0
827.0,316.0
824.0,303.0
818.0,301.0
812.0,301.0
812.0,306.0
829.0,358.0
843.0,377.0
854.0,398.0
867.0,418.0
879.0,437.0
891.0,461.0
901.0,483.0
911.0,508.0
929.0,564.0
926.0,565.0
923.0,564.0
919.0,554.0
915.0,537.0
908.0,520.0
892.0,439.0
896.0,420.0
903.0,409.0
900.0,399.0
902.0,395.0
904.0,396.0
913.0,430.0
919.0,437.0
925.0,447.0
931.0,447.0
933.0,448.0
937.0,446.0
934.0,435.0
936.0,403.0
936.0,397.0
940.0,397.0
947.0,398.0
948.0,399.0
954.0,406.0
967.0,439.0
970.0,442.0
970.0,443.0
969.0,439.0
970.0,432.0
966.0,420.0
966.0,411.0
971.0,383.0
980.0,400.0
984.0,411.0
984.0,420.0
983.0,476.0
977.0,489.0
973.0,504.0
977.0,532.0
984.0,536.0
989.0,537.0
983.0,533.0
973.0,505.0
968.0,496.0
963.0,488.0
955.0,481.0
942.0,474.0
943.0,474.0
942.0,476.0
