x,y
584.0,400.0
597.0,409.0
617.0,438.0
624.0,453.0
627.0,469.0
632.0,495.0
631.0,505.0
628.0,512.0
624.0,516.0
621.0,510.0
610.0,476.0
608.0,458.0
609.0,437.0
607.0,421.0
613.0,377.0
610.0,355.0
612.0,325.0
608.0,325.0
608.0,333.0
607.0,344.0
605.0,355.0
607.0,366.0
639.0,398.0
642.0,398.0
643.0,391.0
640.0,385.0
623.0,370.0
620.0,370.0
617.0,371.0
620.0,374.0
623.0,372.0
627.0,367.0
629.0,360.0
634.0,353.0
645.0,340.0
649.0,344.0
655.0,348.0
661.0,354.0
667.0,371.0
671.0,378.0
672.0,381.0
672.0,384.0
671.0,376.0
669.0,348.0
673.0,344.0
676.0,337.0
682.0,338.0
694.0,348.0
697.0,354.0
700.0,366.0
701.0,374.0
699.0,359.0
699.0,359.0
698.0,348.0
699.0,333.0
700.0,319.0
700.0,291.0
705.0,276.0
696.0,226.0
695.0,223.0
691.0,224.0
688.0,226.0
688.0,226.0
687.0,238.0
684.0,245.0
694.0,295.0
700.0,305.0
710.0,316.0
718.0,328.0
723.0,336.0
731.0,356.0
720.0,365.0
714.0,367.0
705.0,371.0
694.0,379.0
686.0,384.0
679.0,390.0
672.0,397.0
659.0,416.0
660.0,423.0
666.0,426.0
671.0,425.0
676.0,419.0
681.0,415.0
683.0,408.0
686.0,403.0
685.0,398.0
705.0,399.0
705.0,399.0
714.0,411.0
717.0,414.0
720.0,421.0
723.0,424.0
728.0,416.0
731.0,415.0
731.0,408.0
733.0,403.0
737.0,399.0
740.0,394.0
747.0,390.0
751.0,387.0
758.0,380.0
779.0,370.0
788.0,369.0
788.0,369.0
792.0,374.0
792.0,374.0
795.0,379.0
797.0,388.0
801.0,395.0
801.0,395.0
803.0,395.0
803.0,395.0
800.0,385.0
797.0,369.0
797.0,369.0
794.0,344.0
792.0,340.0
793.0,347.0
793.0,347.0
798.0,360.0
798.0,360.0
811.0,387.0
815.0,387.0
815.0,375.0
815.0,375.0
814.0,364.0
814.0,364.0
819.0,337.0
819.0,337.0
832.0,340.0
846.0,349.0
846.0,349.0
857.0,360.0
857.0,360.0
854.0,381.0
843.0,387.0
843.0,387.0
834.0,382.0
827.0,373.0
827.0,373.0
830.0,344.0
839.0,339.0
848.0,343.0
848.0,343.0
857.0,354.0
857.0,354.0
861.0,368.0
861.0,368.0
862.0,378.0
861.0,359.0
866.0,346.0
866.0,346.0
871.0,340.0
871.0,340.0
877.0,345.0
877.0,345.0
882.0,356.0
895.0,386.0
895.0,383.0
895.0,383.0
896.0,367.0
896.0,367.0
898.0,361.0
898.0,361.0
904.0,379.0
904.0,379.0
914.0,388.0
914.0,388.0
921.0,390.0
925.0,374.0
925.0,363.0
925.0,363.0
928.0,352.0
935.0,347.0
935.0,347.0
956.0,350.0
964.0,360.0
964.0,360.0
965.0,374.0
959.0,384.0
959.0,384.0
948.0,387.0
948.0,387.0
934.0,372.0
934.0,354.0
934.0,354.0
939.0,343.0
945.0,335.0
945.0,335.0
963.0,347.0
966.0,359.0
966.0,359.0
966.0,367.0
966.0,367.0
965.0,367.0
966.0,351.0
966.0,351.0
966.0,309.0
968.0,287.0
967.0,269.0
967.0,269.0
967.0,250.0
967.0,250.0
961.0,235.0
943.0,232.0
938.0,242.0
938.0,242.0
938.0,258.0
938.0,258.0
955.0,297.0
965.0,317.0
976.0,335.0
976.0,335.0
982.0,346.0
982.0,346.0
958.0,367.0
938.0,374.0
913.0,379.0
913.0,379.0
887.0,387.0
887.0,387.0
846.0,412.0
832.0,424.0
822.0,433.0
822.0,433.0
818.0,435.0
818.0,435.0
820.0,433.0
820.0,433.0
824.0,426.0
842.0,404.0
854.0,400.0
854.0,400.0
868.0,403.0
868.0,403.0
880.0,417.0
890.0,437.0
889.0,436.0
889.0,436.0
