x,y
469.0,515.0
465.0,506.0
465.0,501.0
466.0,493.0
466.0,465.0
466.0,458.0
467.0,459.0
468.0,465.0
471.0,478.0
478.0,496.0
503.0,514.0
506.0,511.0
502.0,475.0
499.0,465.0
499.0,462.0
498.0,468.0
502.0,477.0
507.0,486.0
514.0,496.0
539.0,507.0
539.0,507.0
541.0,502.0
540.0,492.0
546.0,458.0
553.0,463.0
563.0,468.0
574.0,473.0
585.0,484.0
615.0,508.0
613.0,521.0
607.0,520.0
600.0,517.0
592.0,509.0
587.0,501.0
580.0,490.0
586.0,455.0
586.0,455.0
593.0,457.0
600.0,467.0
615.0,489.0
617.0,506.0
614.0,502.0
613.0,494.0
612.0,480.0
614.0,472.0
616.0,465.0
616.0,465.0
622.0,459.0
649.0,490.0
650.0,503.0
651.0,508.0
651.0,508.0
645.0,481.0
647.0,460.0
648.0,455.0
654.0,454.0
659.0,456.0
665.0,469.0
672.0,477.0
680.0,496.0
677.0,488.0
675.0,478.0
672.0,456.0
668.0,436.0
667.0,420.0
661.0,397.0
644.0,337.0
637.0,337.0
637.0,339.0
635.0,346.0
634.0,358.0
634.0,371.0
639.0,381.0
684.0,447.0
690.0,462.0
693.0,475.0
693.0,487.0
690.0,500.0
684.0,508.0
675.0,517.0
645.0,529.0
641.0,530.0
643.0,532.0
648.0,535.0
655.0,541.0
667.0,548.0
681.0,554.0
730.0,585.0
733.0,589.0
736.0,590.0
738.0,589.0
737.0,583.0
716.0,541.0
712.0,526.0
715.0,510.0
714.0,495.0
717.0,479.0
724.0,471.0
732.0,460.0
773.0,449.0
779.0,454.0
789.0,459.0
794.0,466.0
798.0,477.0
803.0,487.0
811.0,501.0
823.0,562.0
822.0,568.0
817.0,571.0
813.0,566.0
814.0,554.0
812.0,543.0
811.0,526.0
806.0,454.0
808.0,441.0
810.0,438.0
809.0,442.0
811.0,448.0
810.0,454.0
785.0,498.0
777.0,498.0
773.0,498.0
770.0,495.0
769.0,494.0
770.0,496.0
780.0,496.0
816.0,503.0
824.0,503.0
834.0,506.0
841.0,505.0
848.0,507.0
853.0,509.0
855.0,508.0
851.0,511.0
849.0,510.0
847.0,505.0
846.0,503.0
845.0,502.0
846.0,500.0
846.0,499.0
846.0,474.0
846.0,465.0
846.0,458.0
847.0,450.0
854.0,448.0
860.0,454.0
889.0,495.0
895.0,504.0
895.0,504.0
896.0,506.0
893.0,502.0
893.0,494.0
893.0,485.0
889.0,446.0
887.0,445.0
890.0,448.0
890.0,454.0
896.0,463.0
897.0,478.0
919.0,509.0
923.0,506.0
925.0,501.0
926.0,495.0
924.0,485.0
923.0,475.0
921.0,464.0
920.0,457.0
934.0,453.0
942.0,463.0
947.0,474.0
955.0,490.0
960.0,506.0
969.0,524.0
989.0,588.0
995.0,605.0
993.0,614.0
988.0,623.0
985.0,627.0
981.0,629.0
971.0,587.0
970.0,570.0
968.0,552.0
964.0,534.0
961.0,509.0
958.0,487.0
958.0,441.0
960.0,444.0
963.0,454.0
967.0,464.0
969.0,472.0
971.0,484.0
977.0,492.0
999.0,500.0
1001.0,495.0
999.0,486.0
999.0,481.0
999.0,471.0
1000.0,462.0
1003.0,441.0
1003.0,442.0
999.0,446.0
997.0,453.0
989.0,462.0
980.0,472.0
964.0,487.0
906.0,517.0
889.0,517.0
879.0,520.0
871.0,524.0
864.0,527.0
863.0,530.0
862.0,533.0
882.0,545.0
893.0,548.0
907.0,554.0
918.0,560.0
923.0,564.0
