x,y
389.0,546.0
393.0,541.0
396.0,543.0
399.0,542.0
398.0,518.0
395.0,508.0
396.0,498.0
394.0,481.0
392.0,471.0
394.0,467.0
393.0,469.0
402.0,514.0
409.0,522.0
414.0,530.0
418.0,532.0
425.0,531.0
432.0,510.0
430.0,499.0
431.0,485.0
428.0,473.0
427.0,466.0
427.0,462.0
428.0,466.0
438.0,506.0
443.0,512.0
451.0,520.0
455.0,522.0
470.0,507.0
472.0,498.0
474.0,491.0
474.0,483.0
476.0,473.0
478.0,467.0
504.0,471.0
510.0,476.0
516.0,482.0
525.0,494.0
531.0,506.0
536.0,518.0
538.0,529.0
516.0,533.0
508.0,527.0
503.0,517.0
499.0,505.0
495.0,493.0
497.0,483.0
500.0,474.0
536.0,516.0
538.0,522.0
538.0,526.0
537.0,525.0
535.0,496.0
536.0,488.0
538.0,481.0
540.0,473.0
547.0,464.0
550.0,467.0
553.0,471.0
559.0,477.0
577.0,516.0
582.0,521.0
583.0,521.0
586.0,522.0
586.0,517.0
587.0,510.0
589.0,490.0
587.0,462.0
586.0,462.0
586.0,466.0
587.0,474.0
587.0,485.0
586.0,493.0
589.0,501.0
611.0,519.0
617.0,517.0
622.0,509.0
622.0,506.0
623.0,500.0
621.0,491.0
633.0,462.0
646.0,469.0
656.0,473.0
656.0,473.0
667.0,476.0
679.0,487.0
702.0,526.0
697.0,530.0
691.0,531.0
684.0,526.0
664.0,514.0
651.0,486.0
658.0,477.0
661.0,471.0
663.0,472.0
668.0,469.0
678.0,474.0
688.0,480.0
694.0,489.0
704.0,509.0
699.0,519.0
696.0,516.0
692.0,509.0
690.0,499.0
690.0,486.0
690.0,469.0
686.0,372.0
682.0,370.0
679.0,370.0
679.0,370.0
675.0,373.0
674.0,419.0
683.0,431.0
706.0,448.0
712.0,452.0
721.0,458.0
730.0,464.0
719.0,469.0
709.0,471.0
694.0,468.0
677.0,468.0
659.0,461.0
615.0,449.0
593.0,438.0
574.0,434.0
537.0,429.0
535.0,432.0
534.0,434.0
537.0,436.0
540.0,438.0
546.0,439.0
570.0,443.0
586.0,444.0
601.0,445.0
625.0,444.0
692.0,458.0
721.0,462.0
721.0,462.0
752.0,474.0
752.0,474.0
775.0,488.0
827.0,521.0
848.0,543.0
848.0,543.0
865.0,569.0
865.0,569.0
877.0,600.0
879.0,642.0
872.0,645.0
872.0,645.0
861.0,639.0
861.0,639.0
852.0,618.0
852.0,618.0
842.0,591.0
832.0,526.0
834.0,498.0
834.0,498.0
846.0,481.0
846.0,481.0
858.0,481.0
876.0,511.0
873.0,527.0
873.0,527.0
868.0,528.0
864.0,519.0
864.0,519.0
869.0,486.0
873.0,470.0
873.0,470.0
882.0,463.0
882.0,463.0
890.0,469.0
896.0,484.0
896.0,484.0
902.0,517.0
903.0,516.0
903.0,516.0
899.0,502.0
899.0,502.0
901.0,486.0
919.0,461.0
932.0,466.0
932.0,466.0
944.0,473.0
961.0,480.0
961.0,480.0
977.0,507.0
968.0,518.0
956.0,518.0
956.0,518.0
948.0,511.0
937.0,481.0
941.0,471.0
943.0,463.0
951.0,461.0
962.0,459.0
979.0,465.0
984.0,473.0
993.0,485.0
993.0,496.0
974.0,518.0
974.0,518.0
968.0,516.0
967.0,512.0
966.0,508.0
979.0,502.0
1009.0,498.0
1018.0,500.0
1024.0,503.0
1027.0,504.0
1027.0,504.0
1032.0,509.0
1032.0,513.0
1031.0,515.0
1022.0,494.0
1020.0,486.0
1019.0,479.0
1025.0,471.0
1029.0,461.0
1041.0,451.0
1054.0,452.0
1058.0,456.0
1059.0,460.0
1058.0,465.0
1054.0,472.0
1055.0,480.0
1050.0,484.0
1040.0,513.0
1039.0,521.0
1034.0,531.0
1034.0,537.0
1032.0,538.0
1028.0,541.0
1022.0,542.0
995.0,539.0
987.0,543.0
975.0,546.0
975.0,546.0
963.0,553.0
957.0,556.0
957.0,560.0
961.0,561.0
963.0,560.0
964.0,556.0
967.0,549.0
969.0,544.0
969.0,544.0
965.0,535.0
954.0,518.0
950.0,517.0
946.0,519.0
943.0,524.0
930.0,531.0
918.0,538.0
912.0,541.0
906.0,550.0
900.0,561.0
901.0,559.0
907.0,561.0
913.0,559.0
914.0,554.0
916.0,549.0
918.0,547.0
902.0,524.0
899.0,522.0
895.0,517.0
893.0,515.0
893.0,515.0
898.0,516.0
920.0,524.0
925.0,529.0
931.0,534.0
927.0,540.0
925.0,548.0
920.0,554.0
915.0,560.0
910.0,570.0
891.0,581.0
891.0,584.0
898.0,588.0
902.0,588.0
910.0,592.0
920.0,596.0
926.0,599.0
955.0,615.0
959.0,616.0
962.0,617.0
965.0,619.0
963.0,621.0
