x,y
541.0,450.0
541.0,448.0
540.0,444.0
535.0,401.0
534.0,398.0
535.0,396.0
536.0,408.0
537.0,415.0
539.0,424.0
545.0,432.0
554.0,429.0
555.0,420.0
553.0,409.0
552.0,404.0
553.0,396.0
559.0,393.0
565.0,396.0
588.0,437.0
595.0,456.0
602.0,480.0
608.0,501.0
613.0,510.0
616.0,523.0
597.0,490.0
593.0,471.0
591.0,456.0
587.0,405.0
587.0,395.0
587.0,395.0
589.0,403.0
594.0,423.0
596.0,434.0
599.0,438.0
608.0,425.0
608.0,413.0
611.0,401.0
615.0,390.0
615.0,387.0
618.0,387.0
631.0,390.0
639.0,394.0
646.0,403.0
645.0,431.0
645.0,431.0
638.0,425.0
630.0,419.0
626.0,409.0
625.0,399.0
636.0,382.0
659.0,399.0
658.0,413.0
658.0,423.0
658.0,426.0
658.0,426.0
655.0,422.0
665.0,390.0
669.0,391.0
675.0,395.0
678.0,401.0
682.0,413.0
687.0,421.0
692.0,428.0
693.0,420.0
696.0,394.0
698.0,380.0
698.0,381.0
695.0,385.0
694.0,389.0
695.0,401.0
711.0,428.0
715.0,431.0
718.0,428.0
720.0,404.0
721.0,394.0
721.0,384.0
724.0,381.0
728.0,381.0
735.0,385.0
769.0,443.0
769.0,443.0
774.0,463.0
781.0,498.0
780.0,509.0
777.0,513.0
763.0,475.0
763.0,455.0
758.0,441.0
758.0,425.0
760.0,403.0
760.0,403.0
763.0,388.0
771.0,423.0
776.0,430.0
779.0,430.0
785.0,429.0
788.0,406.0
798.0,393.0
804.0,390.0
810.0,391.0
818.0,393.0
835.0,394.0
843.0,392.0
850.0,396.0
870.0,424.0
870.0,433.0
871.0,437.0
871.0,436.0
872.0,429.0
872.0,421.0
870.0,392.0
870.0,392.0
871.0,397.0
871.0,404.0
874.0,415.0
879.0,428.0
882.0,435.0
888.0,409.0
890.0,402.0
893.0,400.0
895.0,397.0
898.0,399.0
904.0,405.0
907.0,416.0
923.0,483.0
924.0,496.0
923.0,503.0
920.0,509.0
919.0,507.0
918.0,505.0
919.0,496.0
920.0,480.0
921.0,416.0
921.0,400.0
920.0,388.0
920.0,386.0
917.0,396.0
926.0,432.0
934.0,436.0
934.0,434.0
938.0,428.0
940.0,420.0
941.0,409.0
942.0,401.0
957.0,382.0
963.0,384.0
970.0,387.0
979.0,393.0
984.0,401.0
986.0,410.0
985.0,417.0
982.0,424.0
964.0,409.0
963.0,397.0
964.0,389.0
966.0,383.0
972.0,379.0
974.0,376.0
982.0,375.0
986.0,382.0
999.0,421.0
1000.0,423.0
999.0,422.0
999.0,415.0
998.0,404.0
996.0,394.0
993.0,388.0
993.0,386.0
996.0,390.0
1001.0,398.0
1004.0,410.0
1012.0,417.0
1028.0,417.0
1031.0,408.0
1028.0,396.0
1026.0,387.0
1028.0,379.0
1027.0,372.0
1028.0,370.0
1032.0,367.0
1043.0,371.0
1038.0,373.0
1030.0,373.0
1022.0,371.0
1010.0,367.0
1000.0,366.0
990.0,364.0
950.0,350.0
945.0,350.0
940.0,350.0
938.0,347.0
939.0,351.0
