x,y
332.0,449.0
331.0,450.0
323.0,431.0
321.0,420.0
320.0,389.0
316.0,378.0
315.0,374.0
316.0,371.0
315.0,375.0
319.0,384.0
335.0,416.0
341.0,425.0
348.0,428.0
357.0,422.0
359.0,413.0
357.0,397.0
358.0,386.0
383.0,383.0
393.0,397.0
407.0,415.0
464.0,503.0
474.0,524.0
488.0,564.0
483.0,558.0
475.0,550.0
469.0,532.0
460.0,508.0
460.0,508.0
445.0,463.0
427.0,386.0
427.0,379.0
427.0,378.0
426.0,379.0
429.0,385.0
432.0,395.0
437.0,405.0
467.0,437.0
470.0,436.0
471.0,433.0
475.0,427.0
475.0,417.0
472.0,407.0
473.0,393.0
491.0,378.0
498.0,383.0
509.0,387.0
523.0,395.0
535.0,406.0
547.0,414.0
560.0,425.0
559.0,449.0
549.0,448.0
540.0,441.0
532.0,433.0
525.0,420.0
518.0,408.0
516.0,393.0
537.0,368.0
547.0,376.0
556.0,386.0
565.0,402.0
573.0,415.0
577.0,426.0
580.0,437.0
575.0,413.0
577.0,401.0
577.0,387.0
584.0,374.0
591.0,369.0
596.0,370.0
603.0,373.0
612.0,382.0
619.0,440.0
614.0,456.0
606.0,468.0
592.0,480.0
579.0,489.0
565.0,496.0
553.0,503.0
528.0,513.0
530.0,511.0
534.0,509.0
541.0,507.0
549.0,506.0
560.0,502.0
607.0,491.0
617.0,483.0
629.0,475.0
640.0,467.0
653.0,462.0
665.0,455.0
678.0,447.0
689.0,441.0
738.0,426.0
748.0,425.0
757.0,425.0
768.0,423.0
774.0,422.0
783.0,423.0
785.0,425.0
788.0,427.0
791.0,428.0
772.0,431.0
758.0,429.0
740.0,422.0
740.0,422.0
728.0,417.0
728.0,417.0
713.0,393.0
719.0,382.0
719.0,382.0
730.0,374.0
752.0,375.0
752.0,375.0
771.0,380.0
771.0,380.0
804.0,402.0
809.0,414.0
806.0,410.0
806.0,410.0
803.0,384.0
805.0,373.0
810.0,372.0
810.0,372.0
833.0,400.0
841.0,417.0
841.0,417.0
844.0,427.0
842.0,411.0
841.0,393.0
841.0,393.0
839.0,381.0
839.0,381.0
844.0,370.0
866.0,390.0
884.0,402.0
884.0,402.0
904.0,416.0
904.0,416.0
906.0,428.0
891.0,424.0
876.0,410.0
876.0,410.0
866.0,394.0
866.0,394.0
862.0,377.0
886.0,372.0
897.0,386.0
897.0,386.0
907.0,404.0
907.0,404.0
909.0,417.0
909.0,404.0
911.0,387.0
911.0,387.0
915.0,372.0
915.0,372.0
918.0,360.0
918.0,360.0
926.0,359.0
935.0,379.0
928.0,399.0
928.0,399.0
914.0,414.0
914.0,414.0
868.0,444.0
846.0,451.0
836.0,456.0
836.0,456.0
836.0,463.0
836.0,463.0
840.0,468.0
855.0,470.0
859.0,458.0
859.0,458.0
856.0,446.0
856.0,446.0
851.0,434.0
844.0,431.0
840.0,442.0
840.0,442.0
834.0,458.0
834.0,458.0
821.0,474.0
803.0,493.0
803.0,493.0
774.0,527.0
790.0,558.0
802.0,540.0
803.0,527.0
803.0,527.0
795.0,512.0
795.0,512.0
784.0,499.0
789.0,491.0
789.0,493.0
