x,y
496.0,494.0
494.0,496.0
493.0,496.0
493.0,495.0
489.0,464.0
491.0,454.0
488.0,450.0
490.0,449.0
490.0,452.0
494.0,460.0
512.0,493.0
523.0,491.0
523.0,491.0
523.0,488.0
528.0,456.0
535.0,462.0
544.0,474.0
552.0,486.0
561.0,507.0
593.0,588.0
592.0,599.0
589.0,606.0
585.0,605.0
575.0,600.0
548.0,526.0
545.0,504.0
542.0,466.0
542.0,459.0
542.0,459.0
543.0,456.0
557.0,491.0
566.0,501.0
574.0,503.0
579.0,504.0
582.0,498.0
586.0,482.0
585.0,474.0
590.0,465.0
608.0,455.0
617.0,459.0
625.0,465.0
635.0,474.0
640.0,487.0
643.0,494.0
634.0,503.0
612.0,487.0
610.0,477.0
610.0,465.0
613.0,460.0
619.0,454.0
623.0,451.0
632.0,456.0
636.0,463.0
645.0,481.0
641.0,491.0
639.0,484.0
640.0,473.0
640.0,461.0
645.0,453.0
650.0,453.0
657.0,458.0
681.0,506.0
684.0,504.0
686.0,500.0
686.0,500.0
688.0,490.0
689.0,478.0
691.0,452.0
693.0,465.0
694.0,479.0
700.0,491.0
710.0,500.0
716.0,508.0
732.0,501.0
732.0,494.0
735.0,482.0
736.0,469.0
740.0,458.0
743.0,458.0
746.0,462.0
743.0,465.0
714.0,499.0
698.0,504.0
681.0,509.0
663.0,514.0
647.0,517.0
619.0,512.0
605.0,514.0
598.0,514.0
590.0,521.0
596.0,525.0
603.0,530.0
612.0,536.0
620.0,541.0
634.0,542.0
638.0,541.0
666.0,518.0
676.0,514.0
690.0,509.0
690.0,509.0
702.0,507.0
715.0,503.0
778.0,502.0
790.0,502.0
798.0,502.0
804.0,502.0
817.0,500.0
821.0,499.0
823.0,494.0
826.0,482.0
830.0,471.0
833.0,459.0
844.0,442.0
848.0,446.0
849.0,451.0
853.0,459.0
853.0,459.0
858.0,466.0
869.0,480.0
878.0,489.0
893.0,502.0
893.0,498.0
892.0,496.0
892.0,492.0
894.0,489.0
894.0,489.0
911.0,484.0
911.0,483.0
908.0,478.0
908.0,470.0
904.0,462.0
907.0,454.0
921.0,447.0
937.0,458.0
943.0,467.0
949.0,475.0
953.0,482.0
950.0,489.0
947.0,494.0
938.0,496.0
933.0,495.0
917.0,465.0
919.0,456.0
923.0,449.0
928.0,447.0
935.0,446.0
942.0,447.0
970.0,469.0
971.0,476.0
973.0,481.0
974.0,486.0
970.0,486.0
967.0,484.0
965.0,474.0
970.0,461.0
970.0,439.0
970.0,444.0
976.0,450.0
979.0,459.0
985.0,471.0
993.0,481.0
1008.0,483.0
1010.0,478.0
1011.0,469.0
1009.0,457.0
1010.0,448.0
1009.0,441.0
1010.0,439.0
1009.0,438.0
997.0,459.0
989.0,468.0
978.0,477.0
964.0,486.0
952.0,494.0
932.0,503.0
920.0,512.0
909.0,518.0
890.0,531.0
895.0,531.0
901.0,538.0
912.0,544.0
922.0,546.0
931.0,549.0
972.0,528.0
978.0,521.0
983.0,520.0
987.0,518.0
