x,y
392.0,435.0
387.0,431.0
387.0,431.0
376.0,421.0
376.0,414.0
374.0,392.0
373.0,379.0
376.0,362.0
379.0,344.0
380.0,318.0
384.0,299.0
386.0,308.0
382.0,336.0
382.0,336.0
380.0,361.0
382.0,378.0
382.0,378.0
382.0,397.0
404.0,424.0
404.0,424.0
416.0,430.0
416.0,430.0
426.0,424.0
421.0,390.0
410.0,383.0
410.0,383.0
399.0,377.0
399.0,377.0
387.0,371.0
390.0,373.0
399.0,373.0
399.0,373.0
411.0,374.0
411.0,374.0
427.0,379.0
427.0,379.0
445.0,401.0
481.0,473.0
495.0,512.0
495.0,512.0
505.0,545.0
507.0,560.0
507.0,560.0
490.0,527.0
477.0,482.0
477.0,482.0
470.0,440.0
464.0,390.0
464.0,390.0
471.0,373.0
474.0,392.0
474.0,392.0
478.0,418.0
478.0,418.0
488.0,431.0
501.0,416.0
501.0,404.0
502.0,394.0
504.0,388.0
505.0,384.0
523.0,392.0
530.0,399.0
545.0,414.0
548.0,422.0
549.0,429.0
551.0,437.0
543.0,439.0
536.0,436.0
526.0,413.0
527.0,400.0
532.0,389.0
547.0,385.0
552.0,388.0
558.0,397.0
555.0,433.0
545.0,433.0
541.0,432.0
537.0,426.0
537.0,426.0
540.0,425.0
554.0,424.0
566.0,427.0
591.0,440.0
590.0,435.0
588.0,427.0
585.0,419.0
583.0,405.0
582.0,392.0
590.0,402.0
596.0,413.0
603.0,423.0
609.0,429.0
615.0,432.0
617.0,429.0
616.0,422.0
617.0,381.0
623.0,381.0
631.0,385.0
639.0,393.0
653.0,404.0
660.0,415.0
646.0,437.0
633.0,430.0
627.0,420.0
624.0,407.0
623.0,393.0
624.0,386.0
629.0,380.0
659.0,406.0
664.0,417.0
667.0,422.0
666.0,423.0
665.0,416.0
664.0,409.0
659.0,390.0
657.0,378.0
631.0,295.0
626.0,275.0
614.0,264.0
608.0,254.0
607.0,250.0
599.0,251.0
598.0,260.0
617.0,308.0
628.0,326.0
644.0,349.0
656.0,362.0
665.0,385.0
667.0,403.0
635.0,461.0
619.0,468.0
605.0,472.0
593.0,479.0
579.0,483.0
568.0,487.0
554.0,493.0
562.0,489.0
570.0,484.0
586.0,477.0
602.0,466.0
617.0,457.0
632.0,446.0
648.0,434.0
664.0,420.0
724.0,387.0
745.0,388.0
745.0,388.0
766.0,406.0
784.0,434.0
784.0,434.0
801.0,470.0
801.0,470.0
811.0,532.0
808.0,542.0
808.0,542.0
800.0,535.0
794.0,517.0
794.0,517.0
779.0,455.0
768.0,426.0
768.0,426.0
756.0,397.0
756.0,397.0
755.0,384.0
752.0,381.0
752.0,381.0
765.0,408.0
779.0,425.0
793.0,438.0
793.0,438.0
803.0,438.0
803.0,438.0
806.0,429.0
790.0,415.0
781.0,413.0
781.0,413.0
783.0,414.0
783.0,414.0
799.0,402.0
803.0,394.0
812.0,386.0
812.0,386.0
822.0,392.0
822.0,392.0
848.0,439.0
863.0,476.0
863.0,476.0
872.0,509.0
881.0,537.0
881.0,537.0
880.0,557.0
880.0,557.0
870.0,547.0
865.0,521.0
856.0,493.0
856.0,493.0
847.0,454.0
847.0,454.0
840.0,429.0
837.0,396.0
841.0,406.0
841.0,406.0
847.0,420.0
847.0,420.0
861.0,440.0
880.0,440.0
881.0,426.0
881.0,426.0
877.0,413.0
877.0,413.0
884.0,402.0
898.0,406.0
912.0,418.0
912.0,418.0
924.0,433.0
924.0,433.0
914.0,447.0
903.0,439.0
903.0,439.0
899.0,425.0
899.0,409.0
899.0,409.0
902.0,404.0
902.0,404.0
911.0,405.0
922.0,431.0
921.0,435.0
921.0,435.0
922.0,421.0
922.0,421.0
925.0,405.0
928.0,394.0
946.0,425.0
946.0,425.0
955.0,442.0
955.0,442.0
959.0,446.0
957.0,423.0
951.0,410.0
956.0,427.0
966.0,441.0
966.0,441.0
977.0,448.0
977.0,448.0
984.0,432.0
984.0,421.0
984.0,410.0
984.0,410.0
979.0,402.0
979.0,402.0
980.0,403.0
990.0,427.0
1001.0,439.0
1001.0,439.0
1010.0,444.0
1010.0,444.0
1014.0,437.0
1009.0,411.0
1011.0,398.0
1011.0,398.0
1012.0,386.0
1012.0,386.0
1010.0,396.0
997.0,414.0
997.0,414.0
975.0,440.0
954.0,455.0
954.0,455.0
923.0,469.0
920.0,474.0
929.0,479.0
929.0,479.0
945.0,486.0
945.0,486.0
