x,y
599.0,447.0
599.0,447.0
598.0,450.0
595.0,468.0
592.0,470.0
585.0,475.0
579.0,472.0
576.0,468.0
568.0,462.0
570.0,429.0
577.0,422.0
585.0,419.0
593.0,420.0
599.0,426.0
602.0,434.0
603.0,445.0
602.0,456.0
599.0,458.0
598.0,449.0
599.0,436.0
600.0,421.0
604.0,404.0
608.0,389.0
616.0,339.0
612.0,338.0
611.0,343.0
612.0,354.0
612.0,363.0
610.0,378.0
611.0,394.0
610.0,409.0
618.0,458.0
624.0,463.0
625.0,465.0
624.0,463.0
624.0,456.0
622.0,448.0
624.0,438.0
643.0,419.0
647.0,424.0
651.0,432.0
655.0,444.0
653.0,459.0
657.0,466.0
658.0,470.0
657.0,469.0
657.0,435.0
658.0,427.0
660.0,422.0
665.0,421.0
673.0,421.0
678.0,424.0
687.0,428.0
695.0,436.0
703.0,465.0
701.0,469.0
694.0,470.0
687.0,469.0
679.0,465.0
671.0,457.0
666.0,451.0
673.0,419.0
681.0,418.0
689.0,423.0
694.0,431.0
699.0,440.0
702.0,449.0
704.0,459.0
705.0,468.0
706.0,463.0
705.0,445.0
706.0,433.0
707.0,423.0
708.0,414.0
709.0,409.0
716.0,417.0
714.0,428.0
713.0,438.0
706.0,449.0
700.0,460.0
691.0,468.0
683.0,476.0
655.0,498.0
654.0,503.0
659.0,507.0
668.0,513.0
675.0,518.0
686.0,526.0
700.0,535.0
727.0,550.0
726.0,548.0
724.0,544.0
722.0,539.0
722.0,531.0
721.0,522.0
725.0,515.0
753.0,477.0
762.0,469.0
774.0,467.0
784.0,467.0
794.0,466.0
805.0,470.0
812.0,474.0
830.0,500.0
836.0,510.0
839.0,521.0
842.0,529.0
842.0,537.0
843.0,543.0
845.0,535.0
835.0,504.0
833.0,490.0
833.0,480.0
832.0,464.0
833.0,455.0
835.0,446.0
837.0,439.0
841.0,432.0
857.0,424.0
861.0,427.0
865.0,431.0
868.0,434.0
871.0,438.0
868.0,442.0
868.0,446.0
833.0,469.0
819.0,474.0
806.0,481.0
793.0,486.0
784.0,490.0
780.0,491.0
779.0,493.0
806.0,490.0
817.0,488.0
829.0,489.0
840.0,490.0
851.0,492.0
864.0,491.0
873.0,492.0
900.0,496.0
902.0,497.0
901.0,495.0
901.0,495.0
902.0,494.0
899.0,492.0
901.0,491.0
900.0,491.0
900.0,488.0
901.0,486.0
900.0,482.0
900.0,480.0
900.0,480.0
896.0,462.0
893.0,457.0
892.0,448.0
893.0,447.0
892.0,440.0
892.0,437.0
896.0,435.0
896.0,436.0
912.0,451.0
922.0,460.0
931.0,472.0
934.0,482.0
938.0,496.0
937.0,510.0
937.0,522.0
916.0,521.0
916.0,521.0
918.0,511.0
923.0,506.0
929.0,500.0
955.0,487.0
956.0,472.0
953.0,466.0
952.0,456.0
950.0,447.0
949.0,437.0
959.0,426.0
965.0,429.0
970.0,434.0
980.0,440.0
991.0,458.0
995.0,475.0
995.0,475.0
998.0,485.0
998.0,485.0
996.0,463.0
996.0,444.0
996.0,444.0
998.0,434.0
1003.0,436.0
1003.0,436.0
1014.0,449.0
1014.0,449.0
1027.0,481.0
1032.0,484.0
1032.0,484.0
1039.0,474.0
1039.0,456.0
1039.0,456.0
1040.0,429.0
1043.0,431.0
1048.0,447.0
1048.0,447.0
1052.0,464.0
1052.0,464.0
1060.0,478.0
1060.0,478.0
1068.0,483.0
1075.0,461.0
1077.0,446.0
1077.0,446.0
1088.0,427.0
1094.0,435.0
1105.0,454.0
1105.0,454.0
1116.0,479.0
1116.0,479.0
1134.0,543.0
1140.0,571.0
1140.0,571.0
1141.0,592.0
1138.0,599.0
1138.0,599.0
1134.0,590.0
1134.0,590.0
1129.0,534.0
1129.0,496.0
1133.0,463.0
1133.0,463.0
1138.0,437.0
1135.0,441.0
1137.0,454.0
1137.0,454.0
1140.0,469.0
1140.0,469.0
1157.0,482.0
1161.0,474.0
1164.0,463.0
1164.0,463.0
1166.0,448.0
1166.0,448.0
1168.0,429.0
1169.0,429.0
1169.0,429.0
1166.0,440.0
1166.0,440.0
1152.0,453.0
1128.0,469.0
1128.0,469.0
1065.0,493.0
1031.0,498.0
1006.0,502.0
1006.0,502.0
986.0,511.0
987.0,515.0
987.0,515.0
990.0,515.0
992.0,517.0
992.0,517.0
979.0,537.0
957.0,561.0
958.0,563.0
958.0,563.0
967.0,556.0
967.0,556.0
1003.0,536.0
1028.0,527.0
1028.0,527.0
1048.0,524.0
1061.0,521.0
1061.0,521.0
1060.0,521.0
1050.0,519.0
