x,y
527.0,503.0
530.0,508.0
531.0,505.0
530.0,495.0
530.0,485.0
528.0,472.0
536.0,443.0
537.0,437.0
539.0,451.0
540.0,459.0
542.0,469.0
546.0,478.0
552.0,481.0
568.0,488.0
617.0,506.0
619.0,510.0
619.0,510.0
614.0,512.0
609.0,511.0
585.0,487.0
583.0,479.0
582.0,473.0
587.0,465.0
593.0,460.0
599.0,454.0
608.0,457.0
612.0,464.0
627.0,503.0
628.0,510.0
626.0,514.0
627.0,515.0
627.0,512.0
626.0,509.0
627.0,503.0
635.0,465.0
636.0,462.0
642.0,464.0
647.0,471.0
652.0,476.0
660.0,488.0
664.0,502.0
667.0,517.0
664.0,510.0
661.0,499.0
661.0,488.0
662.0,476.0
662.0,467.0
665.0,462.0
671.0,461.0
699.0,501.0
701.0,512.0
704.0,518.0
704.0,517.0
703.0,511.0
699.0,504.0
704.0,460.0
718.0,457.0
729.0,464.0
729.0,464.0
738.0,470.0
782.0,491.0
800.0,496.0
819.0,501.0
828.0,507.0
837.0,510.0
851.0,516.0
852.0,518.0
852.0,518.0
830.0,511.0
823.0,504.0
814.0,498.0
809.0,491.0
804.0,483.0
805.0,476.0
812.0,468.0
838.0,469.0
842.0,476.0
851.0,481.0
857.0,485.0
863.0,495.0
867.0,499.0
868.0,503.0
869.0,504.0
861.0,497.0
859.0,477.0
864.0,469.0
868.0,465.0
869.0,466.0
879.0,470.0
880.0,473.0
887.0,484.0
895.0,502.0
895.0,493.0
896.0,486.0
896.0,486.0
897.0,475.0
906.0,471.0
905.0,481.0
893.0,506.0
882.0,519.0
875.0,537.0
872.0,551.0
869.0,563.0
869.0,563.0
864.0,590.0
865.0,591.0
869.0,588.0
869.0,573.0
870.0,563.0
868.0,552.0
866.0,547.0
852.0,539.0
852.0,540.0
