x,y
616.0,418.0
615.0,420.0
612.0,430.0
606.0,436.0
606.0,436.0
597.0,442.0
597.0,442.0
588.0,439.0
574.0,417.0
579.0,405.0
579.0,405.0
590.0,393.0
590.0,393.0
610.0,388.0
626.0,380.0
613.0,353.0
613.0,353.0
596.0,345.0
578.0,344.0
578.0,344.0
553.0,353.0
550.0,352.0
550.0,352.0
555.0,349.0
555.0,349.0
574.0,344.0
574.0,344.0
591.0,347.0
637.0,373.0
645.0,395.0
645.0,395.0
652.0,416.0
652.0,416.0
654.0,431.0
649.0,422.0
646.0,403.0
646.0,403.0
646.0,385.0
646.0,385.0
648.0,366.0
654.0,354.0
654.0,354.0
672.0,371.0
682.0,395.0
692.0,414.0
692.0,414.0
690.0,399.0
690.0,370.0
690.0,370.0
693.0,349.0
693.0,349.0
693.0,351.0
693.0,372.0
693.0,372.0
711.0,418.0
721.0,422.0
721.0,422.0
723.0,415.0
723.0,415.0
722.0,390.0
726.0,365.0
726.0,365.0
745.0,369.0
764.0,396.0
764.0,396.0
779.0,437.0
793.0,477.0
793.0,477.0
805.0,548.0
801.0,560.0
794.0,542.0
794.0,542.0
786.0,512.0
786.0,512.0
787.0,428.0
788.0,386.0
790.0,374.0
790.0,374.0
791.0,383.0
791.0,383.0
802.0,424.0
815.0,438.0
815.0,438.0
826.0,443.0
834.0,436.0
834.0,436.0
838.0,422.0
838.0,422.0
839.0,382.0
846.0,365.0
850.0,362.0
850.0,362.0
845.0,370.0
845.0,370.0
823.0,397.0
756.0,435.0
729.0,448.0
729.0,448.0
701.0,459.0
701.0,459.0
685.0,469.0
685.0,469.0
675.0,476.0
679.0,472.0
689.0,463.0
689.0,463.0
709.0,451.0
709.0,451.0
735.0,440.0
789.0,422.0
812.0,416.0
812.0,416.0
832.0,416.0
832.0,416.0
869.0,422.0
881.0,426.0
891.0,427.0
891.0,427.0
896.0,428.0
896.0,428.0
900.0,430.0
901.0,457.0
909.0,489.0
909.0,489.0
921.0,533.0
921.0,533.0
921.0,560.0
918.0,577.0
918.0,577.0
902.0,548.0
900.0,524.0
900.0,524.0
897.0,486.0
897.0,486.0
896.0,452.0
902.0,393.0
903.0,385.0
903.0,385.0
903.0,394.0
903.0,394.0
911.0,435.0
920.0,453.0
929.0,461.0
929.0,461.0
938.0,446.0
938.0,446.0
938.0,426.0
943.0,394.0
949.0,386.0
949.0,386.0
963.0,384.0
976.0,388.0
976.0,388.0
1009.0,408.0
1017.0,425.0
1017.0,425.0
1013.0,435.0
1002.0,439.0
1002.0,439.0
985.0,431.0
985.0,431.0
971.0,392.0
979.0,373.0
979.0,373.0
992.0,366.0
992.0,366.0
1010.0,377.0
1019.0,415.0
1006.0,428.0
1006.0,428.0
994.0,432.0
994.0,432.0
994.0,428.0
1004.0,421.0
1004.0,421.0
1040.0,407.0
1063.0,413.0
1086.0,416.0
1086.0,416.0
1102.0,421.0
1102.0,421.0
1102.0,427.0
1102.0,427.0
1087.0,429.0
1051.0,415.0
1043.0,400.0
1043.0,400.0
1048.0,385.0
1048.0,385.0
1067.0,380.0
1077.0,390.0
1082.0,406.0
1082.0,406.0
1084.0,417.0
1084.0,417.0
1078.0,389.0
1082.0,372.0
1085.0,362.0
1085.0,362.0
1095.0,364.0
1095.0,364.0
1119.0,393.0
1131.0,419.0
1134.0,447.0
1134.0,447.0
1141.0,475.0
1141.0,475.0
1144.0,481.0
1145.0,442.0
1154.0,414.0
1154.0,414.0
1156.0,388.0
1156.0,388.0
1167.0,365.0
1165.0,364.0
1159.0,370.0
1159.0,370.0
1154.0,384.0
1154.0,384.0
1129.0,423.0
1115.0,438.0
1115.0,438.0
1113.0,445.0
1117.0,443.0
1117.0,443.0
1135.0,439.0
1135.0,439.0
1167.0,438.0
1211.0,435.0
1211.0,438.0
1211.0,438.0
1196.0,435.0
1196.0,435.0
1179.0,427.0
1179.0,427.0
1158.0,414.0
1115.0,365.0
1094.0,345.0
1094.0,345.0
1075.0,328.0
1075.0,328.0
1063.0,316.0
1053.0,310.0
1057.0,307.0
1057.0,307.0
1060.0,306.0
