x,y
518.0,489.0
521.0,490.0
523.0,489.0
531.0,490.0
537.0,489.0
544.0,489.0
555.0,491.0
579.0,495.0
581.0,498.0
579.0,503.0
579.0,512.0
581.0,521.0
578.0,539.0
574.0,539.0
570.0,529.0
565.0,522.0
560.0,457.0
556.0,451.0
556.0,447.0
559.0,444.0
570.0,452.0
579.0,456.0
584.0,463.0
590.0,472.0
598.0,482.0
603.0,500.0
610.0,512.0
641.0,589.0
645.0,599.0
647.0,612.0
649.0,618.0
647.0,622.0
647.0,625.0
647.0,624.0
636.0,595.0
635.0,586.0
632.0,572.0
628.0,554.0
624.0,538.0
622.0,524.0
611.0,450.0
611.0,439.0
607.0,435.0
606.0,431.0
605.0,433.0
607.0,439.0
610.0,446.0
615.0,457.0
639.0,489.0
644.0,491.0
646.0,489.0
645.0,485.0
643.0,479.0
637.0,470.0
634.0,437.0
635.0,435.0
639.0,436.0
646.0,440.0
654.0,443.0
661.0,450.0
695.0,481.0
697.0,487.0
699.0,493.0
696.0,499.0
690.0,500.0
682.0,498.0
678.0,497.0
663.0,472.0
662.0,467.0
663.0,460.0
666.0,451.0
668.0,442.0
671.0,439.0
676.0,439.0
689.0,458.0
693.0,464.0
697.0,471.0
693.0,480.0
693.0,489.0
689.0,474.0
690.0,462.0
692.0,456.0
691.0,449.0
695.0,444.0
699.0,445.0
701.0,449.0
722.0,475.0
727.0,483.0
728.0,490.0
731.0,494.0
733.0,494.0
731.0,491.0
733.0,482.0
728.0,456.0
727.0,445.0
723.0,439.0
721.0,437.0
723.0,439.0
725.0,446.0
726.0,453.0
727.0,469.0
748.0,493.0
757.0,495.0
761.0,494.0
760.0,493.0
762.0,488.0
762.0,481.0
757.0,474.0
758.0,462.0
768.0,446.0
777.0,453.0
781.0,462.0
785.0,473.0
817.0,532.0
825.0,549.0
831.0,565.0
839.0,591.0
841.0,604.0
842.0,611.0
842.0,611.0
842.0,619.0
831.0,602.0
828.0,590.0
825.0,579.0
820.0,562.0
814.0,527.0
812.0,510.0
810.0,492.0
805.0,455.0
803.0,451.0
805.0,451.0
805.0,454.0
803.0,462.0
808.0,470.0
820.0,487.0
836.0,500.0
843.0,499.0
843.0,496.0
844.0,492.0
844.0,486.0
842.0,478.0
843.0,469.0
844.0,461.0
849.0,451.0
852.0,447.0
856.0,450.0
858.0,455.0
857.0,462.0
851.0,469.0
846.0,478.0
833.0,489.0
759.0,528.0
746.0,531.0
737.0,539.0
726.0,541.0
726.0,541.0
700.0,551.0
699.0,553.0
701.0,552.0
704.0,550.0
710.0,548.0
718.0,545.0
728.0,539.0
737.0,536.0
773.0,519.0
785.0,515.0
797.0,506.0
825.0,492.0
840.0,485.0
855.0,479.0
866.0,472.0
903.0,460.0
913.0,458.0
923.0,462.0
930.0,465.0
935.0,470.0
939.0,485.0
939.0,495.0
938.0,502.0
938.0,506.0
934.0,487.0
934.0,487.0
932.0,476.0
930.0,468.0
927.0,451.0
924.0,419.0
925.0,398.0
917.0,340.0
915.0,335.0
914.0,336.0
915.0,337.0
915.0,337.0
912.0,347.0
914.0,356.0
916.0,422.0
914.0,435.0
918.0,450.0
920.0,461.0
925.0,473.0
937.0,494.0
942.0,497.0
945.0,497.0
947.0,491.0
949.0,485.0
950.0,477.0
951.0,467.0
953.0,458.0
959.0,442.0
963.0,439.0
970.0,441.0
975.0,446.0
981.0,452.0
984.0,460.0
990.0,468.0
1003.0,523.0
1008.0,537.0
1012.0,549.0
1012.0,549.0
1012.0,574.0
1012.0,586.0
1008.0,596.0
1001.0,607.0
1000.0,603.0
998.0,596.0
1001.0,587.0
1000.0,572.0
1001.0,567.0
1003.0,553.0
1005.0,538.0
1005.0,483.0
1002.0,472.0
1002.0,461.0
999.0,453.0
1000.0,449.0
1003.0,442.0
1007.0,440.0
1010.0,462.0
1006.0,472.0
1008.0,481.0
1013.0,488.0
1019.0,490.0
1026.0,495.0
1038.0,487.0
1038.0,483.0
1033.0,477.0
1035.0,472.0
1034.0,463.0
1053.0,448.0
1060.0,450.0
1065.0,454.0
1073.0,455.0
1080.0,460.0
1086.0,467.0
1093.0,473.0
1101.0,492.0
1097.0,494.0
1090.0,495.0
1087.0,495.0
1074.0,491.0
1071.0,480.0
1083.0,453.0
1089.0,449.0
1093.0,446.0
1099.0,444.0
1106.0,450.0
1111.0,455.0
1104.0,484.0
1101.0,491.0
1093.0,496.0
1082.0,501.0
1082.0,503.0
1078.0,507.0
1071.0,510.0
1066.0,507.0
1060.0,512.0
1066.0,515.0
1065.0,521.0
1067.0,528.0
1074.0,532.0
1071.0,539.0
1083.0,543.0
1083.0,543.0
1098.0,527.0
1103.0,514.0
1108.0,508.0
1108.0,508.0
1111.0,506.0
1111.0,506.0
1100.0,512.0
1097.0,520.0
1099.0,525.0
1099.0,525.0
1100.0,530.0
1100.0,530.0
1119.0,541.0
1127.0,547.0
1143.0,555.0
1143.0,555.0
1151.0,555.0
1151.0,555.0
1158.0,560.0
