x,y
517.0,379.0
517.0,376.0
518.0,370.0
521.0,368.0
526.0,315.0
526.0,313.0
524.0,315.0
525.0,314.0
522.0,319.0
517.0,325.0
513.0,332.0
495.0,351.0
494.0,352.0
496.0,353.0
500.0,352.0
504.0,347.0
512.0,346.0
519.0,343.0
531.0,363.0
533.0,373.0
536.0,389.0
538.0,408.0
544.0,423.0
544.0,437.0
547.0,448.0
546.0,467.0
546.0,463.0
544.0,456.0
543.0,445.0
540.0,432.0
539.0,411.0
538.0,394.0
539.0,374.0
545.0,331.0
544.0,326.0
543.0,324.0
542.0,329.0
542.0,333.0
545.0,337.0
545.0,346.0
558.0,368.0
559.0,368.0
560.0,363.0
560.0,358.0
561.0,350.0
561.0,343.0
561.0,337.0
575.0,326.0
578.0,327.0
583.0,331.0
586.0,337.0
585.0,346.0
586.0,354.0
586.0,361.0
584.0,347.0
586.0,338.0
588.0,329.0
589.0,326.0
592.0,323.0
596.0,325.0
600.0,326.0
608.0,360.0
608.0,367.0
609.0,368.0
607.0,358.0
608.0,352.0
608.0,343.0
610.0,335.0
625.0,319.0
632.0,319.0
638.0,321.0
644.0,327.0
650.0,331.0
653.0,338.0
657.0,346.0
646.0,363.0
641.0,362.0
636.0,356.0
631.0,351.0
629.0,345.0
630.0,338.0
631.0,332.0
648.0,323.0
652.0,327.0
654.0,332.0
656.0,341.0
656.0,348.0
654.0,355.0
650.0,357.0
647.0,358.0
656.0,355.0
661.0,357.0
667.0,360.0
672.0,362.0
678.0,364.0
677.0,340.0
677.0,333.0
678.0,329.0
679.0,325.0
678.0,327.0
678.0,331.0
678.0,339.0
696.0,363.0
699.0,362.0
701.0,355.0
700.0,351.0
699.0,345.0
699.0,337.0
716.0,322.0
733.0,328.0
739.0,336.0
739.0,336.0
742.0,345.0
745.0,354.0
728.0,368.0
723.0,365.0
719.0,357.0
717.0,352.0
719.0,339.0
721.0,332.0
721.0,332.0
746.0,334.0
749.0,341.0
753.0,347.0
753.0,355.0
752.0,358.0
751.0,354.0
747.0,342.0
746.0,334.0
750.0,296.0
749.0,283.0
750.0,266.0
749.0,257.0
747.0,242.0
744.0,239.0
739.0,238.0
733.0,245.0
728.0,269.0
731.0,280.0
739.0,291.0
747.0,300.0
755.0,310.0
761.0,320.0
770.0,329.0
773.0,337.0
770.0,351.0
725.0,362.0
725.0,362.0
710.0,365.0
697.0,369.0
685.0,371.0
675.0,375.0
667.0,379.0
653.0,390.0
657.0,391.0
663.0,394.0
663.0,394.0
667.0,394.0
670.0,377.0
667.0,372.0
659.0,363.0
654.0,363.0
650.0,363.0
646.0,365.0
642.0,368.0
636.0,376.0
620.0,385.0
613.0,387.0
611.0,388.0
609.0,393.0
612.0,395.0
615.0,398.0
618.0,397.0
620.0,395.0
623.0,379.0
621.0,375.0
619.0,368.0
616.0,365.0
608.0,360.0
608.0,359.0
610.0,360.0
614.0,363.0
619.0,364.0
635.0,377.0
639.0,385.0
637.0,391.0
635.0,397.0
627.0,412.0
620.0,417.0
615.0,422.0
610.0,433.0
614.0,434.0
614.0,434.0
622.0,432.0
630.0,428.0
638.0,423.0
661.0,414.0
713.0,395.0
727.0,390.0
740.0,387.0
753.0,386.0
765.0,382.0
765.0,382.0
777.0,379.0
787.0,377.0
819.0,366.0
823.0,364.0
824.0,362.0
828.0,362.0
830.0,361.0
835.0,358.0
837.0,351.0
840.0,346.0
843.0,342.0
847.0,335.0
852.0,327.0
855.0,320.0
857.0,317.0
851.0,314.0
851.0,314.0
840.0,319.0
838.0,322.0
828.0,321.0
822.0,322.0
818.0,321.0
819.0,328.0
824.0,332.0
834.0,336.0
834.0,336.0
854.0,346.0
861.0,350.0
866.0,354.0
867.0,357.0
865.0,353.0
864.0,348.0
864.0,340.0
864.0,334.0
868.0,330.0
869.0,322.0
884.0,320.0
889.0,324.0
893.0,334.0
893.0,342.0
893.0,352.0
894.0,357.0
897.0,359.0
894.0,354.0
897.0,328.0
898.0,321.0
900.0,321.0
903.0,323.0
905.0,326.0
913.0,354.0
915.0,361.0
915.0,364.0
913.0,360.0
911.0,352.0
911.0,348.0
913.0,340.0
916.0,333.0
928.0,321.0
934.0,326.0
937.0,332.0
942.0,343.0
944.0,352.0
944.0,359.0
945.0,363.0
946.0,363.0
946.0,338.0
945.0,327.0
943.0,316.0
942.0,306.0
940.0,292.0
937.0,281.0
934.0,268.0
922.0,255.0
919.0,260.0
917.0,267.0
920.0,277.0
922.0,286.0
930.0,296.0
940.0,304.0
947.0,310.0
977.0,342.0
977.0,347.0
978.0,354.0
972.0,359.0
967.0,361.0
961.0,359.0
956.0,356.0
945.0,329.0
947.0,323.0
951.0,322.0
954.0,323.0
959.0,326.0
965.0,329.0
971.0,335.0
986.0,356.0
988.0,360.0
986.0,361.0
986.0,362.0
984.0,357.0
986.0,353.0
985.0,343.0
988.0,321.0
989.0,319.0
989.0,317.0
988.0,317.0
989.0,317.0
990.0,321.0
992.0,326.0
994.0,331.0
1015.0,360.0
1019.0,361.0
1023.0,364.0
1027.0,360.0
1030.0,357.0
1030.0,350.0
1035.0,323.0
1034.0,318.0
1038.0,316.0
1042.0,313.0
1039.0,314.0
1041.0,315.0
1015.0,340.0
1007.0,348.0
999.0,355.0
987.0,359.0
978.0,365.0
968.0,369.0
960.0,372.0
953.0,375.0
956.0,388.0
961.0,394.0
966.0,401.0
971.0,403.0
977.0,407.0
981.0,404.0
985.0,401.0
988.0,393.0
996.0,379.0
995.0,378.0
