x,y
500.0,545.0
501.0,545.0
501.0,545.0
509.0,554.0
511.0,562.0
516.0,569.0
519.0,577.0
522.0,586.0
525.0,617.0
522.0,619.0
522.0,616.0
521.0,612.0
522.0,607.0
522.0,597.0
524.0,586.0
526.0,574.0
530.0,521.0
531.0,511.0
533.0,502.0
534.0,496.0
535.0,494.0
535.0,495.0
533.0,500.0
534.0,506.0
524.0,541.0
520.0,549.0
513.0,555.0
509.0,563.0
504.0,566.0
498.0,571.0
495.0,571.0
500.0,572.0
507.0,568.0
516.0,565.0
523.0,563.0
533.0,558.0
544.0,558.0
550.0,562.0
579.0,604.0
581.0,617.0
586.0,630.0
588.0,647.0
592.0,658.0
593.0,672.0
595.0,687.0
592.0,713.0
593.0,705.0
593.0,692.0
589.0,685.0
586.0,665.0
584.0,648.0
584.0,627.0
585.0,611.0
583.0,533.0
582.0,521.0
582.0,513.0
581.0,511.0
579.0,509.0
579.0,514.0
578.0,520.0
579.0,526.0
586.0,562.0
590.0,570.0
595.0,577.0
602.0,580.0
607.0,578.0
610.0,574.0
611.0,567.0
608.0,530.0
607.0,524.0
611.0,518.0
617.0,512.0
623.0,509.0
632.0,515.0
642.0,517.0
678.0,556.0
680.0,567.0
677.0,575.0
670.0,574.0
660.0,570.0
656.0,566.0
652.0,555.0
649.0,517.0
654.0,510.0
660.0,506.0
666.0,503.0
674.0,504.0
683.0,508.0
686.0,515.0
692.0,521.0
694.0,533.0
661.0,562.0
661.0,562.0
647.0,562.0
639.0,564.0
634.0,569.0
647.0,595.0
658.0,599.0
668.0,618.0
674.0,620.0
678.0,621.0
678.0,621.0
686.0,613.0
708.0,582.0
709.0,582.0
711.0,583.0
711.0,589.0
710.0,604.0
705.0,613.0
704.0,621.0
694.0,659.0
699.0,666.0
703.0,673.0
708.0,679.0
717.0,679.0
722.0,673.0
721.0,669.0
713.0,640.0
705.0,637.0
699.0,632.0
693.0,626.0
686.0,626.0
686.0,624.0
697.0,620.0
703.0,617.0
709.0,608.0
729.0,580.0
729.0,580.0
737.0,571.0
743.0,562.0
753.0,558.0
763.0,555.0
792.0,554.0
797.0,559.0
802.0,564.0
805.0,571.0
805.0,571.0
810.0,580.0
819.0,633.0
817.0,641.0
816.0,637.0
816.0,626.0
815.0,614.0
817.0,595.0
818.0,538.0
817.0,523.0
815.0,507.0
816.0,496.0
821.0,489.0
822.0,492.0
823.0,497.0
821.0,502.0
814.0,509.0
803.0,540.0
799.0,554.0
793.0,564.0
782.0,582.0
773.0,584.0
765.0,586.0
783.0,583.0
797.0,580.0
808.0,580.0
808.0,580.0
821.0,577.0
831.0,574.0
845.0,573.0
847.0,577.0
861.0,622.0
863.0,637.0
868.0,655.0
871.0,669.0
871.0,669.0
865.0,713.0
865.0,705.0
861.0,701.0
862.0,691.0
862.0,676.0
863.0,666.0
859.0,602.0
857.0,558.0
858.0,540.0
857.0,526.0
858.0,514.0
855.0,505.0
853.0,499.0
850.0,502.0
848.0,506.0
856.0,545.0
856.0,545.0
868.0,565.0
874.0,574.0
877.0,578.0
875.0,549.0
873.0,540.0
873.0,530.0
874.0,523.0
876.0,515.0
881.0,511.0
887.0,510.0
894.0,512.0
929.0,533.0
940.0,540.0
948.0,547.0
955.0,560.0
956.0,565.0
952.0,571.0
946.0,577.0
940.0,581.0
913.0,568.0
910.0,556.0
909.0,547.0
905.0,535.0
904.0,525.0
906.0,518.0
910.0,513.0
931.0,526.0
933.0,533.0
934.0,542.0
934.0,548.0
935.0,558.0
936.0,565.0
934.0,567.0
932.0,566.0
935.0,533.0
934.0,524.0
938.0,518.0
942.0,515.0
949.0,511.0
958.0,516.0
994.0,534.0
1005.0,539.0
1015.0,544.0
1026.0,552.0
1037.0,559.0
1046.0,565.0
1052.0,571.0
1051.0,576.0
1026.0,573.0
1018.0,569.0
1011.0,559.0
1003.0,550.0
1001.0,540.0
1002.0,530.0
1002.0,519.0
1009.0,510.0
1037.0,512.0
1046.0,521.0
1053.0,531.0
1055.0,540.0
1057.0,551.0
1056.0,557.0
1027.0,581.0
1020.0,584.0
1016.0,584.0
