x,y
524.0,479.0
529.0,477.0
543.0,479.0
562.0,483.0
562.0,483.0
582.0,487.0
582.0,487.0
589.0,499.0
586.0,513.0
586.0,526.0
586.0,526.0
586.0,525.0
586.0,525.0
581.0,509.0
572.0,459.0
574.0,434.0
574.0,434.0
580.0,431.0
580.0,431.0
587.0,435.0
615.0,484.0
626.0,511.0
626.0,511.0
640.0,542.0
640.0,542.0
648.0,570.0
654.0,606.0
652.0,610.0
652.0,610.0
649.0,603.0
649.0,603.0
638.0,570.0
632.0,536.0
627.0,506.0
627.0,506.0
618.0,477.0
618.0,477.0
621.0,440.0
623.0,445.0
627.0,463.0
627.0,463.0
638.0,484.0
638.0,484.0
647.0,493.0
654.0,474.0
652.0,455.0
652.0,455.0
656.0,439.0
656.0,439.0
663.0,435.0
674.0,443.0
674.0,443.0
688.0,479.0
688.0,488.0
688.0,488.0
686.0,482.0
686.0,482.0
682.0,469.0
688.0,440.0
693.0,439.0
693.0,439.0
700.0,448.0
700.0,448.0
710.0,466.0
714.0,489.0
713.0,488.0
713.0,488.0
713.0,474.0
713.0,474.0
712.0,458.0
716.0,436.0
728.0,445.0
728.0,445.0
744.0,457.0
744.0,457.0
760.0,471.0
775.0,481.0
775.0,481.0
787.0,490.0
780.0,487.0
780.0,487.0
766.0,483.0
766.0,483.0
753.0,473.0
746.0,443.0
754.0,430.0
754.0,430.0
764.0,425.0
764.0,425.0
778.0,424.0
789.0,439.0
784.0,447.0
784.0,447.0
773.0,459.0
773.0,459.0
757.0,476.0
723.0,520.0
722.0,530.0
722.0,530.0
725.0,537.0
733.0,539.0
733.0,539.0
738.0,524.0
731.0,508.0
731.0,508.0
723.0,495.0
718.0,487.0
718.0,487.0
713.0,495.0
702.0,509.0
702.0,509.0
689.0,518.0
689.0,518.0
678.0,525.0
675.0,530.0
675.0,530.0
701.0,547.0
724.0,558.0
724.0,558.0
749.0,569.0
760.0,576.0
760.0,576.0
759.0,555.0
763.0,539.0
777.0,524.0
777.0,524.0
794.0,508.0
794.0,508.0
833.0,475.0
855.0,463.0
875.0,459.0
875.0,459.0
893.0,457.0
893.0,457.0
906.0,463.0
898.0,467.0
898.0,467.0
886.0,470.0
872.0,464.0
872.0,464.0
858.0,444.0
866.0,434.0
866.0,434.0
873.0,426.0
873.0,426.0
882.0,428.0
902.0,446.0
904.0,459.0
904.0,459.0
905.0,463.0
905.0,460.0
905.0,460.0
904.0,447.0
904.0,447.0
908.0,436.0
925.0,436.0
935.0,447.0
935.0,447.0
943.0,459.0
943.0,459.0
950.0,472.0
951.0,465.0
951.0,448.0
951.0,448.0
955.0,437.0
955.0,437.0
953.0,437.0
953.0,446.0
953.0,446.0
957.0,457.0
957.0,457.0
967.0,467.0
980.0,474.0
980.0,474.0
991.0,474.0
994.0,466.0
997.0,448.0
997.0,448.0
1004.0,437.0
1004.0,437.0
1005.0,431.0
990.0,434.0
969.0,450.0
969.0,450.0
938.0,470.0
938.0,470.0
906.0,484.0
906.0,484.0
880.0,497.0
837.0,519.0
828.0,526.0
828.0,526.0
828.0,527.0
828.0,527.0
848.0,516.0
864.0,508.0
881.0,503.0
881.0,503.0
903.0,508.0
903.0,508.0
928.0,521.0
933.0,529.0
930.0,534.0
930.0,534.0
926.0,529.0
926.0,529.0
