x,y
529.0,431.0
525.0,433.0
526.0,436.0
529.0,438.0
573.0,425.0
584.0,421.0
589.0,423.0
591.0,432.0
589.0,441.0
585.0,457.0
572.0,488.0
569.0,479.0
566.0,469.0
566.0,469.0
566.0,459.0
572.0,400.0
575.0,388.0
581.0,377.0
589.0,373.0
602.0,378.0
617.0,391.0
623.0,402.0
633.0,452.0
625.0,460.0
619.0,461.0
612.0,458.0
608.0,453.0
607.0,443.0
611.0,437.0
639.0,428.0
642.0,426.0
643.0,419.0
639.0,412.0
647.0,388.0
652.0,388.0
671.0,400.0
681.0,414.0
708.0,429.0
708.0,429.0
714.0,434.0
696.0,446.0
685.0,440.0
668.0,410.0
667.0,402.0
671.0,394.0
693.0,390.0
701.0,396.0
706.0,404.0
717.0,418.0
716.0,428.0
715.0,437.0
710.0,435.0
709.0,428.0
712.0,396.0
718.0,388.0
723.0,388.0
730.0,393.0
735.0,402.0
743.0,411.0
749.0,425.0
753.0,445.0
759.0,453.0
751.0,440.0
751.0,440.0
750.0,395.0
756.0,388.0
767.0,388.0
771.0,394.0
777.0,398.0
780.0,398.0
782.0,408.0
763.0,443.0
760.0,454.0
761.0,465.0
759.0,473.0
763.0,486.0
759.0,489.0
752.0,491.0
741.0,493.0
728.0,494.0
692.0,494.0
690.0,495.0
693.0,501.0
701.0,504.0
723.0,517.0
762.0,538.0
767.0,540.0
766.0,536.0
769.0,531.0
769.0,531.0
772.0,529.0
846.0,483.0
861.0,474.0
876.0,468.0
886.0,461.0
890.0,458.0
887.0,456.0
880.0,460.0
859.0,454.0
849.0,447.0
839.0,441.0
835.0,418.0
836.0,404.0
845.0,395.0
878.0,397.0
885.0,404.0
905.0,417.0
910.0,422.0
914.0,429.0
920.0,435.0
912.0,443.0
906.0,438.0
902.0,436.0
900.0,429.0
900.0,429.0
900.0,414.0
900.0,407.0
924.0,407.0
929.0,414.0
931.0,423.0
933.0,432.0
929.0,439.0
925.0,442.0
925.0,442.0
924.0,434.0
925.0,407.0
930.0,400.0
931.0,396.0
939.0,398.0
942.0,398.0
948.0,406.0
956.0,411.0
966.0,440.0
966.0,443.0
965.0,443.0
964.0,440.0
963.0,432.0
964.0,424.0
965.0,417.0
979.0,393.0
988.0,397.0
993.0,410.0
996.0,424.0
997.0,436.0
1000.0,443.0
990.0,414.0
987.0,399.0
985.0,382.0
980.0,366.0
978.0,344.0
976.0,328.0
971.0,314.0
966.0,302.0
956.0,314.0
958.0,323.0
962.0,334.0
967.0,343.0
976.0,352.0
983.0,363.0
992.0,374.0
1002.0,410.0
997.0,422.0
987.0,431.0
975.0,443.0
961.0,449.0
945.0,459.0
929.0,464.0
881.0,471.0
881.0,474.0
881.0,478.0
884.0,484.0
888.0,490.0
896.0,503.0
901.0,528.0
920.0,511.0
932.0,505.0
942.0,493.0
950.0,486.0
959.0,475.0
960.0,479.0
