x,y
520.0,446.0
521.0,448.0
521.0,450.0
535.0,486.0
536.0,497.0
538.0,504.0
537.0,505.0
533.0,463.0
534.0,448.0
531.0,431.0
531.0,418.0
532.0,409.0
533.0,406.0
532.0,426.0
531.0,436.0
527.0,448.0
518.0,457.0
516.0,464.0
509.0,472.0
505.0,476.0
508.0,476.0
515.0,474.0
526.0,473.0
536.0,471.0
571.0,482.0
571.0,481.0
569.0,479.0
568.0,473.0
564.0,463.0
562.0,450.0
564.0,413.0
565.0,413.0
568.0,416.0
565.0,424.0
564.0,429.0
564.0,438.0
581.0,465.0
591.0,470.0
602.0,473.0
612.0,479.0
633.0,481.0
630.0,479.0
625.0,474.0
620.0,471.0
617.0,468.0
618.0,462.0
633.0,452.0
644.0,453.0
652.0,453.0
661.0,456.0
669.0,460.0
676.0,463.0
681.0,468.0
670.0,476.0
661.0,470.0
653.0,466.0
646.0,459.0
641.0,447.0
640.0,439.0
639.0,430.0
673.0,425.0
680.0,432.0
698.0,454.0
705.0,465.0
707.0,473.0
709.0,459.0
704.0,437.0
702.0,430.0
701.0,428.0
701.0,428.0
704.0,430.0
722.0,471.0
730.0,477.0
735.0,483.0
741.0,484.0
745.0,481.0
742.0,468.0
742.0,459.0
738.0,433.0
741.0,427.0
744.0,423.0
747.0,424.0
751.0,426.0
755.0,431.0
753.0,439.0
719.0,466.0
703.0,475.0
688.0,480.0
673.0,483.0
641.0,492.0
641.0,495.0
647.0,503.0
654.0,510.0
662.0,518.0
668.0,527.0
668.0,527.0
683.0,524.0
687.0,517.0
691.0,509.0
702.0,496.0
712.0,491.0
721.0,489.0
761.0,477.0
774.0,473.0
791.0,471.0
806.0,469.0
824.0,469.0
837.0,470.0
849.0,471.0
867.0,494.0
860.0,495.0
852.0,492.0
852.0,492.0
845.0,488.0
839.0,479.0
837.0,472.0
837.0,464.0
860.0,430.0
870.0,435.0
874.0,440.0
879.0,450.0
891.0,502.0
890.0,519.0
890.0,537.0
890.0,567.0
889.0,579.0
892.0,590.0
892.0,596.0
894.0,584.0
894.0,569.0
895.0,554.0
896.0,534.0
894.0,488.0
897.0,466.0
900.0,414.0
901.0,415.0
900.0,424.0
900.0,437.0
900.0,437.0
900.0,451.0
866.0,519.0
858.0,527.0
849.0,534.0
843.0,539.0
841.0,545.0
853.0,549.0
863.0,547.0
878.0,550.0
907.0,551.0
920.0,551.0
932.0,551.0
941.0,551.0
955.0,551.0
952.0,548.0
952.0,548.0
946.0,541.0
940.0,526.0
939.0,514.0
960.0,480.0
969.0,475.0
982.0,473.0
993.0,473.0
1003.0,474.0
1009.0,477.0
1009.0,477.0
981.0,480.0
973.0,474.0
970.0,468.0
965.0,457.0
966.0,448.0
966.0,439.0
994.0,424.0
1004.0,431.0
1011.0,439.0
1013.0,450.0
1016.0,462.0
1015.0,468.0
1014.0,470.0
1010.0,440.0
1011.0,432.0
1016.0,426.0
1019.0,422.0
1026.0,423.0
1031.0,426.0
1040.0,465.0
1040.0,469.0
1041.0,472.0
1040.0,470.0
1037.0,462.0
1036.0,451.0
1049.0,426.0
1054.0,432.0
1060.0,440.0
1063.0,451.0
1067.0,461.0
1068.0,470.0
1067.0,472.0
1061.0,446.0
1057.0,430.0
1053.0,412.0
1051.0,397.0
1048.0,377.0
1035.0,309.0
1028.0,296.0
1023.0,294.0
1019.0,295.0
1013.0,299.0
1008.0,306.0
1010.0,317.0
1011.0,328.0
1057.0,377.0
1064.0,387.0
1071.0,397.0
1074.0,407.0
1072.0,417.0
1064.0,427.0
1014.0,459.0
998.0,469.0
981.0,475.0
965.0,477.0
953.0,484.0
945.0,487.0
954.0,507.0
966.0,515.0
977.0,522.0
987.0,532.0
996.0,538.0
1018.0,521.0
1023.0,511.0
1029.0,503.0
1032.0,498.0
1037.0,495.0
