x,y
479.0,481.0
481.0,480.0
480.0,478.0
479.0,464.0
478.0,420.0
479.0,405.0
478.0,393.0
480.0,382.0
480.0,380.0
481.0,378.0
477.0,383.0
453.0,431.0
448.0,435.0
443.0,435.0
444.0,435.0
462.0,440.0
470.0,443.0
482.0,446.0
498.0,447.0
507.0,452.0
507.0,452.0
517.0,454.0
522.0,455.0
523.0,454.0
520.0,448.0
518.0,440.0
520.0,428.0
521.0,400.0
518.0,395.0
519.0,399.0
517.0,409.0
519.0,416.0
521.0,423.0
526.0,428.0
532.0,433.0
544.0,441.0
560.0,451.0
571.0,460.0
570.0,458.0
568.0,456.0
568.0,454.0
564.0,450.0
562.0,440.0
562.0,433.0
564.0,424.0
569.0,399.0
591.0,421.0
591.0,421.0
595.0,432.0
597.0,442.0
600.0,454.0
596.0,440.0
604.0,404.0
616.0,405.0
621.0,407.0
624.0,411.0
629.0,417.0
639.0,429.0
644.0,436.0
649.0,441.0
653.0,447.0
634.0,446.0
626.0,435.0
622.0,421.0
619.0,410.0
624.0,401.0
636.0,392.0
643.0,389.0
652.0,394.0
658.0,402.0
660.0,434.0
655.0,442.0
652.0,448.0
644.0,445.0
640.0,442.0
644.0,438.0
674.0,446.0
678.0,446.0
680.0,446.0
677.0,438.0
677.0,438.0
675.0,427.0
676.0,401.0
679.0,423.0
681.0,433.0
686.0,441.0
697.0,445.0
704.0,445.0
708.0,431.0
705.0,408.0
707.0,400.0
716.0,395.0
727.0,397.0
736.0,400.0
744.0,407.0
763.0,430.0
762.0,440.0
756.0,441.0
738.0,442.0
729.0,439.0
722.0,429.0
719.0,420.0
740.0,399.0
745.0,406.0
754.0,412.0
754.0,412.0
760.0,416.0
770.0,435.0
767.0,418.0
766.0,402.0
765.0,387.0
768.0,374.0
769.0,352.0
767.0,338.0
767.0,338.0
762.0,321.0
756.0,325.0
756.0,344.0
756.0,357.0
758.0,371.0
762.0,383.0
763.0,392.0
769.0,401.0
788.0,427.0
788.0,432.0
783.0,434.0
770.0,434.0
760.0,443.0
742.0,445.0
725.0,450.0
650.0,461.0
634.0,466.0
623.0,472.0
615.0,474.0
609.0,476.0
605.0,480.0
602.0,485.0
609.0,486.0
615.0,486.0
621.0,484.0
624.0,480.0
623.0,471.0
618.0,464.0
610.0,456.0
601.0,449.0
607.0,454.0
615.0,457.0
622.0,461.0
626.0,464.0
635.0,471.0
651.0,488.0
657.0,492.0
663.0,492.0
665.0,488.0
666.0,485.0
666.0,479.0
663.0,474.0
657.0,468.0
650.0,457.0
652.0,460.0
652.0,467.0
652.0,475.0
649.0,484.0
644.0,494.0
638.0,503.0
611.0,537.0
611.0,543.0
611.0,544.0
615.0,539.0
622.0,538.0
634.0,533.0
710.0,501.0
731.0,494.0
753.0,484.0
774.0,475.0
794.0,471.0
811.0,464.0
829.0,462.0
843.0,462.0
879.0,494.0
884.0,510.0
885.0,523.0
891.0,540.0
895.0,554.0
890.0,570.0
890.0,580.0
878.0,583.0
873.0,572.0
868.0,558.0
866.0,540.0
863.0,524.0
862.0,505.0
863.0,480.0
866.0,417.0
864.0,417.0
865.0,418.0
866.0,422.0
870.0,435.0
873.0,443.0
880.0,455.0
885.0,462.0
909.0,459.0
906.0,450.0
904.0,438.0
903.0,427.0
905.0,418.0
910.0,409.0
950.0,425.0
955.0,432.0
968.0,443.0
971.0,451.0
971.0,457.0
969.0,463.0
961.0,460.0
955.0,457.0
938.0,431.0
944.0,424.0
944.0,417.0
949.0,412.0
959.0,412.0
966.0,413.0
968.0,417.0
978.0,443.0
972.0,453.0
966.0,455.0
960.0,453.0
959.0,452.0
958.0,448.0
961.0,447.0
990.0,450.0
999.0,451.0
1007.0,452.0
1016.0,452.0
1023.0,453.0
1029.0,453.0
1036.0,452.0
1039.0,451.0
1018.0,455.0
998.0,440.0
995.0,435.0
996.0,422.0
1019.0,394.0
1028.0,393.0
1034.0,392.0
1038.0,394.0
1040.0,397.0
1035.0,398.0
1029.0,400.0
992.0,397.0
982.0,392.0
975.0,387.0
968.0,383.0
964.0,377.0
964.0,373.0
960.0,371.0
960.0,369.0
959.0,371.0
