x,y
535.0,408.0
537.0,409.0
544.0,426.0
549.0,435.0
549.0,442.0
551.0,447.0
548.0,456.0
548.0,452.0
548.0,444.0
547.0,436.0
550.0,427.0
550.0,413.0
551.0,402.0
556.0,375.0
558.0,374.0
557.0,376.0
557.0,379.0
557.0,385.0
549.0,403.0
545.0,406.0
539.0,410.0
535.0,413.0
528.0,417.0
527.0,420.0
530.0,423.0
538.0,424.0
546.0,425.0
553.0,425.0
561.0,426.0
573.0,429.0
572.0,426.0
572.0,424.0
572.0,416.0
571.0,411.0
569.0,402.0
571.0,397.0
571.0,391.0
582.0,386.0
586.0,392.0
592.0,397.0
598.0,404.0
602.0,414.0
596.0,441.0
590.0,440.0
588.0,437.0
586.0,433.0
585.0,430.0
590.0,425.0
615.0,415.0
616.0,410.0
617.0,404.0
616.0,397.0
616.0,389.0
619.0,385.0
623.0,381.0
641.0,390.0
645.0,401.0
648.0,409.0
649.0,419.0
651.0,422.0
652.0,426.0
650.0,423.0
648.0,390.0
653.0,386.0
657.0,382.0
662.0,383.0
668.0,388.0
676.0,420.0
676.0,426.0
675.0,424.0
675.0,421.0
675.0,413.0
676.0,403.0
677.0,392.0
683.0,371.0
687.0,371.0
693.0,375.0
694.0,384.0
694.0,392.0
691.0,400.0
682.0,420.0
671.0,443.0
668.0,449.0
671.0,456.0
677.0,459.0
679.0,463.0
684.0,461.0
686.0,460.0
682.0,437.0
678.0,430.0
677.0,428.0
676.0,425.0
675.0,425.0
667.0,447.0
664.0,455.0
646.0,471.0
637.0,478.0
637.0,478.0
629.0,485.0
624.0,489.0
622.0,494.0
638.0,485.0
646.0,482.0
657.0,480.0
682.0,469.0
693.0,463.0
704.0,454.0
737.0,430.0
748.0,423.0
760.0,420.0
770.0,417.0
778.0,416.0
785.0,417.0
803.0,428.0
803.0,428.0
802.0,435.0
808.0,485.0
810.0,504.0
812.0,519.0
809.0,542.0
808.0,545.0
807.0,539.0
801.0,492.0
801.0,472.0
797.0,449.0
795.0,428.0
796.0,408.0
797.0,391.0
801.0,367.0
803.0,378.0
803.0,378.0
806.0,387.0
829.0,415.0
839.0,423.0
854.0,433.0
856.0,436.0
853.0,435.0
848.0,432.0
826.0,413.0
820.0,406.0
816.0,400.0
817.0,395.0
818.0,391.0
829.0,386.0
860.0,383.0
861.0,386.0
862.0,395.0
862.0,395.0
863.0,408.0
864.0,423.0
892.0,512.0
894.0,526.0
894.0,541.0
893.0,546.0
885.0,530.0
881.0,516.0
877.0,495.0
874.0,474.0
874.0,430.0
875.0,411.0
877.0,398.0
877.0,386.0
874.0,377.0
875.0,380.0
878.0,388.0
882.0,399.0
887.0,410.0
899.0,430.0
900.0,423.0
900.0,416.0
900.0,403.0
900.0,395.0
904.0,374.0
910.0,371.0
913.0,373.0
918.0,376.0
922.0,383.0
928.0,392.0
933.0,403.0
935.0,412.0
943.0,435.0
943.0,437.0
940.0,432.0
940.0,425.0
936.0,412.0
939.0,376.0
942.0,371.0
943.0,369.0
941.0,370.0
942.0,376.0
937.0,421.0
937.0,434.0
938.0,444.0
940.0,456.0
942.0,464.0
941.0,472.0
938.0,472.0
937.0,473.0
