x,y
486.0,416.0
488.0,419.0
497.0,434.0
500.0,444.0
507.0,459.0
507.0,468.0
511.0,482.0
515.0,493.0
521.0,486.0
508.0,431.0
508.0,431.0
505.0,410.0
514.0,370.0
517.0,374.0
514.0,394.0
507.0,405.0
493.0,418.0
481.0,428.0
470.0,438.0
455.0,450.0
461.0,452.0
470.0,448.0
478.0,446.0
512.0,440.0
528.0,438.0
571.0,433.0
571.0,433.0
567.0,436.0
527.0,418.0
519.0,397.0
523.0,386.0
531.0,375.0
539.0,369.0
577.0,368.0
585.0,378.0
594.0,391.0
593.0,399.0
589.0,413.0
578.0,432.0
567.0,434.0
556.0,418.0
574.0,408.0
574.0,408.0
590.0,404.0
604.0,406.0
618.0,411.0
638.0,428.0
636.0,442.0
633.0,435.0
630.0,423.0
628.0,408.0
628.0,370.0
630.0,360.0
633.0,368.0
632.0,381.0
633.0,392.0
630.0,408.0
628.0,426.0
627.0,462.0
626.0,468.0
622.0,469.0
601.0,466.0
588.0,460.0
538.0,455.0
531.0,457.0
528.0,459.0
528.0,464.0
533.0,475.0
533.0,475.0
561.0,491.0
567.0,483.0
573.0,477.0
579.0,467.0
594.0,459.0
594.0,467.0
594.0,467.0
592.0,482.0
618.0,520.0
630.0,530.0
639.0,542.0
647.0,548.0
649.0,550.0
650.0,551.0
646.0,529.0
649.0,523.0
653.0,515.0
659.0,508.0
693.0,473.0
704.0,462.0
722.0,453.0
738.0,446.0
753.0,438.0
771.0,433.0
788.0,430.0
813.0,437.0
810.0,440.0
806.0,444.0
796.0,444.0
787.0,442.0
775.0,435.0
767.0,426.0
764.0,387.0
770.0,377.0
779.0,374.0
791.0,376.0
800.0,388.0
809.0,403.0
818.0,488.0
816.0,507.0
814.0,524.0
810.0,539.0
804.0,536.0
803.0,519.0
805.0,499.0
809.0,474.0
813.0,450.0
814.0,423.0
815.0,401.0
819.0,375.0
815.0,388.0
811.0,401.0
806.0,420.0
798.0,439.0
791.0,455.0
783.0,472.0
775.0,485.0
752.0,512.0
756.0,511.0
764.0,508.0
775.0,505.0
836.0,508.0
847.0,511.0
855.0,512.0
858.0,512.0
858.0,510.0
855.0,504.0
843.0,475.0
844.0,461.0
848.0,453.0
854.0,442.0
860.0,432.0
872.0,424.0
916.0,412.0
921.0,415.0
917.0,416.0
908.0,418.0
897.0,417.0
887.0,414.0
877.0,411.0
854.0,391.0
858.0,383.0
860.0,375.0
869.0,371.0
877.0,368.0
909.0,396.0
912.0,411.0
912.0,421.0
909.0,429.0
908.0,430.0
907.0,422.0
907.0,411.0
910.0,368.0
910.0,363.0
909.0,358.0
909.0,359.0
909.0,361.0
911.0,362.0
