x,y
485.0,451.0
486.0,443.0
490.0,396.0
490.0,379.0
492.0,349.0
489.0,343.0
491.0,347.0
481.0,374.0
475.0,382.0
467.0,393.0
461.0,399.0
458.0,401.0
493.0,392.0
505.0,392.0
515.0,391.0
531.0,396.0
532.0,395.0
527.0,396.0
526.0,391.0
520.0,374.0
530.0,339.0
538.0,344.0
544.0,349.0
558.0,385.0
562.0,394.0
564.0,399.0
560.0,391.0
557.0,384.0
555.0,372.0
569.0,332.0
569.0,332.0
574.0,332.0
581.0,336.0
585.0,343.0
570.0,421.0
561.0,435.0
552.0,453.0
544.0,467.0
535.0,502.0
541.0,507.0
552.0,512.0
559.0,505.0
563.0,499.0
547.0,460.0
541.0,451.0
539.0,448.0
539.0,448.0
539.0,445.0
538.0,444.0
545.0,439.0
581.0,414.0
594.0,408.0
623.0,397.0
623.0,397.0
682.0,389.0
682.0,389.0
710.0,399.0
750.0,461.0
760.0,495.0
760.0,495.0
757.0,535.0
748.0,522.0
740.0,498.0
740.0,498.0
732.0,459.0
732.0,459.0
722.0,380.0
719.0,355.0
719.0,355.0
723.0,344.0
733.0,349.0
764.0,377.0
764.0,377.0
777.0,391.0
783.0,401.0
783.0,401.0
757.0,393.0
744.0,380.0
743.0,364.0
743.0,364.0
755.0,341.0
767.0,350.0
767.0,350.0
778.0,367.0
778.0,367.0
783.0,385.0
782.0,384.0
781.0,365.0
781.0,365.0
781.0,349.0
801.0,362.0
801.0,362.0
814.0,387.0
821.0,400.0
821.0,400.0
819.0,370.0
815.0,350.0
813.0,344.0
813.0,344.0
821.0,372.0
832.0,394.0
841.0,407.0
841.0,407.0
846.0,387.0
845.0,367.0
845.0,367.0
849.0,348.0
857.0,348.0
857.0,348.0
894.0,385.0
909.0,419.0
909.0,419.0
927.0,502.0
927.0,531.0
924.0,547.0
924.0,547.0
916.0,542.0
916.0,542.0
902.0,489.0
896.0,449.0
895.0,422.0
886.0,369.0
885.0,361.0
885.0,355.0
884.0,355.0
886.0,359.0
895.0,373.0
901.0,380.0
904.0,388.0
911.0,398.0
916.0,406.0
924.0,418.0
936.0,407.0
936.0,398.0
937.0,391.0
933.0,364.0
934.0,361.0
933.0,357.0
936.0,353.0
939.0,351.0
943.0,349.0
956.0,351.0
954.0,351.0
948.0,350.0
942.0,348.0
904.0,343.0
892.0,338.0
879.0,334.0
867.0,330.0
820.0,315.0
815.0,317.0
809.0,315.0
807.0,314.0
796.0,308.0
795.0,305.0
794.0,307.0
794.0,307.0
