x,y
549.0,470.0
551.0,468.0
551.0,463.0
557.0,447.0
562.0,433.0
563.0,419.0
574.0,375.0
577.0,369.0
580.0,370.0
583.0,373.0
585.0,380.0
614.0,444.0
618.0,450.0
619.0,458.0
619.0,462.0
620.0,459.0
622.0,456.0
624.0,456.0
637.0,457.0
640.0,460.0
641.0,454.0
639.0,444.0
639.0,444.0
636.0,431.0
634.0,418.0
646.0,374.0
653.0,373.0
657.0,376.0
661.0,382.0
664.0,390.0
664.0,425.0
662.0,444.0
656.0,460.0
640.0,490.0
629.0,505.0
618.0,520.0
607.0,528.0
597.0,537.0
589.0,542.0
589.0,542.0
595.0,538.0
603.0,533.0
626.0,520.0
640.0,514.0
660.0,510.0
705.0,483.0
711.0,471.0
717.0,458.0
721.0,450.0
721.0,450.0
734.0,440.0
755.0,431.0
767.0,428.0
808.0,448.0
814.0,455.0
819.0,473.0
823.0,492.0
826.0,513.0
826.0,513.0
819.0,530.0
816.0,514.0
817.0,498.0
816.0,478.0
816.0,454.0
818.0,437.0
823.0,393.0
831.0,381.0
838.0,376.0
844.0,377.0
858.0,379.0
868.0,384.0
879.0,392.0
886.0,402.0
889.0,413.0
864.0,448.0
846.0,456.0
826.0,463.0
807.0,471.0
787.0,477.0
770.0,480.0
770.0,488.0
788.0,487.0
805.0,488.0
823.0,486.0
838.0,486.0
855.0,488.0
868.0,494.0
903.0,546.0
908.0,566.0
910.0,586.0
912.0,607.0
911.0,624.0
909.0,642.0
904.0,652.0
901.0,658.0
881.0,621.0
880.0,599.0
879.0,571.0
880.0,545.0
880.0,506.0
883.0,477.0
878.0,400.0
873.0,399.0
871.0,405.0
869.0,413.0
870.0,425.0
874.0,433.0
877.0,444.0
902.0,486.0
909.0,497.0
913.0,498.0
918.0,498.0
922.0,492.0
921.0,482.0
921.0,469.0
915.0,419.0
918.0,411.0
919.0,405.0
928.0,401.0
938.0,399.0
952.0,399.0
963.0,402.0
1013.0,447.0
1020.0,461.0
1025.0,474.0
1022.0,484.0
1013.0,488.0
1001.0,487.0
990.0,482.0
960.0,423.0
960.0,408.0
966.0,398.0
974.0,389.0
986.0,388.0
1000.0,386.0
1015.0,391.0
1025.0,397.0
1027.0,432.0
1016.0,441.0
1003.0,448.0
987.0,454.0
974.0,462.0
955.0,487.0
963.0,497.0
974.0,507.0
984.0,522.0
993.0,535.0
1005.0,545.0
1015.0,551.0
1041.0,513.0
1055.0,502.0
1063.0,492.0
1070.0,487.0
1073.0,485.0
1071.0,486.0
1060.0,507.0
1064.0,513.0
1071.0,521.0
1084.0,526.0
1101.0,533.0
1117.0,539.0
1135.0,548.0
1153.0,555.0
1181.0,565.0
1180.0,564.0
