x,y
573.0,469.0
573.0,467.0
575.0,472.0
574.0,475.0
577.0,482.0
570.0,494.0
559.0,498.0
529.0,461.0
530.0,450.0
539.0,440.0
550.0,436.0
562.0,441.0
578.0,510.0
581.0,533.0
582.0,556.0
584.0,573.0
583.0,585.0
583.0,591.0
581.0,545.0
581.0,518.0
586.0,480.0
588.0,456.0
588.0,440.0
594.0,428.0
598.0,418.0
598.0,427.0
577.0,515.0
563.0,525.0
555.0,526.0
547.0,527.0
542.0,525.0
574.0,531.0
609.0,534.0
609.0,534.0
621.0,540.0
632.0,541.0
608.0,511.0
601.0,493.0
596.0,476.0
593.0,458.0
598.0,440.0
605.0,418.0
613.0,415.0
613.0,415.0
644.0,456.0
649.0,470.0
656.0,481.0
654.0,481.0
649.0,474.0
648.0,461.0
648.0,443.0
674.0,417.0
687.0,432.0
698.0,448.0
705.0,465.0
705.0,472.0
698.0,471.0
688.0,465.0
681.0,452.0
694.0,418.0
705.0,426.0
717.0,444.0
727.0,460.0
730.0,467.0
728.0,467.0
726.0,456.0
721.0,444.0
721.0,420.0
732.0,441.0
732.0,441.0
737.0,457.0
742.0,462.0
747.0,419.0
748.0,409.0
751.0,419.0
758.0,436.0
766.0,450.0
774.0,458.0
779.0,455.0
777.0,392.0
778.0,392.0
785.0,397.0
777.0,426.0
767.0,445.0
755.0,459.0
739.0,471.0
694.0,484.0
683.0,480.0
672.0,480.0
668.0,479.0
667.0,482.0
666.0,494.0
668.0,501.0
669.0,508.0
674.0,520.0
682.0,526.0
691.0,531.0
696.0,535.0
702.0,528.0
706.0,522.0
708.0,498.0
713.0,506.0
712.0,516.0
712.0,524.0
712.0,524.0
713.0,534.0
710.0,548.0
711.0,562.0
711.0,575.0
730.0,610.0
736.0,607.0
737.0,602.0
736.0,588.0
731.0,574.0
715.0,554.0
728.0,557.0
735.0,558.0
740.0,557.0
746.0,552.0
750.0,540.0
760.0,530.0
791.0,499.0
806.0,493.0
818.0,486.0
843.0,475.0
857.0,469.0
871.0,468.0
885.0,463.0
897.0,464.0
906.0,467.0
904.0,480.0
892.0,482.0
880.0,481.0
860.0,463.0
855.0,450.0
894.0,438.0
903.0,458.0
910.0,474.0
911.0,495.0
911.0,495.0
916.0,521.0
918.0,566.0
911.0,606.0
908.0,593.0
903.0,571.0
905.0,548.0
910.0,517.0
911.0,486.0
909.0,460.0
909.0,460.0
927.0,433.0
935.0,439.0
949.0,454.0
955.0,467.0
959.0,478.0
951.0,488.0
939.0,468.0
932.0,456.0
935.0,444.0
936.0,432.0
960.0,423.0
966.0,431.0
980.0,467.0
977.0,467.0
978.0,461.0
978.0,451.0
979.0,439.0
983.0,430.0
1010.0,440.0
1018.0,457.0
1021.0,467.0
1026.0,478.0
1031.0,485.0
1034.0,483.0
1034.0,472.0
1020.0,421.0
1018.0,419.0
1021.0,421.0
1024.0,434.0
1029.0,449.0
1034.0,464.0
1041.0,473.0
1045.0,479.0
1058.0,457.0
1057.0,444.0
1054.0,435.0
1051.0,431.0
1052.0,435.0
1052.0,442.0
1059.0,451.0
1074.0,442.0
1073.0,433.0
1075.0,430.0
1078.0,431.0
1083.0,440.0
1092.0,451.0
1112.0,538.0
1115.0,561.0
1117.0,580.0
1116.0,598.0
1114.0,607.0
1111.0,615.0
1100.0,611.0
1098.0,600.0
1092.0,511.0
1091.0,487.0
1085.0,463.0
1086.0,444.0
1080.0,433.0
1077.0,428.0
1083.0,422.0
1096.0,454.0
1100.0,469.0
1106.0,481.0
1115.0,489.0
1125.0,491.0
1128.0,492.0
1134.0,485.0
1125.0,442.0
1126.0,436.0
1128.0,434.0
1132.0,431.0
1139.0,432.0
1147.0,437.0
1155.0,441.0
1165.0,444.0
1160.0,454.0
1152.0,451.0
