x,y
537.0,479.0
537.0,478.0
538.0,479.0
541.0,479.0
544.0,483.0
532.0,510.0
523.0,510.0
514.0,511.0
506.0,509.0
506.0,509.0
498.0,499.0
502.0,449.0
508.0,447.0
516.0,450.0
523.0,462.0
531.0,474.0
534.0,486.0
553.0,546.0
557.0,593.0
558.0,606.0
558.0,615.0
563.0,623.0
563.0,615.0
557.0,571.0
554.0,546.0
553.0,522.0
553.0,522.0
545.0,475.0
552.0,443.0
548.0,452.0
544.0,469.0
545.0,490.0
547.0,514.0
539.0,534.0
532.0,546.0
512.0,563.0
515.0,563.0
524.0,564.0
539.0,568.0
559.0,569.0
573.0,571.0
585.0,577.0
601.0,584.0
599.0,580.0
598.0,573.0
596.0,566.0
594.0,552.0
589.0,535.0
603.0,501.0
610.0,498.0
618.0,502.0
624.0,508.0
623.0,514.0
626.0,515.0
626.0,513.0
624.0,484.0
625.0,475.0
627.0,470.0
635.0,468.0
644.0,470.0
658.0,489.0
664.0,515.0
662.0,510.0
660.0,502.0
659.0,491.0
660.0,480.0
660.0,472.0
662.0,468.0
697.0,473.0
701.0,480.0
710.0,490.0
718.0,499.0
720.0,507.0
721.0,516.0
700.0,505.0
696.0,493.0
692.0,481.0
696.0,472.0
700.0,466.0
707.0,461.0
718.0,463.0
747.0,496.0
747.0,506.0
743.0,514.0
738.0,521.0
732.0,521.0
729.0,517.0
730.0,512.0
732.0,509.0
759.0,510.0
768.0,515.0
772.0,517.0
773.0,515.0
774.0,509.0
772.0,501.0
774.0,491.0
773.0,471.0
778.0,478.0
780.0,490.0
783.0,497.0
788.0,506.0
796.0,516.0
805.0,519.0
817.0,511.0
816.0,503.0
815.0,492.0
816.0,486.0
820.0,480.0
842.0,479.0
853.0,484.0
862.0,492.0
873.0,502.0
874.0,513.0
872.0,524.0
867.0,527.0
838.0,501.0
838.0,492.0
836.0,478.0
840.0,472.0
845.0,469.0
875.0,490.0
878.0,500.0
877.0,508.0
872.0,510.0
871.0,506.0
866.0,498.0
858.0,430.0
854.0,414.0
848.0,390.0
838.0,371.0
833.0,357.0
812.0,354.0
813.0,366.0
814.0,380.0
816.0,390.0
824.0,407.0
833.0,420.0
885.0,453.0
886.0,462.0
876.0,470.0
867.0,478.0
854.0,485.0
834.0,490.0
814.0,495.0
729.0,504.0
708.0,505.0
692.0,511.0
678.0,512.0
669.0,518.0
661.0,525.0
656.0,542.0
662.0,550.0
668.0,555.0
673.0,555.0
677.0,555.0
685.0,552.0
688.0,544.0
670.0,512.0
663.0,504.0
660.0,503.0
662.0,504.0
666.0,507.0
674.0,512.0
681.0,517.0
708.0,548.0
705.0,559.0
704.0,565.0
705.0,574.0
709.0,572.0
720.0,568.0
739.0,546.0
738.0,535.0
733.0,524.0
730.0,522.0
727.0,522.0
725.0,526.0
726.0,530.0
722.0,537.0
694.0,578.0
683.0,589.0
674.0,600.0
666.0,607.0
657.0,614.0
654.0,621.0
654.0,625.0
687.0,613.0
703.0,606.0
720.0,597.0
754.0,574.0
770.0,566.0
789.0,556.0
869.0,520.0
885.0,518.0
899.0,515.0
913.0,510.0
925.0,511.0
933.0,510.0
941.0,509.0
953.0,531.0
953.0,537.0
950.0,538.0
950.0,535.0
947.0,530.0
947.0,519.0
953.0,458.0
958.0,418.0
957.0,401.0
957.0,401.0
957.0,383.0
949.0,376.0
950.0,389.0
952.0,403.0
949.0,417.0
948.0,449.0
950.0,467.0
952.0,482.0
961.0,518.0
966.0,527.0
972.0,528.0
976.0,530.0
983.0,527.0
988.0,518.0
991.0,508.0
997.0,475.0
1004.0,479.0
1009.0,480.0
1017.0,487.0
1039.0,538.0
1044.0,555.0
1052.0,586.0
1052.0,603.0
1054.0,623.0
1056.0,639.0
1056.0,639.0
1059.0,643.0
1035.0,613.0
1032.0,598.0
1033.0,579.0
1037.0,528.0
1035.0,505.0
1035.0,487.0
1038.0,474.0
1034.0,479.0
1036.0,485.0
1039.0,491.0
1045.0,498.0
1059.0,517.0
1065.0,520.0
1072.0,524.0
1065.0,515.0
1064.0,507.0
1061.0,496.0
1059.0,483.0
1059.0,475.0
1062.0,472.0
1066.0,469.0
1097.0,483.0
1107.0,492.0
1112.0,497.0
1112.0,497.0
1115.0,506.0
1110.0,509.0
1105.0,516.0
1090.0,500.0
1082.0,489.0
1078.0,477.0
1079.0,470.0
1087.0,464.0
1108.0,458.0
1120.0,463.0
1125.0,470.0
1137.0,477.0
1141.0,486.0
1140.0,497.0
1131.0,500.0
1133.0,511.0
1121.0,528.0
1112.0,525.0
1105.0,523.0
1104.0,524.0
1094.0,521.0
1089.0,523.0
1093.0,527.0
1088.0,523.0
1087.0,530.0
1081.0,542.0
1083.0,557.0
1073.0,563.0
1066.0,577.0
1063.0,579.0
1060.0,580.0
1070.0,588.0
1081.0,588.0
1089.0,592.0
1092.0,592.0
1092.0,592.0
1097.0,594.0
1098.0,598.0
1106.0,574.0
1108.0,562.0
1122.0,556.0
1126.0,546.0
1131.0,543.0
1118.0,541.0
1129.0,556.0
1129.0,563.0
1117.0,562.0
1114.0,565.0
1108.0,568.0
1108.0,570.0
1107.0,574.0
1132.0,598.0
1132.0,598.0
1124.0,603.0
1140.0,610.0
1160.0,632.0
1149.0,628.0
1141.0,619.0
1146.0,627.0
1151.0,622.0
1134.0,612.0
