x,y
546.0,450.0
546.0,453.0
549.0,459.0
537.0,480.0
531.0,485.0
524.0,488.0
503.0,483.0
496.0,476.0
493.0,458.0
494.0,451.0
496.0,442.0
502.0,435.0
531.0,438.0
531.0,438.0
537.0,446.0
559.0,516.0
560.0,537.0
566.0,555.0
568.0,572.0
569.0,608.0
569.0,608.0
566.0,601.0
568.0,593.0
565.0,487.0
564.0,463.0
561.0,444.0
561.0,426.0
564.0,416.0
562.0,436.0
563.0,452.0
562.0,469.0
560.0,483.0
555.0,501.0
549.0,514.0
521.0,558.0
519.0,565.0
517.0,565.0
517.0,565.0
529.0,564.0
539.0,562.0
591.0,559.0
606.0,563.0
613.0,568.0
616.0,570.0
619.0,566.0
617.0,559.0
614.0,552.0
613.0,539.0
616.0,484.0
621.0,478.0
627.0,477.0
628.0,480.0
630.0,484.0
630.0,486.0
630.0,489.0
622.0,449.0
624.0,437.0
628.0,422.0
660.0,430.0
674.0,435.0
688.0,448.0
694.0,458.0
696.0,466.0
695.0,475.0
687.0,483.0
649.0,461.0
644.0,451.0
643.0,436.0
647.0,425.0
651.0,418.0
656.0,415.0
664.0,414.0
685.0,452.0
687.0,460.0
687.0,467.0
689.0,469.0
685.0,466.0
682.0,461.0
698.0,423.0
704.0,416.0
711.0,420.0
714.0,424.0
717.0,429.0
718.0,438.0
683.0,490.0
672.0,502.0
664.0,513.0
657.0,521.0
649.0,525.0
641.0,527.0
639.0,529.0
637.0,494.0
634.0,474.0
631.0,452.0
629.0,430.0
624.0,407.0
626.0,393.0
627.0,382.0
658.0,394.0
683.0,407.0
703.0,415.0
721.0,422.0
741.0,434.0
756.0,446.0
826.0,486.0
837.0,491.0
844.0,498.0
846.0,505.0
840.0,510.0
834.0,509.0
795.0,485.0
789.0,474.0
784.0,458.0
776.0,445.0
777.0,431.0
778.0,423.0
785.0,418.0
837.0,429.0
852.0,444.0
870.0,455.0
884.0,474.0
894.0,496.0
902.0,519.0
912.0,540.0
922.0,610.0
922.0,616.0
920.0,618.0
917.0,613.0
913.0,600.0
905.0,582.0
901.0,563.0
892.0,535.0
875.0,444.0
874.0,430.0
868.0,427.0
868.0,429.0
870.0,439.0
891.0,482.0
899.0,488.0
908.0,494.0
907.0,487.0
910.0,483.0
896.0,437.0
897.0,432.0
902.0,429.0
911.0,431.0
921.0,435.0
932.0,445.0
944.0,454.0
958.0,499.0
954.0,502.0
953.0,496.0
950.0,487.0
952.0,475.0
952.0,466.0
951.0,455.0
953.0,446.0
979.0,444.0
983.0,450.0
983.0,459.0
986.0,473.0
986.0,488.0
980.0,550.0
979.0,564.0
979.0,575.0
981.0,587.0
984.0,595.0
987.0,599.0
992.0,602.0
999.0,580.0
996.0,571.0
990.0,560.0
985.0,549.0
978.0,541.0
973.0,536.0
966.0,535.0
