x,y
530.0,363.0
525.0,385.0
517.0,392.0
509.0,394.0
495.0,397.0
466.0,366.0
468.0,356.0
478.0,351.0
485.0,344.0
485.0,344.0
501.0,345.0
526.0,398.0
528.0,417.0
534.0,442.0
541.0,529.0
541.0,529.0
540.0,545.0
540.0,541.0
539.0,472.0
539.0,452.0
537.0,427.0
535.0,400.0
533.0,375.0
534.0,359.0
540.0,360.0
542.0,378.0
541.0,395.0
541.0,419.0
536.0,445.0
533.0,464.0
523.0,478.0
496.0,504.0
497.0,504.0
501.0,502.0
510.0,499.0
523.0,496.0
538.0,492.0
589.0,493.0
592.0,493.0
591.0,491.0
588.0,489.0
580.0,481.0
573.0,474.0
565.0,465.0
560.0,397.0
558.0,381.0
560.0,369.0
567.0,358.0
576.0,355.0
588.0,355.0
596.0,355.0
609.0,363.0
653.0,409.0
652.0,418.0
649.0,427.0
646.0,426.0
635.0,421.0
624.0,415.0
616.0,404.0
614.0,353.0
624.0,349.0
632.0,348.0
648.0,346.0
668.0,362.0
672.0,420.0
661.0,427.0
652.0,442.0
636.0,447.0
624.0,453.0
611.0,450.0
603.0,447.0
610.0,449.0
619.0,456.0
631.0,467.0
641.0,474.0
653.0,485.0
661.0,488.0
668.0,487.0
673.0,483.0
690.0,455.0
688.0,460.0
687.0,472.0
679.0,488.0
674.0,503.0
665.0,519.0
659.0,534.0
644.0,571.0
644.0,569.0
650.0,562.0
659.0,552.0
686.0,527.0
701.0,513.0
777.0,465.0
803.0,457.0
821.0,449.0
854.0,443.0
865.0,442.0
846.0,444.0
831.0,441.0
816.0,433.0
806.0,430.0
797.0,419.0
795.0,411.0
793.0,401.0
841.0,396.0
855.0,398.0
873.0,405.0
883.0,416.0
911.0,446.0
927.0,466.0
970.0,555.0
970.0,574.0
970.0,588.0
968.0,595.0
961.0,592.0
951.0,582.0
930.0,488.0
927.0,460.0
923.0,431.0
917.0,409.0
916.0,394.0
915.0,388.0
934.0,429.0
941.0,446.0
961.0,470.0
971.0,475.0
975.0,474.0
978.0,464.0
985.0,419.0
995.0,414.0
1003.0,413.0
1015.0,415.0
1023.0,420.0
1033.0,427.0
1053.0,478.0
1049.0,483.0
1041.0,482.0
1029.0,476.0
1019.0,464.0
1008.0,452.0
1007.0,438.0
1033.0,404.0
1042.0,402.0
1053.0,404.0
1060.0,411.0
1067.0,420.0
1065.0,469.0
1058.0,481.0
1046.0,482.0
1039.0,480.0
1029.0,475.0
1027.0,466.0
1028.0,459.0
1034.0,455.0
1071.0,458.0
1077.0,463.0
1086.0,471.0
1086.0,471.0
1090.0,478.0
1090.0,478.0
1083.0,479.0
1078.0,471.0
1078.0,471.0
1067.0,420.0
1071.0,395.0
1071.0,395.0
1080.0,385.0
1087.0,388.0
1087.0,388.0
1092.0,407.0
1090.0,430.0
1081.0,452.0
1081.0,452.0
1067.0,480.0
1067.0,480.0
1049.0,503.0
1033.0,534.0
1040.0,538.0
1040.0,538.0
1047.0,536.0
1047.0,536.0
1058.0,515.0
1055.0,498.0
1044.0,480.0
1044.0,480.0
1042.0,474.0
