x,y
552.0,427.0
558.0,429.0
564.0,444.0
564.0,444.0
560.0,465.0
560.0,465.0
527.0,472.0
507.0,454.0
504.0,426.0
504.0,426.0
515.0,418.0
515.0,418.0
532.0,414.0
567.0,477.0
581.0,523.0
581.0,523.0
598.0,602.0
604.0,627.0
605.0,629.0
605.0,629.0
603.0,603.0
603.0,603.0
586.0,526.0
577.0,474.0
571.0,434.0
571.0,434.0
571.0,416.0
571.0,416.0
565.0,454.0
567.0,500.0
567.0,500.0
558.0,526.0
558.0,526.0
539.0,546.0
539.0,551.0
573.0,553.0
573.0,553.0
609.0,555.0
631.0,563.0
631.0,563.0
626.0,556.0
614.0,541.0
612.0,520.0
612.0,520.0
620.0,500.0
620.0,500.0
651.0,477.0
671.0,477.0
683.0,480.0
683.0,480.0
683.0,488.0
683.0,488.0
654.0,483.0
638.0,465.0
638.0,465.0
634.0,448.0
634.0,448.0
642.0,435.0
663.0,433.0
663.0,433.0
687.0,471.0
682.0,490.0
682.0,490.0
665.0,489.0
650.0,476.0
650.0,476.0
669.0,466.0
696.0,474.0
719.0,481.0
719.0,481.0
732.0,491.0
732.0,491.0
730.0,496.0
714.0,464.0
713.0,439.0
713.0,439.0
719.0,417.0
719.0,417.0
728.0,423.0
719.0,447.0
719.0,447.0
707.0,473.0
692.0,492.0
692.0,492.0
668.0,507.0
668.0,507.0
630.0,513.0
637.0,519.0
637.0,519.0
653.0,533.0
675.0,549.0
675.0,549.0
697.0,558.0
699.0,541.0
700.0,526.0
700.0,526.0
689.0,502.0
689.0,502.0
670.0,478.0
641.0,401.0
630.0,393.0
630.0,393.0
626.0,393.0
626.0,393.0
647.0,414.0
673.0,423.0
705.0,432.0
705.0,432.0
736.0,437.0
736.0,437.0
796.0,457.0
828.0,481.0
828.0,481.0
849.0,518.0
863.0,552.0
863.0,552.0
876.0,584.0
876.0,584.0
869.0,598.0
858.0,574.0
848.0,540.0
848.0,540.0
834.0,497.0
834.0,497.0
836.0,457.0
860.0,431.0
875.0,445.0
875.0,445.0
883.0,460.0
883.0,460.0
887.0,482.0
887.0,482.0
873.0,486.0
867.0,471.0
881.0,462.0
881.0,462.0
901.0,462.0
942.0,475.0
952.0,487.0
952.0,487.0
946.0,495.0
946.0,495.0
915.0,475.0
903.0,456.0
902.0,442.0
902.0,442.0
909.0,431.0
909.0,431.0
940.0,439.0
951.0,455.0
953.0,476.0
953.0,476.0
943.0,486.0
943.0,486.0
927.0,485.0
927.0,485.0
929.0,477.0
961.0,481.0
972.0,490.0
972.0,490.0
972.0,491.0
972.0,491.0
965.0,476.0
958.0,427.0
957.0,430.0
957.0,430.0
961.0,448.0
961.0,448.0
986.0,478.0
990.0,476.0
986.0,464.0
986.0,464.0
984.0,443.0
984.0,443.0
981.0,431.0
1007.0,431.0
1025.0,449.0
1025.0,449.0
1036.0,469.0
1036.0,469.0
1036.0,487.0
1022.0,489.0
1022.0,489.0
999.0,449.0
1007.0,434.0
1007.0,434.0
1016.0,435.0
1016.0,435.0
1030.0,449.0
1042.0,475.0
1035.0,467.0
1035.0,467.0
1025.0,444.0
1025.0,444.0
1021.0,396.0
1015.0,366.0
1005.0,339.0
1005.0,339.0
1002.0,337.0
1002.0,337.0
994.0,350.0
997.0,389.0
1008.0,407.0
1008.0,407.0
1025.0,425.0
1025.0,425.0
1040.0,443.0
1044.0,474.0
1020.0,496.0
1020.0,496.0
979.0,513.0
979.0,513.0
927.0,536.0
941.0,551.0
941.0,551.0
956.0,568.0
956.0,568.0
991.0,596.0
997.0,603.0
