x,y
368.0,493.0
371.0,496.0
371.0,496.0
368.0,500.0
356.0,500.0
347.0,487.0
347.0,487.0
341.0,473.0
341.0,473.0
341.0,460.0
362.0,443.0
380.0,448.0
380.0,448.0
397.0,461.0
430.0,506.0
447.0,538.0
447.0,538.0
455.0,570.0
455.0,570.0
452.0,604.0
451.0,588.0
447.0,561.0
447.0,561.0
442.0,495.0
439.0,475.0
441.0,463.0
441.0,463.0
454.0,491.0
464.0,504.0
468.0,500.0
468.0,500.0
472.0,477.0
476.0,469.0
476.0,469.0
482.0,464.0
482.0,464.0
490.0,468.0
499.0,481.0
499.0,481.0
503.0,504.0
503.0,495.0
503.0,495.0
502.0,479.0
502.0,479.0
507.0,464.0
529.0,490.0
529.0,490.0
535.0,500.0
535.0,496.0
535.0,496.0
536.0,470.0
537.0,464.0
538.0,471.0
538.0,471.0
543.0,485.0
543.0,485.0
556.0,502.0
557.0,496.0
557.0,496.0
558.0,480.0
558.0,470.0
558.0,470.0
558.0,491.0
568.0,501.0
568.0,501.0
584.0,509.0
589.0,503.0
590.0,490.0
590.0,490.0
594.0,477.0
594.0,477.0
598.0,468.0
598.0,468.0
608.0,463.0
619.0,463.0
624.0,468.0
624.0,468.0
627.0,473.0
627.0,478.0
627.0,478.0
603.0,495.0
583.0,503.0
583.0,503.0
563.0,508.0
523.0,511.0
511.0,512.0
511.0,512.0
506.0,514.0
506.0,514.0
516.0,511.0
524.0,510.0
542.0,508.0
542.0,508.0
565.0,499.0
565.0,499.0
628.0,495.0
659.0,501.0
687.0,509.0
687.0,509.0
711.0,524.0
711.0,524.0
731.0,548.0
731.0,548.0
744.0,577.0
750.0,630.0
743.0,635.0
743.0,635.0
734.0,627.0
724.0,608.0
724.0,608.0
719.0,541.0
718.0,514.0
718.0,514.0
721.0,483.0
721.0,483.0
729.0,474.0
729.0,474.0
739.0,474.0
746.0,499.0
732.0,514.0
732.0,514.0
730.0,509.0
748.0,495.0
762.0,495.0
762.0,495.0
778.0,499.0
778.0,499.0
787.0,505.0
792.0,516.0
792.0,516.0
776.0,514.0
767.0,508.0
763.0,501.0
763.0,501.0
772.0,482.0
777.0,476.0
777.0,476.0
783.0,481.0
783.0,481.0
788.0,493.0
790.0,515.0
791.0,507.0
791.0,507.0
793.0,496.0
793.0,496.0
798.0,482.0
798.0,482.0
801.0,477.0
815.0,492.0
818.0,508.0
818.0,508.0
817.0,516.0
818.0,516.0
818.0,516.0
819.0,493.0
821.0,484.0
821.0,484.0
825.0,480.0
830.0,481.0
830.0,481.0
840.0,504.0
840.0,516.0
840.0,516.0
839.0,519.0
838.0,511.0
838.0,511.0
839.0,495.0
839.0,495.0
845.0,452.0
845.0,431.0
845.0,431.0
845.0,415.0
842.0,404.0
842.0,404.0
826.0,405.0
821.0,414.0
821.0,414.0
819.0,426.0
822.0,440.0
822.0,440.0
835.0,457.0
835.0,457.0
851.0,476.0
886.0,499.0
906.0,507.0
906.0,507.0
934.0,516.0
938.0,516.0
936.0,516.0
932.0,514.0
926.0,515.0
916.0,512.0
908.0,511.0
886.0,495.0
889.0,489.0
893.0,485.0
897.0,482.0
904.0,480.0
911.0,480.0
920.0,483.0
930.0,484.0
971.0,498.0
979.0,500.0
984.0,504.0
988.0,506.0
988.0,509.0
987.0,513.0
967.0,506.0
961.0,501.0
957.0,495.0
958.0,490.0
958.0,481.0
958.0,476.0
963.0,473.0
987.0,489.0
990.0,500.0
990.0,507.0
990.0,512.0
989.0,513.0
989.0,509.0
989.0,479.0
991.0,476.0
994.0,472.0
998.0,470.0
1003.0,473.0
1006.0,475.0
1013.0,478.0
1044.0,499.0
1046.0,504.0
1050.0,511.0
1037.0,518.0
1030.0,518.0
1014.0,496.0
1016.0,488.0
1017.0,481.0
1021.0,479.0
1025.0,474.0
1031.0,474.0
1048.0,488.0
1048.0,497.0
1050.0,504.0
1048.0,510.0
1044.0,516.0
1040.0,519.0
1032.0,520.0
1023.0,517.0
1025.0,519.0
1023.0,516.0
