x,y
465.0,492.0
463.0,493.0
460.0,496.0
456.0,496.0
452.0,498.0
433.0,491.0
426.0,485.0
424.0,479.0
422.0,475.0
429.0,454.0
436.0,450.0
445.0,447.0
452.0,443.0
463.0,444.0
473.0,446.0
514.0,459.0
521.0,472.0
521.0,472.0
523.0,483.0
505.0,484.0
496.0,475.0
496.0,475.0
481.0,455.0
487.0,442.0
487.0,442.0
493.0,434.0
502.0,437.0
502.0,437.0
525.0,453.0
525.0,465.0
525.0,465.0
518.0,477.0
512.0,482.0
508.0,477.0
508.0,477.0
516.0,473.0
526.0,475.0
526.0,475.0
546.0,483.0
554.0,476.0
554.0,463.0
554.0,463.0
552.0,447.0
552.0,447.0
548.0,443.0
550.0,457.0
550.0,457.0
558.0,472.0
558.0,472.0
569.0,484.0
584.0,481.0
587.0,469.0
587.0,469.0
591.0,458.0
591.0,458.0
599.0,447.0
636.0,452.0
655.0,455.0
655.0,455.0
677.0,464.0
677.0,464.0
686.0,477.0
668.0,490.0
658.0,482.0
658.0,482.0
649.0,470.0
656.0,452.0
660.0,447.0
665.0,443.0
672.0,445.0
680.0,450.0
695.0,492.0
694.0,510.0
693.0,527.0
691.0,541.0
691.0,552.0
690.0,562.0
690.0,562.0
688.0,551.0
689.0,538.0
692.0,520.0
690.0,509.0
696.0,455.0
695.0,451.0
700.0,449.0
703.0,453.0
699.0,490.0
693.0,502.0
686.0,511.0
677.0,520.0
669.0,527.0
665.0,531.0
658.0,535.0
667.0,536.0
677.0,535.0
688.0,536.0
698.0,538.0
716.0,544.0
715.0,542.0
713.0,538.0
709.0,531.0
706.0,520.0
707.0,509.0
724.0,484.0
733.0,482.0
735.0,487.0
739.0,490.0
736.0,498.0
734.0,491.0
733.0,483.0
733.0,478.0
737.0,468.0
753.0,455.0
756.0,461.0
758.0,467.0
758.0,475.0
758.0,485.0
758.0,495.0
755.0,477.0
756.0,471.0
763.0,462.0
765.0,457.0
772.0,455.0
780.0,456.0
786.0,457.0
811.0,480.0
814.0,485.0
812.0,492.0
809.0,493.0
803.0,494.0
779.0,466.0
781.0,456.0
787.0,451.0
793.0,447.0
827.0,465.0
829.0,475.0
829.0,482.0
827.0,486.0
822.0,488.0
812.0,483.0
815.0,480.0
820.0,478.0
826.0,478.0
833.0,482.0
845.0,493.0
842.0,484.0
842.0,473.0
840.0,463.0
837.0,458.0
836.0,461.0
840.0,468.0
845.0,480.0
852.0,489.0
858.0,493.0
863.0,493.0
866.0,471.0
865.0,465.0
871.0,459.0
901.0,462.0
906.0,466.0
911.0,473.0
911.0,479.0
910.0,486.0
906.0,496.0
900.0,498.0
872.0,469.0
873.0,463.0
877.0,457.0
882.0,452.0
905.0,461.0
909.0,466.0
912.0,473.0
914.0,483.0
914.0,486.0
912.0,487.0
911.0,481.0
907.0,435.0
907.0,422.0
908.0,407.0
909.0,388.0
909.0,377.0
884.0,371.0
878.0,377.0
877.0,384.0
874.0,391.0
874.0,399.0
875.0,410.0
905.0,443.0
915.0,445.0
924.0,453.0
930.0,457.0
929.0,460.0
927.0,464.0
922.0,465.0
878.0,480.0
865.0,483.0
857.0,490.0
849.0,498.0
827.0,517.0
828.0,519.0
833.0,525.0
843.0,524.0
843.0,524.0
847.0,504.0
843.0,499.0
817.0,493.0
813.0,496.0
805.0,499.0
801.0,505.0
801.0,505.0
781.0,516.0
779.0,520.0
782.0,524.0
785.0,524.0
788.0,526.0
792.0,525.0
794.0,509.0
791.0,504.0
784.0,499.0
778.0,495.0
770.0,491.0
761.0,488.0
764.0,491.0
767.0,491.0
769.0,491.0
769.0,491.0
775.0,495.0
804.0,519.0
808.0,530.0
808.0,540.0
804.0,547.0
794.0,561.0
783.0,567.0
783.0,567.0
783.0,568.0
789.0,570.0
819.0,555.0
840.0,543.0
854.0,537.0
868.0,530.0
882.0,526.0
923.0,514.0
934.0,513.0
946.0,513.0
957.0,509.0
968.0,505.0
986.0,499.0
997.0,497.0
1002.0,493.0
1010.0,478.0
1008.0,469.0
1009.0,460.0
1005.0,455.0
1003.0,452.0
1024.0,486.0
1034.0,490.0
1037.0,490.0
1040.0,488.0
1040.0,488.0
1034.0,455.0
1036.0,451.0
1040.0,451.0
1048.0,456.0
1086.0,507.0
1091.0,526.0
1091.0,526.0
1097.0,584.0
1095.0,580.0
1094.0,571.0
1091.0,554.0
1089.0,531.0
1087.0,519.0
1074.0,467.0
1067.0,459.0
1064.0,455.0
1066.0,452.0
1070.0,463.0
1089.0,494.0
1096.0,491.0
1098.0,480.0
1098.0,480.0
1103.0,453.0
1105.0,442.0
1120.0,447.0
1120.0,447.0
1137.0,454.0
1137.0,454.0
1159.0,483.0
1156.0,490.0
1156.0,490.0
1142.0,491.0
1133.0,478.0
1133.0,478.0
1128.0,451.0
1138.0,442.0
1138.0,442.0
1150.0,443.0
1150.0,443.0
1166.0,448.0
1173.0,479.0
1166.0,497.0
1166.0,497.0
1153.0,516.0
1153.0,516.0
1144.0,534.0
1130.0,566.0
1133.0,570.0
1133.0,570.0
1140.0,570.0
1149.0,564.0
1149.0,564.0
1148.0,541.0
1145.0,531.0
1145.0,531.0
1142.0,524.0
1137.0,524.0
1135.0,529.0
1135.0,529.0
