x,y
410.0,447.0
410.0,447.0
409.0,448.0
413.0,455.0
413.0,455.0
429.0,472.0
432.0,457.0
432.0,457.0
431.0,430.0
431.0,430.0
430.0,419.0
433.0,432.0
433.0,432.0
452.0,466.0
467.0,476.0
472.0,469.0
472.0,469.0
468.0,429.0
472.0,424.0
479.0,430.0
479.0,430.0
492.0,446.0
492.0,446.0
511.0,442.0
512.0,418.0
512.0,418.0
514.0,403.0
523.0,392.0
523.0,392.0
535.0,393.0
535.0,393.0
568.0,426.0
566.0,444.0
566.0,444.0
558.0,456.0
539.0,449.0
539.0,449.0
532.0,409.0
549.0,398.0
549.0,398.0
562.0,396.0
569.0,413.0
569.0,413.0
566.0,456.0
566.0,452.0
568.0,424.0
568.0,424.0
580.0,400.0
580.0,400.0
610.0,391.0
615.0,418.0
615.0,453.0
615.0,453.0
613.0,471.0
613.0,471.0
610.0,443.0
619.0,414.0
619.0,414.0
643.0,382.0
645.0,385.0
645.0,385.0
626.0,410.0
626.0,410.0
576.0,458.0
555.0,466.0
555.0,466.0
549.0,475.0
563.0,488.0
563.0,488.0
598.0,514.0
601.0,511.0
601.0,491.0
601.0,491.0
613.0,472.0
613.0,472.0
640.0,467.0
640.0,467.0
672.0,470.0
729.0,503.0
744.0,536.0
744.0,536.0
753.0,559.0
753.0,559.0
753.0,581.0
739.0,562.0
730.0,532.0
730.0,532.0
719.0,488.0
719.0,488.0
702.0,414.0
708.0,425.0
719.0,453.0
719.0,453.0
735.0,471.0
735.0,471.0
758.0,476.0
751.0,461.0
749.0,437.0
749.0,437.0
759.0,434.0
759.0,434.0
778.0,447.0
798.0,478.0
790.0,473.0
790.0,473.0
784.0,446.0
784.0,446.0
791.0,426.0
830.0,429.0
844.0,444.0
844.0,444.0
846.0,464.0
846.0,464.0
838.0,473.0
838.0,473.0
836.0,422.0
850.0,415.0
850.0,415.0
872.0,454.0
875.0,473.0
877.0,477.0
877.0,477.0
879.0,460.0
879.0,460.0
887.0,409.0
884.0,408.0
883.0,431.0
883.0,431.0
895.0,470.0
907.0,473.0
915.0,462.0
915.0,462.0
918.0,442.0
918.0,442.0
926.0,407.0
928.0,408.0
928.0,408.0
922.0,417.0
922.0,417.0
910.0,435.0
887.0,459.0
887.0,459.0
818.0,487.0
794.0,496.0
794.0,496.0
788.0,499.0
796.0,503.0
796.0,503.0
836.0,535.0
848.0,542.0
854.0,530.0
854.0,530.0
864.0,510.0
864.0,510.0
880.0,493.0
936.0,474.0
970.0,465.0
970.0,465.0
1002.0,458.0
1002.0,458.0
1033.0,463.0
1025.0,465.0
1025.0,465.0
1009.0,465.0
994.0,459.0
994.0,459.0
987.0,427.0
999.0,419.0
999.0,419.0
1017.0,424.0
1017.0,424.0
1027.0,440.0
1037.0,466.0
1037.0,466.0
1043.0,534.0
1036.0,555.0
1030.0,559.0
1030.0,559.0
1028.0,547.0
1028.0,547.0
1021.0,519.0
1021.0,519.0
1028.0,473.0
1034.0,409.0
1037.0,409.0
1037.0,409.0
1039.0,426.0
1039.0,426.0
1033.0,456.0
1003.0,509.0
989.0,525.0
989.0,525.0
986.0,529.0
986.0,529.0
1017.0,520.0
1048.0,516.0
1068.0,519.0
1068.0,519.0
1072.0,519.0
1072.0,519.0
1055.0,507.0
1053.0,495.0
1064.0,475.0
1064.0,475.0
1084.0,465.0
1084.0,465.0
1108.0,461.0
1122.0,465.0
1106.0,466.0
1106.0,466.0
1075.0,450.0
1073.0,437.0
1084.0,422.0
1084.0,422.0
1104.0,416.0
1104.0,416.0
1130.0,437.0
1132.0,463.0
1132.0,463.0
1127.0,494.0
1111.0,527.0
1111.0,527.0
1096.0,546.0
1096.0,546.0
1103.0,576.0
1116.0,577.0
1116.0,577.0
1122.0,574.0
1121.0,563.0
1121.0,563.0
1100.0,539.0
1090.0,534.0
1088.0,532.0
1088.0,532.0
1091.0,528.0
