x,y
344.0,448.0
346.0,447.0
349.0,442.0
349.0,436.0
349.0,429.0
349.0,414.0
347.0,409.0
354.0,437.0
359.0,451.0
365.0,459.0
369.0,462.0
376.0,459.0
384.0,457.0
388.0,443.0
387.0,407.0
384.0,412.0
380.0,422.0
382.0,432.0
386.0,442.0
397.0,456.0
404.0,462.0
427.0,443.0
430.0,432.0
429.0,422.0
436.0,415.0
445.0,412.0
491.0,431.0
496.0,443.0
495.0,452.0
490.0,463.0
483.0,473.0
474.0,475.0
465.0,466.0
455.0,455.0
466.0,422.0
474.0,420.0
487.0,428.0
491.0,439.0
491.0,439.0
491.0,450.0
493.0,459.0
490.0,435.0
496.0,423.0
503.0,414.0
509.0,413.0
522.0,423.0
530.0,438.0
537.0,455.0
537.0,455.0
544.0,519.0
540.0,525.0
538.0,516.0
532.0,507.0
531.0,489.0
528.0,463.0
538.0,427.0
543.0,416.0
566.0,415.0
567.0,423.0
569.0,435.0
563.0,452.0
556.0,462.0
541.0,473.0
511.0,481.0
499.0,485.0
504.0,485.0
510.0,486.0
520.0,483.0
534.0,480.0
554.0,480.0
567.0,478.0
572.0,482.0
573.0,484.0
494.0,485.0
494.0,485.0
476.0,484.0
458.0,484.0
444.0,485.0
432.0,488.0
427.0,491.0
428.0,484.0
437.0,479.0
449.0,474.0
462.0,473.0
462.0,473.0
498.0,505.0
502.0,511.0
502.0,514.0
499.0,509.0
495.0,501.0
492.0,491.0
488.0,481.0
487.0,468.0
479.0,422.0
476.0,404.0
473.0,387.0
470.0,374.0
470.0,363.0
472.0,365.0
474.0,371.0
487.0,389.0
497.0,396.0
506.0,400.0
520.0,405.0
534.0,410.0
550.0,411.0
640.0,458.0
648.0,475.0
653.0,495.0
653.0,495.0
654.0,511.0
657.0,528.0
659.0,534.0
650.0,494.0
648.0,471.0
644.0,451.0
644.0,429.0
647.0,412.0
648.0,411.0
648.0,411.0
647.0,418.0
605.0,485.0
598.0,487.0
595.0,487.0
600.0,487.0
604.0,489.0
630.0,485.0
644.0,487.0
662.0,491.0
667.0,497.0
666.0,495.0
663.0,487.0
658.0,478.0
656.0,467.0
655.0,455.0
649.0,429.0
654.0,427.0
657.0,430.0
679.0,446.0
691.0,469.0
698.0,485.0
706.0,501.0
706.0,513.0
697.0,515.0
680.0,500.0
680.0,500.0
684.0,496.0
700.0,491.0
710.0,489.0
716.0,487.0
708.0,448.0
714.0,440.0
720.0,434.0
730.0,432.0
740.0,435.0
740.0,435.0
770.0,447.0
782.0,453.0
785.0,487.0
774.0,493.0
763.0,489.0
751.0,482.0
742.0,474.0
738.0,464.0
738.0,464.0
744.0,438.0
777.0,427.0
781.0,434.0
781.0,449.0
781.0,462.0
775.0,478.0
768.0,481.0
762.0,483.0
774.0,457.0
788.0,453.0
807.0,455.0
819.0,458.0
829.0,465.0
842.0,476.0
847.0,489.0
845.0,496.0
838.0,454.0
837.0,438.0
837.0,421.0
837.0,414.0
840.0,411.0
844.0,410.0
847.0,421.0
840.0,488.0
835.0,504.0
833.0,509.0
832.0,512.0
833.0,510.0
828.0,509.0
821.0,506.0
809.0,506.0
774.0,520.0
769.0,531.0
768.0,537.0
774.0,543.0
777.0,543.0
785.0,541.0
795.0,537.0
801.0,506.0
798.0,498.0
792.0,493.0
784.0,493.0
777.0,498.0
770.0,506.0
762.0,516.0
751.0,530.0
703.0,577.0
694.0,583.0
690.0,590.0
689.0,593.0
690.0,591.0
697.0,588.0
707.0,579.0
818.0,527.0
846.0,516.0
873.0,509.0
904.0,501.0
927.0,495.0
949.0,491.0
963.0,487.0
959.0,499.0
945.0,498.0
931.0,492.0
920.0,487.0
913.0,477.0
938.0,435.0
954.0,433.0
967.0,436.0
978.0,445.0
985.0,460.0
988.0,484.0
987.0,508.0
984.0,533.0
969.0,597.0
968.0,600.0
968.0,600.0
968.0,592.0
967.0,578.0
971.0,561.0
983.0,462.0
990.0,435.0
995.0,420.0
995.0,414.0
995.0,412.0
996.0,421.0
994.0,435.0
988.0,456.0
949.0,526.0
936.0,541.0
914.0,560.0
907.0,565.0
908.0,569.0
951.0,560.0
970.0,558.0
992.0,561.0
1003.0,562.0
1014.0,559.0
1007.0,553.0
1000.0,545.0
995.0,537.0
988.0,522.0
985.0,511.0
988.0,498.0
1039.0,473.0
1053.0,473.0
1060.0,472.0
1065.0,474.0
1071.0,476.0
1069.0,480.0
1033.0,479.0
1018.0,458.0
1019.0,450.0
1021.0,444.0
1027.0,433.0
1032.0,428.0
1070.0,434.0
1077.0,445.0
1076.0,459.0
1078.0,477.0
1068.0,491.0
1061.0,512.0
1043.0,566.0
1041.0,579.0
1042.0,589.0
1046.0,600.0
1054.0,603.0
1060.0,606.0
1064.0,604.0
1065.0,598.0
1066.0,563.0
1061.0,556.0
1056.0,550.0
1050.0,542.0
1043.0,538.0
1040.0,535.0
