x,y
288.0,454.0
288.0,451.0
303.0,488.0
308.0,505.0
313.0,522.0
314.0,534.0
314.0,534.0
316.0,539.0
308.0,478.0
309.0,456.0
307.0,439.0
305.0,423.0
306.0,411.0
322.0,408.0
323.0,419.0
322.0,444.0
313.0,464.0
307.0,476.0
275.0,492.0
272.0,494.0
275.0,491.0
280.0,490.0
295.0,487.0
295.0,487.0
333.0,494.0
339.0,503.0
339.0,503.0
340.0,502.0
336.0,491.0
341.0,467.0
341.0,467.0
343.0,448.0
348.0,428.0
348.0,428.0
360.0,409.0
367.0,413.0
367.0,413.0
374.0,435.0
374.0,435.0
381.0,470.0
381.0,496.0
381.0,496.0
369.0,497.0
376.0,487.0
376.0,487.0
388.0,478.0
388.0,478.0
403.0,477.0
405.0,449.0
410.0,431.0
410.0,431.0
424.0,422.0
440.0,420.0
440.0,420.0
476.0,446.0
481.0,464.0
481.0,464.0
476.0,483.0
463.0,483.0
463.0,483.0
447.0,452.0
455.0,436.0
455.0,436.0
472.0,428.0
487.0,434.0
487.0,434.0
494.0,456.0
494.0,456.0
492.0,472.0
489.0,455.0
489.0,455.0
492.0,438.0
501.0,426.0
517.0,436.0
523.0,445.0
526.0,459.0
527.0,472.0
529.0,489.0
536.0,493.0
536.0,488.0
537.0,474.0
541.0,463.0
543.0,454.0
552.0,408.0
554.0,406.0
553.0,406.0
552.0,413.0
553.0,425.0
553.0,437.0
549.0,450.0
547.0,461.0
513.0,497.0
503.0,503.0
495.0,511.0
483.0,516.0
495.0,530.0
503.0,540.0
515.0,547.0
525.0,557.0
535.0,564.0
548.0,567.0
551.0,577.0
552.0,572.0
550.0,530.0
557.0,516.0
566.0,504.0
574.0,488.0
585.0,478.0
596.0,471.0
609.0,468.0
643.0,498.0
646.0,504.0
649.0,503.0
645.0,449.0
646.0,427.0
641.0,424.0
639.0,432.0
637.0,444.0
636.0,461.0
638.0,477.0
643.0,485.0
667.0,484.0
661.0,472.0
655.0,461.0
654.0,451.0
661.0,442.0
669.0,442.0
708.0,457.0
720.0,462.0
731.0,469.0
733.0,479.0
735.0,492.0
735.0,497.0
697.0,485.0
692.0,476.0
689.0,465.0
691.0,453.0
695.0,447.0
701.0,439.0
734.0,467.0
738.0,483.0
735.0,489.0
727.0,485.0
722.0,476.0
719.0,462.0
721.0,388.0
724.0,369.0
722.0,350.0
719.0,338.0
712.0,334.0
705.0,338.0
694.0,346.0
690.0,393.0
696.0,411.0
707.0,422.0
721.0,436.0
799.0,481.0
799.0,498.0
787.0,497.0
773.0,489.0
758.0,479.0
747.0,466.0
748.0,452.0
790.0,424.0
802.0,429.0
811.0,438.0
817.0,450.0
821.0,469.0
816.0,478.0
775.0,479.0
778.0,474.0
791.0,470.0
807.0,465.0
816.0,470.0
857.0,523.0
860.0,538.0
858.0,555.0
853.0,564.0
846.0,567.0
842.0,567.0
842.0,511.0
842.0,482.0
838.0,444.0
838.0,444.0
834.0,428.0
843.0,446.0
841.0,463.0
829.0,478.0
818.0,497.0
807.0,510.0
806.0,517.0
816.0,516.0
829.0,512.0
849.0,510.0
869.0,508.0
886.0,508.0
902.0,510.0
907.0,512.0
907.0,514.0
855.0,493.0
836.0,479.0
823.0,460.0
773.0,406.0
762.0,405.0
761.0,406.0
772.0,416.0
783.0,420.0
797.0,426.0
852.0,444.0
882.0,454.0
905.0,461.0
928.0,468.0
955.0,478.0
975.0,484.0
999.0,497.0
999.0,506.0
989.0,504.0
979.0,497.0
971.0,485.0
967.0,474.0
961.0,462.0
996.0,447.0
1006.0,455.0
1018.0,472.0
1030.0,490.0
1030.0,490.0
1071.0,598.0
1070.0,622.0
1064.0,638.0
1051.0,653.0
1045.0,644.0
1043.0,583.0
1042.0,554.0
1040.0,523.0
1037.0,496.0
1039.0,454.0
1036.0,446.0
1036.0,455.0
1037.0,475.0
1041.0,495.0
1041.0,495.0
1068.0,505.0
1062.0,489.0
1062.0,489.0
1060.0,466.0
1060.0,466.0
1067.0,443.0
1087.0,458.0
1097.0,481.0
1097.0,481.0
1106.0,498.0
1106.0,498.0
1111.0,509.0
1113.0,487.0
1114.0,464.0
1114.0,464.0
1120.0,450.0
1120.0,450.0
1131.0,450.0
1140.0,468.0
1140.0,468.0
1152.0,510.0
1156.0,509.0
1154.0,489.0
1154.0,489.0
1152.0,450.0
1153.0,449.0
1153.0,449.0
1155.0,461.0
1155.0,461.0
1162.0,484.0
1189.0,511.0
1197.0,502.0
1197.0,502.0
1193.0,486.0
1193.0,486.0
1190.0,468.0
1202.0,435.0
1205.0,437.0
1205.0,437.0
1203.0,449.0
1203.0,449.0
1192.0,466.0
1192.0,466.0
1171.0,492.0
1098.0,533.0
1088.0,542.0
1088.0,542.0
1087.0,548.0
1122.0,568.0
1146.0,578.0
1146.0,578.0
1174.0,594.0
1177.0,595.0
