x,y
433.0,417.0
435.0,417.0
436.0,419.0
437.0,422.0
426.0,440.0
418.0,445.0
411.0,442.0
402.0,436.0
393.0,428.0
386.0,404.0
387.0,395.0
390.0,387.0
411.0,374.0
421.0,375.0
426.0,381.0
434.0,415.0
439.0,439.0
455.0,546.0
457.0,542.0
454.0,542.0
454.0,542.0
452.0,524.0
446.0,512.0
433.0,401.0
432.0,386.0
433.0,373.0
435.0,366.0
436.0,388.0
440.0,404.0
442.0,426.0
440.0,446.0
432.0,478.0
426.0,493.0
420.0,496.0
415.0,498.0
412.0,496.0
407.0,498.0
429.0,487.0
442.0,488.0
458.0,487.0
490.0,492.0
495.0,493.0
500.0,490.0
475.0,445.0
467.0,431.0
461.0,410.0
461.0,410.0
459.0,393.0
463.0,382.0
486.0,378.0
526.0,414.0
527.0,424.0
526.0,429.0
518.0,430.0
510.0,426.0
502.0,416.0
502.0,416.0
501.0,372.0
509.0,367.0
516.0,368.0
526.0,377.0
534.0,386.0
543.0,398.0
554.0,426.0
548.0,413.0
549.0,402.0
549.0,390.0
548.0,376.0
551.0,370.0
548.0,375.0
547.0,386.0
548.0,398.0
579.0,439.0
584.0,437.0
587.0,430.0
582.0,416.0
581.0,398.0
580.0,387.0
574.0,386.0
572.0,397.0
577.0,410.0
583.0,423.0
594.0,437.0
602.0,442.0
612.0,448.0
617.0,446.0
616.0,402.0
618.0,386.0
623.0,374.0
625.0,371.0
628.0,374.0
628.0,380.0
626.0,391.0
620.0,403.0
558.0,438.0
544.0,441.0
525.0,442.0
510.0,443.0
500.0,440.0
491.0,437.0
486.0,436.0
486.0,438.0
526.0,465.0
534.0,475.0
541.0,477.0
542.0,472.0
546.0,461.0
555.0,451.0
566.0,446.0
618.0,424.0
632.0,424.0
645.0,424.0
660.0,427.0
672.0,433.0
684.0,441.0
722.0,511.0
726.0,533.0
727.0,549.0
726.0,559.0
723.0,565.0
723.0,563.0
721.0,558.0
705.0,465.0
704.0,440.0
699.0,413.0
697.0,396.0
695.0,383.0
691.0,381.0
694.0,388.0
696.0,401.0
721.0,446.0
728.0,451.0
735.0,451.0
739.0,446.0
741.0,439.0
739.0,429.0
736.0,417.0
731.0,404.0
760.0,398.0
773.0,407.0
789.0,414.0
800.0,422.0
806.0,433.0
812.0,446.0
808.0,452.0
775.0,433.0
771.0,420.0
769.0,408.0
773.0,393.0
778.0,389.0
788.0,386.0
799.0,388.0
814.0,421.0
813.0,435.0
807.0,453.0
797.0,470.0
787.0,485.0
777.0,505.0
769.0,521.0
759.0,532.0
755.0,539.0
758.0,533.0
765.0,527.0
771.0,517.0
778.0,510.0
787.0,505.0
833.0,471.0
843.0,464.0
855.0,458.0
864.0,454.0
873.0,453.0
883.0,451.0
891.0,449.0
900.0,449.0
936.0,456.0
941.0,463.0
938.0,469.0
934.0,475.0
924.0,475.0
913.0,471.0
898.0,464.0
890.0,453.0
891.0,406.0
900.0,401.0
915.0,400.0
931.0,406.0
941.0,417.0
951.0,432.0
971.0,463.0
971.0,459.0
973.0,448.0
969.0,430.0
971.0,416.0
968.0,403.0
967.0,400.0
966.0,407.0
988.0,456.0
998.0,461.0
1007.0,461.0
1013.0,456.0
1012.0,446.0
1008.0,434.0
1011.0,418.0
1011.0,402.0
1016.0,429.0
1023.0,442.0
1023.0,452.0
1029.0,458.0
1040.0,458.0
1047.0,451.0
1051.0,412.0
1052.0,402.0
1056.0,394.0
1057.0,395.0
1061.0,401.0
1056.0,407.0
1050.0,421.0
1038.0,432.0
956.0,473.0
933.0,478.0
912.0,479.0
895.0,474.0
886.0,475.0
884.0,477.0
889.0,482.0
898.0,488.0
942.0,526.0
948.0,523.0
956.0,515.0
966.0,500.0
971.0,491.0
976.0,488.0
