x,y
152.0,420.0
149.0,420.0
151.0,419.0
152.0,420.0
176.0,445.0
176.0,445.0
181.0,455.0
188.0,462.0
194.0,473.0
214.0,507.0
217.0,514.0
222.0,527.0
225.0,535.0
238.0,552.0
236.0,560.0
236.0,573.0
232.0,603.0
232.0,604.0
229.0,607.0
224.0,610.0
222.0,598.0
213.0,582.0
211.0,579.0
212.0,569.0
206.0,562.0
202.0,556.0
198.0,534.0
194.0,496.0
194.0,496.0
193.0,487.0
193.0,476.0
198.0,437.0
200.0,423.0
199.0,418.0
202.0,413.0
205.0,409.0
201.0,405.0
211.0,387.0
213.0,385.0
218.0,383.0
223.0,382.0
231.0,384.0
235.0,391.0
242.0,394.0
243.0,402.0
251.0,414.0
252.0,419.0
252.0,423.0
249.0,429.0
248.0,430.0
241.0,435.0
237.0,435.0
237.0,431.0
234.0,430.0
231.0,421.0
232.0,416.0
231.0,416.0
231.0,415.0
234.0,414.0
238.0,411.0
241.0,413.0
256.0,421.0
263.0,424.0
262.0,429.0
262.0,429.0
265.0,431.0
267.0,431.0
264.0,436.0
264.0,434.0
264.0,432.0
263.0,428.0
261.0,425.0
263.0,407.0
262.0,402.0
264.0,396.0
267.0,392.0
269.0,393.0
275.0,392.0
280.0,399.0
289.0,399.0
307.0,423.0
307.0,423.0
312.0,428.0
311.0,441.0
307.0,443.0
306.0,442.0
303.0,442.0
286.0,423.0
286.0,415.0
283.0,413.0
283.0,413.0
285.0,405.0
291.0,403.0
293.0,402.0
309.0,410.0
313.0,415.0
316.0,419.0
318.0,424.0
324.0,429.0
329.0,436.0
329.0,436.0
334.0,445.0
335.0,442.0
333.0,440.0
334.0,433.0
332.0,428.0
334.0,421.0
331.0,413.0
331.0,407.0
334.0,402.0
335.0,405.0
337.0,409.0
339.0,413.0
341.0,420.0
343.0,427.0
346.0,433.0
351.0,440.0
362.0,439.0
361.0,432.0
362.0,424.0
360.0,421.0
360.0,417.0
360.0,407.0
358.0,396.0
359.0,398.0
359.0,403.0
357.0,407.0
353.0,414.0
348.0,418.0
325.0,435.0
317.0,436.0
311.0,438.0
302.0,441.0
297.0,442.0
293.0,442.0
288.0,441.0
286.0,441.0
275.0,446.0
275.0,449.0
279.0,455.0
282.0,460.0
293.0,460.0
291.0,476.0
292.0,477.0
305.0,469.0
308.0,465.0
311.0,462.0
312.0,459.0
314.0,458.0
317.0,458.0
319.0,461.0
320.0,465.0
317.0,477.0
315.0,481.0
