x,y
345.0,387.0
345.0,390.0
345.0,390.0
345.0,392.0
348.0,393.0
350.0,397.0
353.0,401.0
356.0,405.0
379.0,449.0
381.0,462.0
380.0,476.0
382.0,487.0
382.0,487.0
383.0,522.0
382.0,526.0
379.0,527.0
377.0,522.0
373.0,516.0
373.0,506.0
365.0,476.0
364.0,463.0
362.0,448.0
363.0,434.0
363.0,407.0
364.0,393.0
364.0,382.0
365.0,373.0
367.0,367.0
375.0,362.0
385.0,372.0
393.0,376.0
399.0,393.0
401.0,398.0
397.0,417.0
395.0,416.0
392.0,413.0
391.0,405.0
391.0,405.0
388.0,402.0
388.0,397.0
391.0,391.0
411.0,394.0
417.0,395.0
421.0,399.0
427.0,398.0
428.0,408.0
431.0,407.0
431.0,407.0
425.0,389.0
423.0,383.0
424.0,377.0
426.0,373.0
428.0,367.0
433.0,366.0
446.0,376.0
452.0,392.0
454.0,399.0
454.0,404.0
455.0,405.0
458.0,400.0
453.0,399.0
451.0,393.0
450.0,372.0
450.0,372.0
457.0,371.0
465.0,371.0
471.0,375.0
480.0,380.0
488.0,384.0
502.0,413.0
502.0,412.0
496.0,414.0
493.0,412.0
486.0,409.0
481.0,405.0
476.0,397.0
472.0,378.0
474.0,373.0
479.0,367.0
483.0,366.0
487.0,363.0
490.0,367.0
497.0,365.0
499.0,373.0
507.0,399.0
502.0,404.0
500.0,406.0
494.0,405.0
492.0,404.0
490.0,400.0
488.0,399.0
498.0,390.0
502.0,391.0
507.0,389.0
515.0,392.0
518.0,396.0
531.0,413.0
531.0,417.0
531.0,415.0
531.0,412.0
527.0,408.0
526.0,402.0
523.0,398.0
524.0,364.0
528.0,358.0
529.0,354.0
533.0,352.0
538.0,353.0
538.0,357.0
541.0,360.0
535.0,381.0
529.0,386.0
524.0,391.0
515.0,399.0
507.0,401.0
499.0,407.0
489.0,412.0
457.0,418.0
453.0,420.0
450.0,422.0
451.0,422.0
453.0,424.0
458.0,427.0
461.0,433.0
471.0,442.0
493.0,450.0
494.0,447.0
497.0,444.0
502.0,433.0
504.0,430.0
509.0,426.0
511.0,424.0
512.0,424.0
508.0,448.0
506.0,456.0
504.0,465.0
502.0,474.0
501.0,480.0
499.0,489.0
500.0,512.0
503.0,517.0
506.0,518.0
512.0,521.0
517.0,521.0
516.0,517.0
517.0,511.0
515.0,507.0
500.0,491.0
494.0,485.0
491.0,484.0
487.0,483.0
487.0,481.0
489.0,476.0
491.0,474.0
510.0,447.0
513.0,445.0
522.0,439.0
530.0,432.0
540.0,425.0
547.0,418.0
555.0,409.0
582.0,384.0
588.0,381.0
591.0,378.0
594.0,376.0
596.0,376.0
598.0,377.0
598.0,380.0
600.0,381.0
614.0,401.0
617.0,410.0
620.0,423.0
620.0,431.0
619.0,438.0
616.0,441.0
602.0,435.0
601.0,434.0
605.0,425.0
612.0,422.0
615.0,418.0
618.0,413.0
626.0,409.0
631.0,402.0
631.0,380.0
629.0,377.0
624.0,376.0
620.0,373.0
615.0,375.0
612.0,378.0
608.0,381.0
613.0,383.0
616.0,379.0
621.0,379.0
625.0,379.0
633.0,378.0
638.0,378.0
649.0,381.0
658.0,384.0
668.0,389.0
675.0,402.0
675.0,402.0
672.0,412.0
652.0,411.0
644.0,404.0
644.0,404.0
641.0,394.0
641.0,394.0
642.0,381.0
660.0,369.0
670.0,379.0
670.0,379.0
677.0,405.0
677.0,405.0
677.0,407.0
674.0,387.0
674.0,374.0
674.0,374.0
678.0,370.0
684.0,373.0
684.0,373.0
701.0,403.0
704.0,411.0
704.0,411.0
701.0,405.0
697.0,391.0
697.0,391.0
691.0,374.0
692.0,376.0
692.0,376.0
698.0,386.0
698.0,386.0
705.0,397.0
716.0,407.0
716.0,407.0
723.0,400.0
723.0,392.0
723.0,392.0
723.0,384.0
723.0,384.0
724.0,378.0
732.0,371.0
741.0,370.0
741.0,370.0
746.0,374.0
753.0,380.0
753.0,380.0
755.0,394.0
755.0,394.0
750.0,404.0
732.0,404.0
726.0,396.0
726.0,396.0
725.0,382.0
725.0,382.0
741.0,367.0
752.0,369.0
758.0,381.0
758.0,381.0
762.0,397.0
762.0,397.0
759.0,403.0
757.0,392.0
757.0,392.0
753.0,376.0
753.0,361.0
753.0,361.0
752.0,342.0
752.0,342.0
752.0,303.0
746.0,288.0
738.0,283.0
738.0,283.0
731.0,283.0
731.0,283.0
722.0,290.0
722.0,290.0
721.0,298.0
721.0,311.0
720.0,320.0
720.0,320.0
724.0,328.0
724.0,328.0
732.0,333.0
726.0,346.0
723.0,352.0
723.0,352.0
722.0,365.0
722.0,365.0
698.0,399.0
682.0,414.0
666.0,422.0
666.0,422.0
658.0,431.0
658.0,431.0
657.0,436.0
657.0,436.0
670.0,440.0
699.0,455.0
701.0,458.0
701.0,458.0
701.0,455.0
701.0,455.0
700.0,450.0
702.0,442.0
702.0,442.0
715.0,429.0
726.0,423.0
739.0,414.0
739.0,414.0
755.0,406.0
755.0,406.0
787.0,394.0
803.0,390.0
803.0,390.0
820.0,389.0
820.0,389.0
832.0,387.0
839.0,382.0
839.0,382.0
851.0,374.0
856.0,377.0
856.0,377.0
861.0,391.0
867.0,407.0
867.0,407.0
870.0,446.0
864.0,454.0
855.0,456.0
855.0,456.0
850.0,449.0
850.0,449.0
858.0,438.0
858.0,438.0
866.0,428.0
904.0,399.0
904.0,399.0
907.0,389.0
907.0,389.0
903.0,381.0
897.0,380.0
889.0,387.0
889.0,387.0
885.0,391.0
885.0,391.0
885.0,390.0
885.0,390.0
897.0,387.0
913.0,387.0
926.0,386.0
926.0,386.0
942.0,388.0
942.0,388.0
949.0,401.0
949.0,418.0
938.0,418.0
938.0,418.0
928.0,412.0
928.0,412.0
923.0,407.0
920.0,395.0
920.0,395.0
928.0,373.0
937.0,369.0
937.0,369.0
947.0,366.0
947.0,366.0
955.0,365.0
977.0,365.0
989.0,365.0
989.0,365.0
1003.0,367.0
1003.0,367.0
1016.0,371.0
1016.0,371.0
1023.0,381.0
1039.0,427.0
1054.0,464.0
1054.0,464.0
1059.0,492.0
1059.0,492.0
1063.0,519.0
1059.0,547.0
1051.0,541.0
1051.0,541.0
1044.0,524.0
1040.0,501.0
1040.0,501.0
1042.0,442.0
1041.0,394.0
1042.0,376.0
1042.0,376.0
1045.0,364.0
1061.0,361.0
1061.0,361.0
1071.0,369.0
1071.0,369.0
1083.0,378.0
1102.0,405.0
1099.0,414.0
1099.0,414.0
1087.0,418.0
1087.0,418.0
1071.0,409.0
1071.0,409.0
1068.0,393.0
1074.0,367.0
1083.0,369.0
1083.0,369.0
1092.0,377.0
1101.0,389.0
1101.0,389.0
1100.0,408.0
1101.0,405.0
1100.0,387.0
1100.0,387.0
1099.0,370.0
1099.0,370.0
1114.0,365.0
1121.0,378.0
1121.0,378.0
1133.0,393.0
1136.0,409.0
1136.0,409.0
1141.0,410.0
1141.0,395.0
1141.0,395.0
1138.0,377.0
1138.0,377.0
1138.0,365.0
1140.0,367.0
1140.0,367.0
1146.0,397.0
1160.0,409.0
1167.0,412.0
1167.0,412.0
1169.0,397.0
1167.0,380.0
1167.0,380.0
1166.0,369.0
1170.0,360.0
1170.0,360.0
1174.0,368.0
1174.0,368.0
1187.0,432.0
1189.0,462.0
1188.0,496.0
1188.0,496.0
1190.0,519.0
1190.0,519.0
1187.0,538.0
1183.0,525.0
1183.0,525.0
1183.0,503.0
1183.0,503.0
1180.0,444.0
1180.0,444.0
1180.0,389.0
1174.0,376.0
1168.0,368.0
1168.0,368.0
1169.0,365.0
1169.0,365.0
1171.0,365.0
1180.0,374.0
1180.0,391.0
1180.0,391.0
1182.0,405.0
1182.0,405.0
1186.0,416.0
1186.0,416.0
1197.0,421.0
1205.0,405.0
1208.0,392.0
1208.0,392.0
1209.0,378.0
1209.0,378.0
1219.0,357.0
1221.0,351.0
1219.0,355.0
1219.0,355.0
1217.0,357.0
1217.0,357.0
1204.0,360.0
1199.0,357.0
1182.0,350.0
1182.0,350.0
1167.0,343.0
1167.0,343.0
1150.0,335.0
1111.0,320.0
1096.0,320.0
1096.0,320.0
1092.0,316.0
1092.0,316.0
1092.0,317.0
1094.0,315.0
