x,y
266.0,473.0
264.0,462.0
264.0,462.0
260.0,444.0
260.0,444.0
245.0,395.0
243.0,371.0
244.0,350.0
244.0,350.0
243.0,337.0
243.0,337.0
242.0,340.0
244.0,353.0
244.0,353.0
243.0,364.0
247.0,375.0
247.0,375.0
251.0,385.0
251.0,385.0
273.0,385.0
281.0,380.0
281.0,380.0
284.0,368.0
284.0,358.0
284.0,358.0
271.0,347.0
263.0,343.0
255.0,339.0
255.0,339.0
252.0,337.0
252.0,337.0
249.0,337.0
249.0,337.0
250.0,335.0
258.0,333.0
265.0,334.0
265.0,334.0
275.0,337.0
275.0,337.0
288.0,348.0
313.0,376.0
317.0,395.0
317.0,395.0
314.0,396.0
314.0,396.0
311.0,370.0
311.0,350.0
311.0,350.0
317.0,342.0
325.0,337.0
325.0,337.0
343.0,362.0
345.0,379.0
348.0,383.0
348.0,383.0
345.0,378.0
345.0,378.0
340.0,361.0
352.0,335.0
361.0,335.0
361.0,335.0
375.0,343.0
375.0,343.0
387.0,358.0
395.0,388.0
388.0,388.0
388.0,388.0
378.0,379.0
378.0,379.0
370.0,368.0
370.0,368.0
382.0,345.0
396.0,338.0
408.0,345.0
408.0,345.0
413.0,365.0
413.0,365.0
412.0,382.0
401.0,389.0
396.0,389.0
396.0,389.0
396.0,386.0
396.0,386.0
399.0,382.0
399.0,382.0
410.0,377.0
436.0,379.0
448.0,386.0
448.0,386.0
444.0,369.0
442.0,354.0
442.0,354.0
444.0,339.0
444.0,339.0
448.0,329.0
453.0,346.0
451.0,360.0
451.0,360.0
443.0,370.0
443.0,370.0
430.0,381.0
430.0,381.0
414.0,389.0
380.0,405.0
370.0,407.0
370.0,407.0
369.0,411.0
379.0,420.0
379.0,420.0
406.0,437.0
409.0,436.0
410.0,427.0
410.0,427.0
418.0,410.0
418.0,410.0
428.0,402.0
430.0,412.0
430.0,412.0
426.0,429.0
426.0,429.0
425.0,443.0
422.0,457.0
422.0,457.0
431.0,469.0
438.0,471.0
438.0,471.0
442.0,462.0
442.0,462.0
441.0,450.0
427.0,437.0
424.0,434.0
424.0,434.0
430.0,429.0
440.0,419.0
440.0,419.0
452.0,405.0
452.0,405.0
470.0,390.0
509.0,371.0
533.0,375.0
533.0,375.0
553.0,385.0
553.0,385.0
571.0,428.0
571.0,438.0
565.0,427.0
565.0,427.0
560.0,402.0
560.0,402.0
557.0,362.0
561.0,351.0
561.0,351.0
572.0,344.0
580.0,345.0
580.0,345.0
586.0,352.0
586.0,352.0
560.0,388.0
543.0,402.0
529.0,406.0
529.0,406.0
521.0,404.0
521.0,404.0
528.0,401.0
528.0,401.0
539.0,400.0
577.0,385.0
595.0,383.0
595.0,383.0
608.0,384.0
608.0,384.0
612.0,388.0
593.0,389.0
584.0,382.0
584.0,382.0
581.0,371.0
581.0,371.0
579.0,351.0
605.0,340.0
615.0,347.0
615.0,347.0
624.0,361.0
624.0,361.0
617.0,391.0
609.0,392.0
607.0,383.0
607.0,383.0
612.0,377.0
612.0,377.0
617.0,371.0
617.0,371.0
634.0,371.0
661.0,382.0
670.0,392.0
670.0,392.0
670.0,395.0
664.0,385.0
664.0,385.0
658.0,347.0
659.0,341.0
659.0,341.0
665.0,342.0
665.0,342.0
669.0,343.0
674.0,348.0
674.0,348.0
676.0,365.0
667.0,382.0
667.0,382.0
658.0,396.0
658.0,396.0
648.0,407.0
628.0,415.0
628.0,415.0
591.0,423.0
586.0,430.0
586.0,430.0
594.0,438.0
602.0,445.0
602.0,445.0
640.0,456.0
645.0,451.0
645.0,447.0
645.0,447.0
649.0,429.0
649.0,429.0
657.0,411.0
657.0,417.0
657.0,431.0
657.0,431.0
653.0,443.0
653.0,443.0
676.0,453.0
693.0,456.0
693.0,456.0
704.0,459.0
704.0,459.0
703.0,458.0
692.0,441.0
693.0,429.0
693.0,429.0
704.0,416.0
722.0,405.0
722.0,405.0
762.0,390.0
782.0,390.0
799.0,393.0
799.0,393.0
811.0,402.0
811.0,402.0
816.0,385.0
812.0,368.0
806.0,357.0
806.0,357.0
803.0,355.0
803.0,355.0
812.0,382.0
829.0,396.0
829.0,396.0
840.0,402.0
840.0,402.0
844.0,392.0
841.0,375.0
841.0,375.0
833.0,355.0
827.0,359.0
827.0,359.0
829.0,375.0
849.0,395.0
849.0,395.0
873.0,400.0
869.0,389.0
865.0,368.0
865.0,368.0
869.0,355.0
869.0,355.0
878.0,349.0
907.0,357.0
919.0,369.0
919.0,369.0
922.0,385.0
922.0,385.0
903.0,388.0
892.0,372.0
892.0,372.0
887.0,355.0
894.0,334.0
894.0,334.0
921.0,347.0
932.0,370.0
932.0,370.0
929.0,383.0
929.0,383.0
924.0,378.0
924.0,358.0
924.0,358.0
932.0,335.0
941.0,340.0
949.0,351.0
949.0,351.0
961.0,387.0
961.0,387.0
969.0,409.0
970.0,426.0
967.0,411.0
967.0,411.0
967.0,382.0
967.0,382.0
968.0,339.0
972.0,331.0
981.0,331.0
981.0,331.0
986.0,341.0
986.0,341.0
976.0,367.0
957.0,382.0
957.0,382.0
939.0,391.0
935.0,390.0
935.0,390.0
935.0,386.0
935.0,386.0
972.0,378.0
985.0,384.0
981.0,389.0
981.0,389.0
967.0,396.0
967.0,396.0
937.0,403.0
887.0,419.0
886.0,430.0
886.0,430.0
894.0,437.0
894.0,437.0
913.0,449.0
941.0,468.0
943.0,466.0
943.0,466.0
942.0,454.0
942.0,454.0
946.0,443.0
946.0,443.0
958.0,421.0
1001.0,394.0
1023.0,389.0
1023.0,389.0
1041.0,393.0
1041.0,393.0
1056.0,400.0
1059.0,394.0
1056.0,381.0
1056.0,381.0
1054.0,361.0
1054.0,361.0
1053.0,349.0
1054.0,347.0
1067.0,367.0
1067.0,367.0
1085.0,378.0
1085.0,378.0
1098.0,389.0
1099.0,382.0
1099.0,382.0
1089.0,351.0
1082.0,353.0
1082.0,353.0
1083.0,356.0
1083.0,356.0
1090.0,371.0
1120.0,385.0
1122.0,380.0
1122.0,380.0
1125.0,368.0
1125.0,368.0
1123.0,362.0
1123.0,362.0
1124.0,354.0
1146.0,342.0
1158.0,350.0
1158.0,350.0
1171.0,361.0
1182.0,375.0
1182.0,375.0
1189.0,399.0
1175.0,393.0
1175.0,393.0
1166.0,383.0
