x,y
155.0,441.0
155.0,441.0
162.0,455.0
172.0,475.0
172.0,475.0
180.0,495.0
187.0,518.0
187.0,518.0
202.0,563.0
200.0,578.0
200.0,578.0
194.0,590.0
200.0,578.0
196.0,557.0
196.0,557.0
180.0,508.0
175.0,480.0
177.0,450.0
177.0,450.0
184.0,410.0
195.0,409.0
195.0,409.0
201.0,419.0
210.0,450.0
206.0,464.0
206.0,464.0
204.0,473.0
194.0,474.0
192.0,468.0
192.0,468.0
196.0,457.0
219.0,451.0
238.0,455.0
238.0,455.0
260.0,466.0
260.0,474.0
260.0,474.0
255.0,476.0
234.0,460.0
227.0,444.0
227.0,444.0
242.0,424.0
252.0,425.0
262.0,432.0
262.0,432.0
270.0,458.0
271.0,464.0
270.0,453.0
270.0,453.0
267.0,439.0
267.0,439.0
270.0,426.0
280.0,418.0
286.0,424.0
286.0,424.0
298.0,456.0
297.0,465.0
297.0,465.0
296.0,459.0
296.0,459.0
295.0,445.0
303.0,424.0
309.0,423.0
309.0,423.0
330.0,442.0
333.0,463.0
334.0,471.0
334.0,471.0
332.0,468.0
332.0,468.0
326.0,452.0
330.0,422.0
337.0,416.0
337.0,416.0
341.0,417.0
339.0,436.0
327.0,451.0
327.0,451.0
309.0,464.0
309.0,464.0
273.0,486.0
258.0,494.0
247.0,498.0
247.0,498.0
243.0,504.0
253.0,509.0
253.0,509.0
261.0,513.0
274.0,524.0
279.0,514.0
279.0,514.0
285.0,501.0
285.0,509.0
284.0,519.0
284.0,519.0
281.0,531.0
281.0,531.0
278.0,542.0
285.0,533.0
287.0,529.0
287.0,529.0
300.0,517.0
327.0,495.0
341.0,490.0
341.0,490.0
361.0,483.0
361.0,483.0
397.0,474.0
413.0,476.0
413.0,476.0
428.0,486.0
446.0,518.0
444.0,530.0
444.0,530.0
444.0,533.0
433.0,505.0
428.0,485.0
428.0,485.0
426.0,461.0
426.0,461.0
425.0,444.0
436.0,437.0
449.0,454.0
447.0,469.0
439.0,483.0
439.0,483.0
413.0,501.0
401.0,504.0
401.0,504.0
397.0,500.0
417.0,495.0
436.0,493.0
436.0,493.0
453.0,492.0
453.0,492.0
474.0,495.0
476.0,494.0
471.0,487.0
471.0,487.0
466.0,450.0
463.0,436.0
462.0,429.0
462.0,429.0
460.0,450.0
466.0,460.0
482.0,473.0
482.0,473.0
497.0,479.0
522.0,482.0
522.0,482.0
528.0,479.0
528.0,479.0
526.0,479.0
508.0,480.0
499.0,469.0
499.0,469.0
495.0,457.0
495.0,457.0
501.0,443.0
519.0,432.0
529.0,437.0
529.0,437.0
540.0,467.0
533.0,476.0
527.0,478.0
527.0,478.0
520.0,473.0
520.0,473.0
524.0,468.0
548.0,465.0
562.0,469.0
562.0,469.0
570.0,476.0
570.0,476.0
576.0,483.0
570.0,472.0
568.0,460.0
568.0,460.0
564.0,431.0
566.0,419.0
566.0,419.0
568.0,418.0
564.0,438.0
558.0,450.0
558.0,450.0
541.0,482.0
534.0,491.0
530.0,501.0
530.0,501.0
535.0,507.0
535.0,507.0
540.0,506.0
543.0,491.0
538.0,482.0
538.0,482.0
532.0,476.0
520.0,483.0
511.0,497.0
511.0,497.0
491.0,531.0
484.0,540.0
484.0,540.0
484.0,542.0
490.0,539.0
490.0,539.0
520.0,517.0
541.0,504.0
541.0,504.0
582.0,483.0
599.0,474.0
618.0,467.0
618.0,467.0
649.0,471.0
656.0,481.0
666.0,487.0
666.0,487.0
667.0,502.0
667.0,506.0
667.0,507.0
667.0,507.0
663.0,498.0
666.0,493.0
666.0,493.0
669.0,491.0
671.0,491.0
671.0,491.0
658.0,479.0
655.0,460.0
655.0,460.0
654.0,428.0
660.0,421.0
666.0,425.0
666.0,425.0
674.0,445.0
669.0,459.0
661.0,470.0
661.0,470.0
649.0,479.0
620.0,484.0
620.0,484.0
613.0,483.0
617.0,483.0
617.0,483.0
646.0,481.0
663.0,481.0
663.0,481.0
678.0,479.0
693.0,486.0
690.0,480.0
690.0,480.0
687.0,467.0
692.0,429.0
690.0,430.0
690.0,430.0
692.0,433.0
692.0,433.0
692.0,464.0
701.0,474.0
717.0,480.0
717.0,480.0
745.0,478.0
752.0,478.0
747.0,480.0
747.0,480.0
725.0,478.0
717.0,466.0
717.0,466.0
719.0,452.0
725.0,439.0
725.0,439.0
739.0,439.0
748.0,450.0
748.0,450.0
752.0,467.0
743.0,478.0
739.0,477.0
739.0,477.0
751.0,471.0
760.0,473.0
760.0,473.0
769.0,479.0
774.0,479.0
774.0,479.0
774.0,459.0
773.0,448.0
772.0,442.0
772.0,442.0
775.0,454.0
784.0,467.0
796.0,475.0
796.0,475.0
805.0,476.0
805.0,476.0
805.0,457.0
809.0,446.0
809.0,446.0
815.0,441.0
838.0,446.0
846.0,455.0
846.0,455.0
854.0,469.0
854.0,469.0
838.0,481.0
828.0,475.0
824.0,462.0
824.0,462.0
830.0,440.0
839.0,441.0
847.0,445.0
847.0,445.0
855.0,458.0
855.0,458.0
856.0,465.0
854.0,449.0
852.0,428.0
852.0,428.0
