x,y
213.0,489.0
212.0,491.0
207.0,505.0
207.0,505.0
206.0,506.0
190.0,493.0
190.0,488.0
184.0,484.0
185.0,479.0
183.0,468.0
186.0,451.0
198.0,442.0
228.0,461.0
234.0,473.0
241.0,484.0
252.0,510.0
258.0,560.0
260.0,578.0
263.0,601.0
264.0,613.0
264.0,613.0
263.0,612.0
261.0,595.0
260.0,565.0
260.0,565.0
262.0,501.0
266.0,477.0
266.0,477.0
270.0,457.0
271.0,452.0
271.0,452.0
272.0,465.0
274.0,475.0
274.0,475.0
276.0,488.0
276.0,488.0
283.0,499.0
291.0,498.0
292.0,490.0
292.0,490.0
294.0,466.0
296.0,457.0
301.0,456.0
301.0,456.0
311.0,465.0
314.0,477.0
317.0,491.0
317.0,491.0
315.0,501.0
316.0,494.0
316.0,479.0
324.0,454.0
324.0,454.0
331.0,452.0
331.0,452.0
354.0,470.0
362.0,482.0
365.0,492.0
365.0,492.0
352.0,495.0
347.0,487.0
347.0,487.0
339.0,471.0
341.0,452.0
345.0,450.0
345.0,450.0
355.0,451.0
369.0,467.0
379.0,475.0
379.0,475.0
389.0,484.0
389.0,484.0
397.0,492.0
407.0,499.0
409.0,499.0
409.0,499.0
392.0,492.0
382.0,485.0
374.0,477.0
374.0,477.0
371.0,467.0
371.0,467.0
377.0,451.0
387.0,448.0
387.0,448.0
395.0,452.0
407.0,465.0
408.0,470.0
408.0,470.0
403.0,477.0
403.0,477.0
394.0,484.0
364.0,502.0
350.0,505.0
350.0,505.0
332.0,509.0
312.0,508.0
314.0,510.0
314.0,510.0
325.0,516.0
345.0,533.0
352.0,533.0
352.0,533.0
368.0,514.0
374.0,511.0
374.0,511.0
378.0,513.0
376.0,529.0
382.0,539.0
382.0,539.0
390.0,549.0
411.0,563.0
416.0,567.0
416.0,567.0
416.0,560.0
415.0,551.0
417.0,543.0
417.0,543.0
430.0,523.0
440.0,514.0
448.0,507.0
448.0,507.0
470.0,505.0
480.0,504.0
480.0,504.0
487.0,502.0
501.0,486.0
508.0,475.0
508.0,475.0
510.0,465.0
498.0,448.0
498.0,448.0
483.0,446.0
476.0,448.0
476.0,448.0
479.0,466.0
488.0,471.0
500.0,475.0
500.0,475.0
526.0,483.0
536.0,493.0
537.0,505.0
537.0,505.0
535.0,510.0
535.0,510.0
518.0,506.0
511.0,495.0
511.0,495.0
506.0,484.0
508.0,469.0
511.0,461.0
511.0,461.0
521.0,458.0
531.0,459.0
531.0,459.0
