x,y
250.0,471.0
249.0,472.0
245.0,473.0
231.0,477.0
230.0,476.0
227.0,473.0
223.0,469.0
222.0,466.0
221.0,458.0
221.0,435.0
225.0,430.0
233.0,429.0
244.0,429.0
291.0,438.0
308.0,443.0
316.0,450.0
323.0,456.0
317.0,475.0
314.0,475.0
307.0,475.0
301.0,471.0
282.0,438.0
281.0,432.0
287.0,424.0
291.0,424.0
320.0,445.0
324.0,455.0
321.0,469.0
322.0,467.0
319.0,461.0
322.0,429.0
327.0,429.0
333.0,435.0
339.0,443.0
345.0,455.0
352.0,464.0
359.0,465.0
356.0,457.0
354.0,444.0
351.0,435.0
349.0,431.0
350.0,432.0
353.0,439.0
354.0,450.0
378.0,471.0
377.0,468.0
375.0,459.0
375.0,446.0
380.0,438.0
381.0,434.0
408.0,462.0
419.0,483.0
426.0,506.0
436.0,539.0
443.0,561.0
446.0,579.0
433.0,591.0
425.0,576.0
421.0,555.0
415.0,534.0
407.0,506.0
401.0,479.0
400.0,453.0
398.0,439.0
401.0,453.0
406.0,466.0
412.0,477.0
418.0,485.0
424.0,487.0
431.0,453.0
434.0,444.0
435.0,437.0
439.0,436.0
442.0,437.0
442.0,440.0
445.0,446.0
446.0,454.0
413.0,490.0
398.0,495.0
385.0,499.0
368.0,503.0
355.0,505.0
341.0,509.0
334.0,514.0
345.0,531.0
354.0,539.0
357.0,543.0
360.0,547.0
364.0,543.0
366.0,534.0
388.0,501.0
400.0,500.0
416.0,493.0
433.0,490.0
454.0,487.0
475.0,481.0
491.0,482.0
559.0,488.0
566.0,494.0
567.0,499.0
562.0,502.0
553.0,500.0
544.0,495.0
535.0,486.0
528.0,478.0
536.0,442.0
541.0,442.0
550.0,445.0
555.0,454.0
560.0,468.0
570.0,543.0
569.0,559.0
567.0,571.0
567.0,576.0
565.0,571.0
561.0,562.0
559.0,545.0
556.0,450.0
557.0,427.0
560.0,419.0
567.0,418.0
575.0,427.0
578.0,439.0
584.0,456.0
570.0,509.0
560.0,517.0
550.0,526.0
539.0,528.0
531.0,531.0
526.0,531.0
522.0,532.0
522.0,531.0
563.0,531.0
579.0,529.0
594.0,528.0
603.0,528.0
605.0,522.0
604.0,518.0
601.0,514.0
592.0,485.0
599.0,478.0
605.0,474.0
615.0,469.0
625.0,469.0
635.0,471.0
641.0,476.0
639.0,480.0
612.0,471.0
602.0,464.0
598.0,456.0
598.0,447.0
600.0,438.0
631.0,428.0
639.0,434.0
644.0,450.0
643.0,459.0
643.0,459.0
639.0,465.0
634.0,469.0
619.0,464.0
624.0,459.0
631.0,456.0
644.0,458.0
667.0,469.0
673.0,473.0
675.0,461.0
674.0,449.0
671.0,439.0
669.0,429.0
663.0,427.0
660.0,434.0
657.0,444.0
678.0,464.0
701.0,476.0
704.0,471.0
705.0,463.0
707.0,458.0
707.0,451.0
706.0,443.0
710.0,437.0
712.0,434.0
725.0,434.0
745.0,447.0
754.0,456.0
757.0,460.0
754.0,467.0
718.0,469.0
716.0,446.0
721.0,440.0
725.0,434.0
732.0,429.0
741.0,427.0
753.0,445.0
757.0,456.0
761.0,463.0
760.0,469.0
759.0,473.0
757.0,464.0
756.0,455.0
756.0,439.0
752.0,394.0
754.0,373.0
752.0,360.0
748.0,352.0
744.0,349.0
731.0,349.0
728.0,355.0
721.0,358.0
724.0,367.0
732.0,402.0
741.0,411.0
753.0,424.0
762.0,433.0
762.0,439.0
759.0,453.0
749.0,460.0
735.0,466.0
659.0,486.0
659.0,486.0
644.0,490.0
626.0,493.0
613.0,493.0
601.0,493.0
591.0,498.0
613.0,520.0
618.0,526.0
623.0,526.0
626.0,526.0
626.0,526.0
631.0,518.0
634.0,512.0
638.0,514.0
632.0,521.0
627.0,530.0
621.0,538.0
618.0,546.0
609.0,563.0
611.0,567.0
625.0,560.0
633.0,555.0
643.0,551.0
656.0,546.0
665.0,536.0
677.0,532.0
689.0,527.0
725.0,512.0
736.0,504.0
761.0,495.0
775.0,490.0
784.0,488.0
794.0,491.0
801.0,488.0
810.0,491.0
855.0,518.0
855.0,518.0
861.0,533.0
860.0,563.0
859.0,572.0
859.0,580.0
848.0,556.0
846.0,536.0
845.0,517.0
842.0,497.0
839.0,473.0
839.0,473.0
834.0,436.0
834.0,446.0
836.0,458.0
841.0,469.0
846.0,478.0
847.0,484.0
854.0,485.0
857.0,483.0
858.0,447.0
858.0,437.0
860.0,434.0
866.0,430.0
872.0,429.0
907.0,447.0
915.0,459.0
918.0,469.0
916.0,476.0
914.0,481.0
882.0,463.0
879.0,450.0
881.0,438.0
889.0,428.0
895.0,425.0
902.0,424.0
914.0,427.0
921.0,432.0
930.0,468.0
922.0,473.0
920.0,476.0
914.0,475.0
913.0,470.0
913.0,467.0
938.0,458.0
949.0,457.0
958.0,461.0
965.0,461.0
974.0,460.0
981.0,464.0
985.0,465.0
980.0,476.0
973.0,477.0
965.0,474.0
960.0,468.0
955.0,461.0
957.0,450.0
969.0,424.0
974.0,426.0
979.0,430.0
983.0,440.0
988.0,446.0
989.0,459.0
990.0,466.0
990.0,456.0
991.0,446.0
992.0,436.0
994.0,431.0
999.0,424.0
1004.0,426.0
1044.0,437.0
1057.0,440.0
1074.0,447.0
1083.0,451.0
1095.0,459.0
1099.0,468.0
1082.0,487.0
1075.0,482.0
1067.0,470.0
1064.0,458.0
1065.0,446.0
1067.0,436.0
1068.0,429.0
1093.0,435.0
1100.0,441.0
1105.0,460.0
1110.0,474.0
1110.0,492.0
1116.0,510.0
1119.0,533.0
1117.0,554.0
1115.0,582.0
1111.0,573.0
1112.0,554.0
1113.0,534.0
1111.0,510.0
1104.0,490.0
1103.0,430.0
1108.0,428.0
1114.0,428.0
1119.0,433.0
1127.0,435.0
1133.0,438.0
1154.0,460.0
1156.0,466.0
1151.0,474.0
1142.0,475.0
1130.0,474.0
1128.0,471.0
1123.0,464.0
