x,y
165.0,460.0
168.0,461.0
167.0,464.0
163.0,466.0
163.0,466.0
158.0,463.0
158.0,463.0
147.0,441.0
148.0,431.0
154.0,420.0
154.0,420.0
160.0,415.0
160.0,415.0
188.0,417.0
207.0,427.0
207.0,427.0
222.0,439.0
225.0,455.0
225.0,455.0
217.0,462.0
217.0,462.0
198.0,453.0
189.0,443.0
189.0,443.0
187.0,427.0
204.0,416.0
213.0,427.0
213.0,427.0
217.0,444.0
220.0,452.0
220.0,452.0
222.0,424.0
228.0,415.0
237.0,418.0
237.0,418.0
246.0,444.0
246.0,444.0
255.0,457.0
254.0,442.0
254.0,442.0
254.0,427.0
252.0,420.0
256.0,437.0
262.0,453.0
272.0,466.0
274.0,465.0
275.0,456.0
273.0,448.0
272.0,439.0
272.0,426.0
283.0,439.0
294.0,455.0
304.0,478.0
336.0,527.0
346.0,540.0
344.0,561.0
341.0,564.0
340.0,557.0
331.0,541.0
308.0,486.0
306.0,457.0
299.0,437.0
299.0,422.0
298.0,427.0
308.0,450.0
312.0,457.0
314.0,461.0
321.0,458.0
321.0,458.0
324.0,457.0
325.0,419.0
327.0,414.0
327.0,416.0
328.0,430.0
325.0,438.0
317.0,447.0
308.0,458.0
293.0,468.0
253.0,474.0
243.0,476.0
223.0,477.0
213.0,479.0
208.0,483.0
212.0,486.0
225.0,486.0
235.0,499.0
259.0,524.0
267.0,523.0
261.0,527.0
259.0,515.0
253.0,509.0
253.0,496.0
259.0,488.0
267.0,481.0
276.0,477.0
320.0,462.0
335.0,460.0
353.0,456.0
368.0,456.0
382.0,456.0
404.0,461.0
412.0,464.0
411.0,465.0
383.0,458.0
383.0,458.0
377.0,449.0
373.0,443.0
372.0,432.0
375.0,423.0
389.0,419.0
416.0,458.0
421.0,477.0
422.0,496.0
424.0,515.0
424.0,515.0
425.0,526.0
422.0,538.0
421.0,545.0
414.0,463.0
413.0,443.0
413.0,425.0
415.0,413.0
418.0,412.0
421.0,424.0
421.0,424.0
422.0,450.0
404.0,496.0
392.0,505.0
392.0,505.0
388.0,505.0
401.0,509.0
401.0,509.0
425.0,510.0
425.0,510.0
440.0,515.0
446.0,524.0
441.0,510.0
441.0,510.0
437.0,495.0
437.0,495.0
449.0,464.0
460.0,458.0
473.0,459.0
473.0,459.0
473.0,463.0
473.0,463.0
466.0,463.0
466.0,463.0
441.0,436.0
440.0,418.0
452.0,409.0
452.0,409.0
464.0,409.0
464.0,409.0
483.0,432.0
480.0,449.0
468.0,457.0
468.0,457.0
454.0,452.0
454.0,452.0
459.0,446.0
492.0,461.0
498.0,463.0
498.0,463.0
496.0,453.0
496.0,453.0
494.0,435.0
494.0,435.0
492.0,417.0
485.0,430.0
495.0,448.0
495.0,448.0
511.0,460.0
511.0,460.0
516.0,440.0
510.0,421.0
515.0,412.0
515.0,412.0
533.0,412.0
533.0,412.0
554.0,421.0
554.0,421.0
572.0,435.0
562.0,458.0
541.0,451.0
541.0,451.0
524.0,438.0
524.0,438.0
523.0,419.0
535.0,408.0
535.0,408.0
556.0,415.0
569.0,430.0
575.0,443.0
575.0,443.0
575.0,447.0
575.0,447.0
566.0,410.0
567.0,381.0
567.0,381.0
568.0,355.0
568.0,355.0
567.0,330.0
563.0,309.0
563.0,309.0
545.0,297.0
534.0,308.0
534.0,308.0
532.0,320.0
534.0,335.0
534.0,335.0
552.0,370.0
562.0,392.0
583.0,414.0
583.0,414.0
590.0,431.0
590.0,431.0
576.0,447.0
517.0,458.0
489.0,457.0
489.0,457.0
463.0,456.0
463.0,456.0
441.0,453.0
440.0,456.0
440.0,456.0
451.0,469.0
468.0,487.0
468.0,487.0
482.0,492.0
488.0,479.0
488.0,479.0
497.0,465.0
497.0,465.0
497.0,477.0
497.0,490.0
497.0,490.0
491.0,520.0
486.0,535.0
486.0,546.0
486.0,546.0
489.0,548.0
489.0,548.0
497.0,538.0
497.0,538.0
509.0,526.0
540.0,485.0
565.0,475.0
565.0,475.0
590.0,471.0
590.0,471.0
613.0,476.0
641.0,509.0
648.0,536.0
648.0,536.0
650.0,557.0
650.0,557.0
648.0,569.0
640.0,536.0
635.0,499.0
635.0,499.0
634.0,468.0
634.0,468.0
633.0,419.0
632.0,430.0
637.0,446.0
637.0,446.0
646.0,462.0
646.0,462.0
659.0,470.0
659.0,470.0
662.0,462.0
656.0,423.0
669.0,415.0
669.0,415.0
687.0,424.0
687.0,424.0
703.0,437.0
709.0,467.0
694.0,464.0
694.0,464.0
679.0,451.0
679.0,451.0
677.0,433.0
677.0,433.0
680.0,417.0
710.0,422.0
714.0,440.0
714.0,440.0
709.0,456.0
709.0,456.0
704.0,465.0
704.0,465.0
702.0,462.0
716.0,451.0
733.0,448.0
733.0,448.0
750.0,450.0
766.0,456.0
766.0,456.0
759.0,465.0
743.0,460.0
731.0,445.0
731.0,445.0
731.0,424.0
731.0,424.0
760.0,419.0
773.0,427.0
773.0,427.0
781.0,452.0
779.0,464.0
779.0,464.0
773.0,445.0
778.0,428.0
778.0,428.0
785.0,415.0
785.0,415.0
792.0,413.0
816.0,427.0
830.0,440.0
830.0,440.0
840.0,461.0
848.0,494.0
848.0,494.0
854.0,523.0
854.0,523.0
861.0,568.0
864.0,567.0
