x,y
303.0,583.0
303.0,583.0
300.0,583.0
300.0,583.0
296.0,582.0
284.0,582.0
277.0,579.0
277.0,579.0
268.0,569.0
269.0,563.0
274.0,560.0
274.0,560.0
286.0,558.0
302.0,559.0
307.0,561.0
312.0,563.0
328.0,571.0
345.0,586.0
351.0,585.0
354.0,591.0
343.0,597.0
338.0,595.0
328.0,585.0
326.0,580.0
316.0,570.0
316.0,566.0
316.0,560.0
319.0,557.0
322.0,555.0
327.0,555.0
331.0,552.0
344.0,561.0
346.0,567.0
349.0,571.0
351.0,590.0
350.0,591.0
350.0,591.0
349.0,572.0
350.0,562.0
353.0,557.0
353.0,557.0
360.0,557.0
360.0,557.0
372.0,571.0
376.0,583.0
376.0,583.0
377.0,592.0
375.0,581.0
374.0,567.0
374.0,567.0
379.0,554.0
387.0,556.0
398.0,563.0
398.0,563.0
406.0,584.0
408.0,588.0
406.0,587.0
406.0,581.0
406.0,581.0
403.0,572.0
393.0,505.0
392.0,493.0
388.0,484.0
384.0,475.0
378.0,471.0
372.0,475.0
370.0,479.0
371.0,495.0
375.0,504.0
377.0,512.0
383.0,523.0
393.0,538.0
417.0,566.0
421.0,577.0
421.0,577.0
415.0,586.0
387.0,594.0
369.0,598.0
369.0,598.0
338.0,598.0
328.0,603.0
321.0,602.0
317.0,602.0
322.0,604.0
345.0,616.0
354.0,625.0
362.0,633.0
374.0,634.0
377.0,621.0
385.0,619.0
385.0,619.0
395.0,615.0
395.0,615.0
420.0,601.0
435.0,595.0
435.0,595.0
450.0,591.0
464.0,590.0
464.0,590.0
483.0,583.0
491.0,573.0
491.0,573.0
504.0,559.0
514.0,551.0
511.0,554.0
511.0,554.0
495.0,556.0
488.0,557.0
482.0,555.0
477.0,554.0
468.0,557.0
470.0,561.0
482.0,572.0
488.0,576.0
496.0,579.0
502.0,583.0
526.0,597.0
531.0,598.0
531.0,597.0
526.0,596.0
525.0,594.0
527.0,588.0
533.0,585.0
539.0,587.0
548.0,587.0
557.0,587.0
574.0,593.0
579.0,593.0
568.0,597.0
562.0,595.0
553.0,593.0
547.0,588.0
538.0,585.0
543.0,560.0
548.0,556.0
554.0,561.0
563.0,563.0
571.0,579.0
571.0,585.0
569.0,589.0
567.0,587.0
566.0,576.0
567.0,569.0
567.0,562.0
571.0,556.0
585.0,554.0
589.0,561.0
595.0,567.0
598.0,578.0
603.0,586.0
610.0,598.0
607.0,575.0
607.0,568.0
605.0,560.0
606.0,552.0
606.0,552.0
606.0,549.0
603.0,551.0
619.0,586.0
626.0,589.0
632.0,592.0
635.0,588.0
637.0,583.0
638.0,561.0
640.0,551.0
648.0,550.0
653.0,553.0
659.0,559.0
667.0,567.0
674.0,578.0
695.0,635.0
695.0,635.0
697.0,648.0
699.0,660.0
698.0,670.0
695.0,671.0
683.0,632.0
680.0,614.0
680.0,599.0
679.0,584.0
678.0,572.0
678.0,572.0
672.0,567.0
676.0,574.0
683.0,581.0
702.0,595.0
706.0,594.0
707.0,591.0
707.0,591.0
705.0,578.0
705.0,559.0
709.0,556.0
711.0,555.0
719.0,555.0
723.0,555.0
728.0,558.0
732.0,562.0
758.0,603.0
764.0,616.0
763.0,630.0
765.0,643.0
765.0,656.0
764.0,665.0
763.0,669.0
756.0,648.0
755.0,637.0
753.0,622.0
752.0,572.0
753.0,562.0
753.0,555.0
757.0,549.0
759.0,546.0
763.0,546.0
769.0,546.0
782.0,573.0
782.0,580.0
778.0,584.0
773.0,587.0
758.0,583.0
759.0,580.0
759.0,578.0
764.0,574.0
770.0,571.0
777.0,571.0
804.0,574.0
809.0,576.0
816.0,582.0
815.0,587.0
814.0,591.0
811.0,593.0
792.0,579.0
791.0,573.0
790.0,566.0
792.0,558.0
796.0,554.0
819.0,558.0
822.0,564.0
828.0,572.0
830.0,580.0
834.0,586.0
836.0,579.0
838.0,572.0
836.0,564.0
833.0,554.0
832.0,549.0
832.0,547.0
833.0,549.0
838.0,575.0
844.0,582.0
850.0,587.0
855.0,588.0
861.0,588.0
860.0,566.0
862.0,557.0
862.0,550.0
865.0,545.0
868.0,540.0
876.0,546.0
878.0,550.0
870.0,559.0
858.0,571.0
858.0,571.0
820.0,592.0
801.0,599.0
785.0,604.0
785.0,604.0
775.0,607.0
775.0,607.0
777.0,610.0
801.0,627.0
813.0,636.0
813.0,636.0
820.0,634.0
820.0,634.0
827.0,623.0
839.0,600.0
849.0,591.0
849.0,591.0
866.0,583.0
866.0,583.0
907.0,573.0
925.0,572.0
940.0,574.0
940.0,574.0
945.0,578.0
945.0,578.0
942.0,585.0
935.0,586.0
929.0,585.0
923.0,583.0
915.0,575.0
914.0,550.0
914.0,550.0
918.0,546.0
943.0,541.0
948.0,546.0
953.0,564.0
956.0,575.0
958.0,589.0
956.0,604.0
959.0,616.0
959.0,646.0
958.0,649.0
956.0,648.0
955.0,642.0
956.0,618.0
956.0,558.0
954.0,548.0
957.0,540.0
957.0,540.0
957.0,534.0
960.0,547.0
952.0,568.0
950.0,577.0
948.0,587.0
945.0,595.0
942.0,603.0
932.0,617.0
929.0,616.0
929.0,615.0
936.0,614.0
943.0,613.0
955.0,611.0
972.0,611.0
972.0,611.0
989.0,611.0
983.0,587.0
984.0,575.0
984.0,575.0
999.0,568.0
1005.0,574.0
1004.0,576.0
1004.0,576.0
999.0,574.0
990.0,553.0
990.0,553.0
994.0,538.0
1000.0,529.0
1000.0,529.0
1017.0,535.0
1022.0,549.0
1028.0,563.0
1028.0,563.0
1027.0,571.0
1027.0,566.0
1024.0,559.0
1024.0,559.0
1025.0,544.0
1028.0,539.0
1030.0,532.0
1049.0,532.0
1061.0,537.0
1061.0,537.0
1073.0,556.0
1057.0,564.0
1046.0,558.0
1046.0,558.0
1042.0,550.0
1042.0,550.0
1044.0,537.0
1056.0,518.0
1064.0,517.0
1064.0,517.0
1075.0,520.0
1082.0,528.0
1082.0,528.0
1083.0,539.0
1071.0,558.0
1071.0,558.0
1067.0,559.0
1071.0,554.0
1071.0,554.0
1082.0,552.0
1089.0,559.0
1089.0,559.0
1095.0,565.0
1095.0,565.0
1097.0,569.0
1096.0,547.0
1100.0,535.0
1100.0,535.0
1100.0,526.0
1100.0,526.0
1100.0,521.0
1100.0,535.0
1107.0,549.0
1107.0,549.0
1114.0,558.0
1114.0,558.0
1124.0,563.0
1124.0,555.0
1126.0,543.0
1126.0,543.0
1127.0,530.0
1130.0,523.0
1130.0,523.0
1153.0,525.0
1164.0,530.0
1164.0,530.0
1170.0,539.0
1170.0,539.0
1183.0,551.0
1176.0,570.0
1161.0,570.0
1161.0,570.0
1149.0,561.0
1149.0,561.0
1145.0,534.0
1149.0,524.0
1155.0,520.0
1159.0,519.0
1167.0,518.0
1177.0,536.0
1174.0,537.0
1172.0,542.0
1178.0,546.0
1184.0,551.0
1180.0,537.0
1177.0,526.0
1181.0,522.0
1181.0,506.0
1178.0,452.0
1175.0,442.0
1172.0,430.0
1171.0,426.0
1167.0,425.0
1159.0,426.0
1149.0,451.0
1147.0,456.0
1149.0,466.0
1177.0,515.0
1178.0,522.0
1184.0,526.0
1191.0,531.0
1191.0,537.0
1172.0,547.0
1156.0,551.0
1143.0,551.0
1128.0,554.0
1089.0,569.0
1081.0,572.0
1076.0,578.0
1070.0,582.0
1072.0,597.0
1075.0,597.0
1077.0,601.0
1081.0,601.0
1084.0,597.0
1085.0,597.0
1086.0,578.0
1084.0,576.0
1080.0,573.0
1072.0,571.0
1068.0,567.0
1065.0,566.0
1043.0,569.0
1037.0,572.0
1031.0,576.0
1023.0,580.0
1019.0,587.0
1016.0,591.0
1018.0,605.0
1023.0,605.0
1026.0,603.0
1032.0,600.0
1037.0,599.0
1042.0,584.0
1039.0,580.0
1034.0,575.0
1028.0,571.0
1027.0,569.0
1028.0,562.0
1032.0,564.0
1040.0,567.0
1043.0,573.0
1046.0,579.0
1049.0,612.0
1044.0,619.0
1039.0,627.0
1031.0,634.0
1027.0,640.0
1023.0,641.0
1031.0,640.0
1039.0,638.0
1048.0,633.0
1058.0,626.0
1068.0,622.0
1076.0,618.0
1110.0,603.0
1117.0,599.0
1117.0,597.0
