x,y
309.0,521.0
309.0,521.0
304.0,525.0
304.0,525.0
296.0,525.0
273.0,509.0
269.0,484.0
283.0,472.0
283.0,472.0
324.0,479.0
347.0,492.0
347.0,492.0
368.0,506.0
385.0,527.0
378.0,529.0
378.0,529.0
370.0,523.0
358.0,501.0
357.0,488.0
357.0,488.0
374.0,482.0
385.0,491.0
385.0,491.0
391.0,504.0
393.0,526.0
391.0,524.0
391.0,524.0
386.0,513.0
386.0,513.0
389.0,499.0
402.0,487.0
408.0,493.0
408.0,493.0
415.0,508.0
422.0,520.0
422.0,520.0
431.0,514.0
430.0,495.0
430.0,495.0
427.0,479.0
427.0,479.0
431.0,495.0
433.0,508.0
433.0,508.0
444.0,521.0
444.0,521.0
457.0,528.0
460.0,521.0
460.0,521.0
459.0,496.0
459.0,485.0
459.0,485.0
467.0,479.0
467.0,479.0
472.0,483.0
464.0,504.0
448.0,516.0
448.0,516.0
429.0,525.0
412.0,537.0
412.0,537.0
382.0,563.0
372.0,574.0
367.0,576.0
367.0,576.0
363.0,579.0
366.0,566.0
366.0,566.0
363.0,563.0
363.0,563.0
369.0,553.0
380.0,542.0
380.0,542.0
406.0,550.0
421.0,561.0
421.0,561.0
427.0,571.0
427.0,571.0
429.0,573.0
432.0,558.0
439.0,547.0
439.0,547.0
450.0,535.0
450.0,535.0
468.0,525.0
511.0,518.0
525.0,523.0
537.0,528.0
536.0,526.0
537.0,521.0
530.0,489.0
524.0,463.0
520.0,447.0
515.0,434.0
514.0,425.0
511.0,420.0
512.0,451.0
515.0,465.0
517.0,478.0
520.0,490.0
523.0,497.0
545.0,515.0
542.0,509.0
541.0,500.0
541.0,491.0
542.0,483.0
546.0,478.0
552.0,480.0
582.0,520.0
599.0,552.0
599.0,552.0
606.0,581.0
606.0,581.0
607.0,614.0
598.0,600.0
589.0,573.0
589.0,573.0
583.0,535.0
583.0,535.0
581.0,498.0
580.0,496.0
584.0,509.0
584.0,509.0
607.0,531.0
608.0,520.0
608.0,504.0
608.0,504.0
611.0,492.0
611.0,492.0
639.0,495.0
654.0,507.0
662.0,520.0
662.0,520.0
658.0,532.0
658.0,532.0
637.0,521.0
629.0,506.0
629.0,506.0
632.0,493.0
644.0,484.0
644.0,484.0
665.0,498.0
662.0,516.0
662.0,516.0
650.0,527.0
641.0,523.0
641.0,523.0
658.0,514.0
672.0,519.0
672.0,519.0
674.0,487.0
668.0,477.0
665.0,487.0
665.0,487.0
674.0,502.0
674.0,502.0
701.0,521.0
706.0,514.0
706.0,514.0
705.0,500.0
708.0,486.0
708.0,486.0
734.0,485.0
748.0,492.0
748.0,492.0
756.0,502.0
739.0,522.0
729.0,523.0
729.0,523.0
720.0,508.0
720.0,508.0
720.0,492.0
735.0,479.0
748.0,488.0
748.0,488.0
756.0,504.0
756.0,504.0
754.0,521.0
751.0,506.0
754.0,486.0
754.0,486.0
755.0,455.0
755.0,455.0
757.0,422.0
750.0,386.0
745.0,399.0
745.0,399.0
733.0,437.0
732.0,453.0
732.0,453.0
734.0,467.0
748.0,480.0
748.0,480.0
780.0,506.0
776.0,519.0
756.0,534.0
756.0,534.0
699.0,563.0
677.0,572.0
658.0,586.0
658.0,586.0
650.0,593.0
650.0,593.0
663.0,587.0
682.0,578.0
701.0,566.0
701.0,566.0
724.0,553.0
724.0,553.0
782.0,534.0
811.0,528.0
811.0,528.0
835.0,526.0
863.0,525.0
867.0,527.0
867.0,527.0
857.0,537.0
849.0,536.0
838.0,531.0
825.0,503.0
830.0,495.0
853.0,478.0
857.0,483.0
857.0,483.0
859.0,494.0
861.0,503.0
854.0,511.0
855.0,499.0
862.0,490.0
865.0,482.0
879.0,473.0
883.0,481.0
884.0,493.0
885.0,516.0
885.0,522.0
893.0,505.0
895.0,489.0
897.0,479.0
897.0,471.0
895.0,469.0
895.0,469.0
898.0,468.0
899.0,521.0
904.0,526.0
911.0,532.0
916.0,530.0
922.0,487.0
919.0,481.0
922.0,478.0
921.0,478.0
925.0,511.0
926.0,517.0
932.0,524.0
939.0,527.0
939.0,527.0
946.0,525.0
948.0,492.0
950.0,483.0
950.0,473.0
953.0,469.0
953.0,470.0
944.0,497.0
940.0,506.0
929.0,516.0
919.0,525.0
860.0,548.0
848.0,552.0
837.0,554.0
827.0,557.0
823.0,560.0
825.0,570.0
831.0,573.0
849.0,586.0
863.0,581.0
868.0,573.0
869.0,562.0
873.0,558.0
874.0,558.0
878.0,560.0
881.0,580.0
883.0,585.0
887.0,585.0
896.0,592.0
904.0,596.0
912.0,601.0
926.0,609.0
926.0,606.0
924.0,601.0
923.0,594.0
921.0,589.0
923.0,582.0
927.0,573.0
959.0,542.0
971.0,533.0
981.0,527.0
992.0,524.0
1027.0,522.0
1028.0,528.0
1030.0,530.0
1029.0,534.0
1024.0,534.0
1017.0,533.0
1010.0,533.0
1001.0,492.0
1016.0,482.0
1020.0,483.0
1022.0,486.0
1023.0,492.0
1021.0,525.0
1018.0,530.0
1017.0,530.0
1018.0,525.0
1024.0,489.0
1026.0,486.0
1029.0,481.0
1033.0,482.0
1036.0,490.0
1047.0,523.0
1050.0,528.0
1049.0,535.0
1049.0,537.0
1046.0,538.0
1047.0,532.0
1043.0,491.0
1042.0,475.0
1040.0,462.0
1039.0,406.0
1038.0,400.0
1038.0,399.0
1034.0,401.0
1036.0,409.0
1038.0,419.0
1045.0,473.0
1052.0,485.0
1056.0,498.0
1061.0,509.0
1067.0,518.0
1090.0,526.0
1091.0,520.0
1092.0,513.0
1094.0,504.0
1093.0,494.0
1100.0,466.0
1106.0,464.0
1110.0,466.0
1112.0,471.0
1110.0,477.0
1087.0,508.0
1075.0,515.0
1064.0,520.0
1054.0,526.0
1016.0,542.0
1012.0,547.0
1012.0,551.0
