x,y
327.0,519.0
326.0,521.0
326.0,521.0
304.0,534.0
300.0,532.0
290.0,530.0
287.0,523.0
286.0,497.0
288.0,492.0
291.0,483.0
294.0,479.0
321.0,493.0
324.0,504.0
327.0,512.0
331.0,522.0
334.0,532.0
335.0,585.0
332.0,592.0
329.0,596.0
331.0,561.0
331.0,549.0
332.0,536.0
329.0,521.0
329.0,510.0
331.0,497.0
344.0,476.0
349.0,478.0
358.0,484.0
369.0,488.0
377.0,495.0
386.0,498.0
391.0,517.0
385.0,519.0
376.0,513.0
359.0,486.0
363.0,481.0
369.0,478.0
376.0,476.0
402.0,497.0
402.0,505.0
402.0,509.0
394.0,516.0
389.0,518.0
381.0,507.0
382.0,510.0
388.0,509.0
398.0,513.0
404.0,516.0
416.0,513.0
418.0,506.0
416.0,498.0
412.0,487.0
414.0,487.0
418.0,494.0
420.0,501.0
425.0,509.0
429.0,518.0
438.0,508.0
441.0,499.0
442.0,488.0
444.0,482.0
468.0,486.0
479.0,492.0
487.0,498.0
492.0,506.0
491.0,513.0
464.0,519.0
453.0,515.0
451.0,501.0
452.0,497.0
456.0,489.0
485.0,489.0
491.0,496.0
495.0,507.0
495.0,514.0
495.0,517.0
489.0,487.0
487.0,473.0
486.0,457.0
485.0,437.0
465.0,388.0
461.0,385.0
459.0,388.0
454.0,394.0
455.0,401.0
481.0,447.0
490.0,458.0
503.0,470.0
501.0,504.0
492.0,514.0
482.0,521.0
467.0,528.0
455.0,538.0
411.0,573.0
403.0,581.0
400.0,585.0
399.0,586.0
424.0,572.0
434.0,562.0
443.0,556.0
453.0,547.0
462.0,538.0
504.0,513.0
517.0,506.0
523.0,504.0
531.0,501.0
560.0,505.0
565.0,507.0
569.0,512.0
576.0,519.0
578.0,552.0
574.0,559.0
568.0,562.0
563.0,560.0
560.0,556.0
555.0,550.0
571.0,534.0
578.0,531.0
588.0,527.0
594.0,524.0
600.0,518.0
608.0,499.0
601.0,497.0
596.0,494.0
590.0,491.0
569.0,493.0
569.0,494.0
572.0,492.0
573.0,491.0
606.0,493.0
615.0,495.0
624.0,499.0
634.0,507.0
638.0,509.0
628.0,523.0
621.0,522.0
613.0,517.0
608.0,510.0
614.0,484.0
620.0,483.0
626.0,484.0
633.0,489.0
639.0,494.0
636.0,517.0
629.0,518.0
626.0,512.0
624.0,509.0
627.0,507.0
654.0,515.0
660.0,517.0
662.0,516.0
664.0,515.0
660.0,480.0
659.0,482.0
659.0,482.0
661.0,491.0
678.0,514.0
683.0,512.0
686.0,507.0
686.0,501.0
686.0,494.0
694.0,473.0
700.0,472.0
709.0,476.0
721.0,481.0
735.0,516.0
729.0,521.0
722.0,525.0
703.0,509.0
699.0,501.0
700.0,492.0
717.0,480.0
723.0,482.0
728.0,489.0
732.0,500.0
738.0,510.0
741.0,519.0
735.0,504.0
732.0,494.0
735.0,479.0
723.0,380.0
715.0,358.0
711.0,349.0
708.0,349.0
705.0,359.0
703.0,394.0
708.0,406.0
714.0,419.0
740.0,460.0
747.0,477.0
747.0,478.0
731.0,493.0
720.0,497.0
707.0,502.0
693.0,509.0
678.0,514.0
663.0,519.0
605.0,534.0
603.0,533.0
605.0,536.0
624.0,550.0
633.0,554.0
642.0,565.0
647.0,568.0
655.0,564.0
660.0,558.0
662.0,551.0
676.0,536.0
682.0,532.0
690.0,528.0
696.0,521.0
747.0,510.0
758.0,510.0
767.0,513.0
790.0,528.0
792.0,532.0
791.0,530.0
790.0,529.0
787.0,524.0
785.0,500.0
786.0,491.0
805.0,494.0
808.0,504.0
811.0,515.0
811.0,515.0
814.0,521.0
812.0,503.0
816.0,492.0
824.0,483.0
829.0,478.0
861.0,493.0
861.0,493.0
869.0,504.0
876.0,512.0
850.0,519.0
843.0,517.0
839.0,511.0
836.0,504.0
847.0,478.0
850.0,473.0
862.0,470.0
870.0,474.0
873.0,480.0
886.0,505.0
883.0,510.0
877.0,514.0
872.0,517.0
872.0,517.0
866.0,515.0
875.0,506.0
881.0,507.0
889.0,512.0
905.0,519.0
904.0,513.0
904.0,513.0
900.0,492.0
893.0,466.0
895.0,473.0
898.0,483.0
899.0,495.0
902.0,504.0
905.0,513.0
927.0,523.0
931.0,519.0
930.0,517.0
929.0,511.0
925.0,481.0
931.0,477.0
934.0,475.0
940.0,483.0
934.0,490.0
928.0,497.0
921.0,507.0
909.0,514.0
867.0,531.0
858.0,531.0
851.0,533.0
846.0,533.0
844.0,537.0
855.0,552.0
861.0,555.0
868.0,559.0
872.0,558.0
890.0,532.0
897.0,528.0
900.0,527.0
902.0,527.0
896.0,546.0
899.0,551.0
901.0,555.0
909.0,561.0
921.0,568.0
940.0,585.0
940.0,585.0
936.0,582.0
935.0,577.0
931.0,570.0
931.0,545.0
937.0,538.0
943.0,531.0
949.0,526.0
978.0,512.0
986.0,510.0
993.0,513.0
1000.0,521.0
1018.0,568.0
1017.0,582.0
1017.0,596.0
1017.0,604.0
1010.0,610.0
1003.0,594.0
1004.0,577.0
1004.0,560.0
1004.0,543.0
1005.0,524.0
1015.0,483.0
1020.0,482.0
1026.0,486.0
1034.0,488.0
1033.0,520.0
1032.0,527.0
1029.0,526.0
1031.0,523.0
1029.0,514.0
1037.0,490.0
1041.0,488.0
1042.0,487.0
1047.0,489.0
1061.0,523.0
1056.0,528.0
1059.0,533.0
1061.0,535.0
1061.0,533.0
1059.0,531.0
1062.0,505.0
1062.0,496.0
1065.0,494.0
1063.0,487.0
1067.0,484.0
1078.0,495.0
1077.0,505.0
1083.0,511.0
1085.0,515.0
1073.0,532.0
1072.0,534.0
1065.0,527.0
1065.0,523.0
1071.0,488.0
1077.0,482.0
1082.0,480.0
1087.0,479.0
1097.0,479.0
1098.0,482.0
1098.0,506.0
1097.0,514.0
1090.0,520.0
1087.0,522.0
1081.0,522.0
1092.0,512.0
1093.0,511.0
1099.0,508.0
1099.0,508.0
1112.0,526.0
1112.0,525.0
1113.0,526.0
1111.0,525.0
1114.0,522.0
1118.0,488.0
1116.0,478.0
1118.0,477.0
1113.0,475.0
1115.0,480.0
1121.0,515.0
1125.0,519.0
1125.0,524.0
1132.0,525.0
1143.0,513.0
1147.0,508.0
1147.0,502.0
1148.0,495.0
1147.0,489.0
1164.0,481.0
1172.0,484.0
1173.0,491.0
1165.0,495.0
1161.0,504.0
1119.0,530.0
1111.0,533.0
1100.0,538.0
1094.0,542.0
1091.0,546.0
1086.0,550.0
1092.0,559.0
1097.0,564.0
1098.0,561.0
1104.0,544.0
1101.0,538.0
1098.0,534.0
1096.0,528.0
1098.0,506.0
1103.0,501.0
1107.0,493.0
1107.0,483.0
1105.0,440.0
1109.0,428.0
1109.0,423.0
1108.0,420.0
1108.0,417.0
1103.0,427.0
1099.0,425.0
1099.0,427.0
1099.0,427.0
