x,y
296.0,545.0
300.0,545.0
297.0,553.0
298.0,555.0
292.0,556.0
287.0,555.0
284.0,553.0
277.0,549.0
266.0,518.0
265.0,509.0
267.0,502.0
268.0,498.0
270.0,494.0
287.0,507.0
291.0,519.0
294.0,530.0
294.0,541.0
299.0,558.0
302.0,615.0
299.0,635.0
303.0,641.0
301.0,650.0
310.0,639.0
299.0,620.0
300.0,610.0
299.0,600.0
301.0,584.0
299.0,575.0
297.0,560.0
303.0,515.0
306.0,507.0
309.0,504.0
318.0,505.0
324.0,506.0
334.0,506.0
341.0,512.0
367.0,540.0
369.0,547.0
369.0,552.0
365.0,556.0
360.0,554.0
351.0,549.0
346.0,541.0
339.0,509.0
343.0,501.0
346.0,500.0
355.0,496.0
364.0,494.0
372.0,498.0
387.0,525.0
385.0,532.0
381.0,535.0
376.0,541.0
371.0,538.0
376.0,537.0
385.0,539.0
392.0,544.0
406.0,539.0
406.0,529.0
402.0,520.0
401.0,509.0
398.0,499.0
399.0,493.0
398.0,495.0
400.0,501.0
414.0,534.0
422.0,539.0
430.0,544.0
435.0,546.0
437.0,544.0
437.0,538.0
433.0,511.0
436.0,506.0
443.0,505.0
449.0,505.0
461.0,507.0
496.0,531.0
496.0,538.0
496.0,544.0
493.0,549.0
485.0,549.0
478.0,551.0
454.0,525.0
454.0,514.0
457.0,510.0
465.0,505.0
471.0,503.0
480.0,505.0
506.0,532.0
508.0,538.0
509.0,538.0
508.0,536.0
507.0,528.0
487.0,471.0
481.0,457.0
475.0,442.0
471.0,428.0
467.0,420.0
463.0,414.0
451.0,413.0
453.0,420.0
456.0,426.0
465.0,436.0
475.0,445.0
485.0,454.0
512.0,496.0
510.0,503.0
505.0,511.0
495.0,518.0
485.0,525.0
428.0,564.0
414.0,575.0
402.0,583.0
391.0,589.0
383.0,596.0
380.0,597.0
398.0,586.0
407.0,578.0
418.0,572.0
427.0,567.0
438.0,559.0
488.0,525.0
524.0,514.0
538.0,515.0
547.0,518.0
577.0,548.0
581.0,556.0
582.0,570.0
585.0,572.0
578.0,575.0
575.0,564.0
572.0,553.0
571.0,539.0
570.0,528.0
584.0,499.0
594.0,503.0
600.0,506.0
602.0,513.0
602.0,513.0
584.0,534.0
575.0,535.0
565.0,542.0
556.0,544.0
555.0,543.0
561.0,543.0
587.0,538.0
601.0,538.0
615.0,542.0
622.0,544.0
627.0,543.0
623.0,522.0
622.0,514.0
620.0,506.0
620.0,499.0
620.0,499.0
616.0,499.0
619.0,507.0
621.0,513.0
627.0,520.0
645.0,530.0
653.0,535.0
663.0,538.0
674.0,538.0
695.0,546.0
693.0,545.0
688.0,545.0
682.0,541.0
673.0,540.0
659.0,528.0
657.0,520.0
658.0,512.0
674.0,496.0
681.0,495.0
689.0,498.0
696.0,504.0
704.0,511.0
693.0,538.0
681.0,534.0
682.0,530.0
685.0,526.0
710.0,523.0
717.0,529.0
730.0,539.0
734.0,544.0
735.0,548.0
734.0,550.0
730.0,534.0
728.0,527.0
728.0,520.0
725.0,513.0
726.0,505.0
730.0,496.0
732.0,494.0
742.0,502.0
741.0,508.0
742.0,514.0
742.0,514.0
736.0,521.0
730.0,527.0
695.0,560.0
692.0,565.0
691.0,571.0
691.0,576.0
694.0,577.0
704.0,573.0
706.0,568.0
704.0,558.0
698.0,552.0
691.0,546.0
687.0,543.0
676.0,561.0
671.0,567.0
663.0,576.0
663.0,576.0
656.0,583.0
646.0,601.0
642.0,607.0
642.0,608.0
653.0,603.0
660.0,598.0
669.0,590.0
676.0,582.0
676.0,582.0
723.0,539.0
732.0,529.0
744.0,524.0
754.0,518.0
767.0,517.0
776.0,516.0
804.0,530.0
816.0,546.0
821.0,556.0
824.0,563.0
826.0,572.0
828.0,577.0
829.0,579.0
819.0,553.0
820.0,542.0
818.0,531.0
819.0,523.0
821.0,515.0
825.0,509.0
847.0,505.0
852.0,507.0
857.0,510.0
857.0,516.0
855.0,523.0
849.0,529.0
813.0,545.0
804.0,547.0
800.0,549.0
795.0,549.0
794.0,549.0
799.0,549.0
833.0,541.0
842.0,541.0
850.0,538.0
857.0,540.0
860.0,543.0
860.0,539.0
859.0,528.0
858.0,518.0
859.0,506.0
859.0,501.0
859.0,507.0
860.0,512.0
863.0,520.0
867.0,527.0
874.0,531.0
907.0,537.0
911.0,536.0
912.0,532.0
920.0,532.0
925.0,533.0
925.0,532.0
921.0,532.0
898.0,534.0
893.0,533.0
889.0,527.0
890.0,523.0
889.0,516.0
901.0,494.0
907.0,493.0
915.0,495.0
921.0,501.0
929.0,506.0
935.0,513.0
925.0,536.0
917.0,536.0
913.0,534.0
940.0,519.0
948.0,521.0
954.0,525.0
957.0,530.0
960.0,535.0
958.0,541.0
958.0,538.0
957.0,531.0
956.0,523.0
954.0,514.0
961.0,490.0
963.0,487.0
966.0,490.0
967.0,493.0
958.0,516.0
952.0,522.0
941.0,529.0
931.0,533.0
918.0,539.0
891.0,547.0
887.0,548.0
889.0,549.0
890.0,551.0
897.0,555.0
903.0,558.0
921.0,572.0
926.0,565.0
928.0,560.0
930.0,552.0
934.0,546.0
937.0,538.0
944.0,533.0
969.0,520.0
980.0,519.0
990.0,522.0
997.0,523.0
1003.0,527.0
1019.0,538.0
1021.0,535.0
1021.0,534.0
1021.0,528.0
1014.0,500.0
1013.0,496.0
1009.0,497.0
1013.0,496.0
1009.0,505.0
1014.0,515.0
1037.0,534.0
1037.0,532.0
1035.0,527.0
1035.0,521.0
1035.0,511.0
1036.0,494.0
1040.0,496.0
1044.0,500.0
1050.0,508.0
1057.0,516.0
1076.0,568.0
1084.0,585.0
1085.0,600.0
1089.0,610.0
1089.0,618.0
1085.0,622.0
1083.0,625.0
1070.0,587.0
1071.0,570.0
1068.0,553.0
1066.0,538.0
1062.0,525.0
1055.0,498.0
1055.0,499.0
1053.0,501.0
1051.0,509.0
1055.0,515.0
1077.0,538.0
1082.0,538.0
1085.0,534.0
1089.0,528.0
1086.0,521.0
1087.0,517.0
1089.0,510.0
1100.0,489.0
1105.0,489.0
1114.0,488.0
1125.0,491.0
1129.0,496.0
1133.0,528.0
1128.0,532.0
1120.0,535.0
1112.0,534.0
1106.0,531.0
1106.0,498.0
1109.0,490.0
1115.0,489.0
1118.0,490.0
1123.0,496.0
1129.0,524.0
1128.0,521.0
1130.0,516.0
1132.0,495.0
1148.0,504.0
1155.0,511.0
1156.0,519.0
1158.0,526.0
1153.0,530.0
1161.0,524.0
1157.0,512.0
1162.0,506.0
1161.0,497.0
1160.0,498.0
1162.0,505.0
1156.0,513.0
1165.0,527.0
1171.0,534.0
1176.0,535.0
1176.0,535.0
1188.0,524.0
1184.0,514.0
1191.0,509.0
1189.0,503.0
1194.0,490.0
1196.0,491.0
1205.0,519.0
1211.0,533.0
1213.0,542.0
1218.0,560.0
1222.0,574.0
1225.0,590.0
1224.0,620.0
1215.0,636.0
1218.0,636.0
1220.0,632.0
1218.0,620.0
1228.0,566.0
1225.0,534.0
1222.0,518.0
1222.0,504.0
1214.0,497.0
1206.0,482.0
1200.0,479.0
1203.0,485.0
1197.0,489.0
1205.0,491.0
1211.0,505.0
1210.0,512.0
1241.0,540.0
1241.0,540.0
1238.0,537.0
1244.0,540.0
1247.0,538.0
1242.0,534.0
1244.0,530.0
1243.0,498.0
1235.0,489.0
1241.0,487.0
1241.0,487.0
1252.0,475.0
1246.0,478.0
1253.0,481.0
