x,y
208.0,584.0
206.0,584.0
206.0,587.0
204.0,569.0
202.0,560.0
195.0,554.0
194.0,536.0
192.0,471.0
192.0,464.0
188.0,460.0
187.0,460.0
187.0,460.0
197.0,495.0
200.0,502.0
214.0,512.0
214.0,508.0
215.0,500.0
218.0,485.0
220.0,468.0
224.0,462.0
234.0,462.0
251.0,491.0
252.0,500.0
251.0,509.0
253.0,512.0
253.0,512.0
252.0,493.0
256.0,485.0
261.0,479.0
263.0,476.0
265.0,477.0
282.0,493.0
285.0,502.0
288.0,511.0
288.0,521.0
287.0,514.0
286.0,509.0
290.0,493.0
300.0,481.0
306.0,483.0
313.0,485.0
338.0,506.0
343.0,511.0
342.0,524.0
336.0,526.0
320.0,524.0
316.0,517.0
316.0,510.0
314.0,505.0
331.0,482.0
343.0,484.0
345.0,489.0
347.0,494.0
344.0,504.0
333.0,518.0
330.0,517.0
330.0,516.0
332.0,513.0
342.0,520.0
353.0,527.0
358.0,502.0
358.0,502.0
357.0,481.0
359.0,485.0
356.0,495.0
367.0,514.0
375.0,524.0
383.0,529.0
381.0,509.0
381.0,500.0
402.0,486.0
417.0,494.0
405.0,524.0
396.0,513.0
392.0,507.0
394.0,493.0
401.0,480.0
424.0,488.0
422.0,501.0
422.0,512.0
417.0,506.0
419.0,501.0
422.0,474.0
426.0,463.0
426.0,449.0
426.0,395.0
419.0,387.0
415.0,381.0
396.0,394.0
400.0,415.0
406.0,424.0
411.0,439.0
421.0,451.0
429.0,462.0
427.0,495.0
427.0,495.0
419.0,502.0
399.0,512.0
359.0,528.0
349.0,532.0
343.0,536.0
334.0,546.0
342.0,557.0
350.0,558.0
352.0,551.0
355.0,546.0
354.0,540.0
338.0,517.0
332.0,517.0
327.0,519.0
323.0,519.0
319.0,520.0
301.0,533.0
300.0,536.0
300.0,540.0
302.0,545.0
311.0,547.0
311.0,547.0
316.0,538.0
313.0,534.0
299.0,514.0
293.0,515.0
289.0,515.0
288.0,514.0
298.0,514.0
305.0,515.0
313.0,513.0
324.0,512.0
370.0,510.0
381.0,513.0
393.0,515.0
448.0,527.0
459.0,531.0
468.0,534.0
477.0,541.0
484.0,549.0
505.0,584.0
506.0,591.0
507.0,601.0
510.0,609.0
503.0,638.0
500.0,638.0
499.0,638.0
488.0,590.0
489.0,573.0
490.0,555.0
487.0,538.0
487.0,500.0
485.0,503.0
488.0,509.0
496.0,545.0
500.0,548.0
501.0,545.0
502.0,540.0
502.0,535.0
508.0,511.0
511.0,509.0
515.0,510.0
523.0,507.0
530.0,509.0
556.0,533.0
556.0,539.0
551.0,542.0
546.0,544.0
525.0,518.0
524.0,511.0
525.0,503.0
532.0,495.0
537.0,493.0
551.0,510.0
553.0,517.0
550.0,523.0
533.0,537.0
532.0,533.0
536.0,529.0
545.0,527.0
551.0,523.0
586.0,521.0
592.0,524.0
601.0,526.0
603.0,533.0
600.0,536.0
577.0,533.0
571.0,524.0
568.0,514.0
579.0,491.0
584.0,496.0
588.0,503.0
591.0,513.0
594.0,524.0
593.0,532.0
594.0,538.0
596.0,512.0
596.0,500.0
601.0,494.0
633.0,499.0
642.0,510.0
650.0,521.0
654.0,533.0
656.0,570.0
654.0,570.0
654.0,563.0
654.0,513.0
654.0,500.0
656.0,492.0
657.0,488.0
662.0,493.0
650.0,526.0
642.0,534.0
635.0,540.0
645.0,537.0
656.0,535.0
665.0,531.0
681.0,564.0
683.0,580.0
686.0,593.0
685.0,606.0
686.0,631.0
684.0,626.0
682.0,612.0
679.0,599.0
675.0,527.0
677.0,514.0
678.0,504.0
675.0,505.0
673.0,513.0
687.0,549.0
693.0,552.0
700.0,553.0
704.0,551.0
700.0,520.0
704.0,516.0
709.0,514.0
714.0,511.0
722.0,511.0
755.0,534.0
760.0,543.0
754.0,548.0
750.0,554.0
725.0,536.0
723.0,526.0
728.0,517.0
732.0,510.0
761.0,505.0
765.0,510.0
767.0,518.0
768.0,530.0
746.0,545.0
751.0,536.0
751.0,536.0
757.0,533.0
791.0,522.0
801.0,523.0
807.0,523.0
806.0,540.0
790.0,538.0
790.0,538.0
786.0,534.0
791.0,505.0
798.0,501.0
804.0,502.0
811.0,510.0
816.0,541.0
814.0,535.0
816.0,527.0
825.0,502.0
828.0,507.0
834.0,516.0
839.0,528.0
848.0,528.0
846.0,520.0
846.0,510.0
844.0,503.0
845.0,525.0
849.0,529.0
853.0,537.0
861.0,534.0
868.0,519.0
867.0,511.0
867.0,507.0
868.0,501.0
870.0,496.0
875.0,496.0
899.0,518.0
901.0,525.0
897.0,531.0
878.0,535.0
874.0,528.0
872.0,519.0
869.0,510.0
885.0,494.0
891.0,498.0
891.0,498.0
898.0,523.0
897.0,521.0
899.0,512.0
897.0,485.0
896.0,470.0
895.0,454.0
887.0,413.0
882.0,407.0
873.0,440.0
880.0,448.0
890.0,457.0
900.0,463.0
951.0,502.0
962.0,515.0
969.0,529.0
972.0,542.0
968.0,566.0
965.0,556.0
966.0,542.0
968.0,492.0
966.0,481.0
966.0,480.0
964.0,479.0
963.0,496.0
949.0,536.0
942.0,541.0
942.0,541.0
953.0,538.0
963.0,536.0
979.0,530.0
984.0,533.0
1002.0,571.0
1001.0,585.0
1003.0,598.0
1003.0,598.0
1006.0,613.0
998.0,634.0
996.0,626.0
997.0,613.0
999.0,597.0
997.0,521.0
997.0,521.0
997.0,510.0
993.0,510.0
998.0,516.0
1002.0,523.0
1005.0,529.0
1013.0,535.0
1022.0,530.0
1018.0,529.0
1016.0,516.0
1014.0,508.0
1027.0,498.0
1033.0,500.0
1065.0,506.0
1081.0,515.0
1086.0,521.0
1087.0,528.0
1082.0,534.0
1063.0,529.0
1056.0,522.0
1057.0,496.0
1066.0,489.0
1070.0,489.0
1078.0,491.0
1084.0,494.0
1093.0,521.0
1088.0,528.0
1083.0,531.0
1077.0,533.0
1081.0,519.0
1087.0,518.0
1091.0,517.0
1096.0,516.0
1127.0,520.0
1130.0,525.0
1129.0,526.0
1125.0,531.0
1115.0,532.0
1102.0,510.0
1102.0,504.0
1103.0,498.0
1104.0,495.0
1107.0,489.0
1114.0,497.0
1117.0,503.0
1119.0,510.0
1123.0,517.0
1124.0,522.0
1123.0,515.0
1124.0,508.0
1124.0,500.0
1130.0,495.0
1135.0,500.0
1138.0,511.0
1136.0,519.0
1146.0,538.0
1149.0,534.0
1148.0,530.0
1149.0,522.0
1148.0,512.0
1149.0,502.0
1152.0,492.0
1151.0,499.0
1153.0,511.0
1157.0,520.0
1162.0,529.0
1176.0,528.0
1182.0,524.0
1176.0,518.0
1179.0,510.0
1195.0,491.0
1197.0,490.0
1202.0,488.0
1202.0,491.0
1205.0,513.0
1200.0,519.0
1214.0,527.0
1211.0,525.0
1198.0,502.0
1198.0,497.0
1196.0,491.0
1199.0,483.0
1215.0,485.0
1216.0,491.0
1216.0,496.0
1212.0,497.0
1213.0,512.0
1218.0,512.0
1203.0,502.0
1204.0,499.0
1216.0,503.0
1222.0,471.0
1221.0,458.0
1219.0,441.0
1218.0,427.0
1218.0,413.0
1205.0,381.0
1206.0,377.0
1201.0,394.0
1201.0,405.0
1196.0,418.0
1200.0,428.0
1222.0,466.0
1230.0,475.0
1238.0,483.0
1238.0,489.0
1219.0,515.0
1207.0,521.0
1200.0,530.0
1187.0,538.0
1179.0,550.0
1168.0,560.0
1116.0,601.0
1111.0,611.0
1109.0,619.0
1118.0,632.0
1128.0,632.0
1131.0,630.0
