x,y
379.0,614.0
381.0,609.0
381.0,583.0
378.0,567.0
380.0,551.0
378.0,538.0
382.0,485.0
381.0,480.0
383.0,475.0
383.0,484.0
385.0,489.0
384.0,493.0
384.0,497.0
391.0,514.0
398.0,516.0
406.0,520.0
426.0,528.0
425.0,528.0
423.0,524.0
401.0,515.0
395.0,513.0
394.0,510.0
392.0,508.0
403.0,502.0
408.0,502.0
423.0,488.0
429.0,482.0
442.0,485.0
444.0,491.0
448.0,500.0
451.0,514.0
455.0,532.0
468.0,609.0
469.0,615.0
467.0,615.0
467.0,615.0
456.0,576.0
456.0,560.0
456.0,542.0
456.0,524.0
453.0,496.0
456.0,485.0
455.0,488.0
457.0,495.0
473.0,524.0
477.0,525.0
477.0,520.0
477.0,511.0
476.0,503.0
481.0,489.0
483.0,489.0
486.0,489.0
490.0,492.0
496.0,499.0
499.0,506.0
492.0,520.0
490.0,513.0
492.0,505.0
492.0,505.0
501.0,487.0
505.0,490.0
506.0,494.0
510.0,514.0
511.0,521.0
509.0,523.0
508.0,512.0
510.0,508.0
509.0,499.0
512.0,495.0
524.0,476.0
529.0,476.0
530.0,474.0
535.0,474.0
560.0,484.0
567.0,489.0
573.0,494.0
580.0,511.0
573.0,546.0
564.0,547.0
558.0,549.0
556.0,538.0
562.0,534.0
573.0,527.0
581.0,525.0
587.0,523.0
593.0,522.0
594.0,519.0
591.0,492.0
591.0,492.0
594.0,486.0
600.0,483.0
619.0,511.0
620.0,521.0
621.0,522.0
617.0,519.0
615.0,497.0
616.0,490.0
626.0,482.0
628.0,483.0
643.0,511.0
646.0,520.0
648.0,523.0
647.0,521.0
644.0,516.0
644.0,516.0
643.0,507.0
648.0,479.0
653.0,483.0
655.0,487.0
661.0,496.0
663.0,506.0
667.0,514.0
667.0,498.0
664.0,490.0
664.0,480.0
666.0,477.0
668.0,497.0
672.0,506.0
677.0,511.0
689.0,504.0
689.0,495.0
689.0,488.0
691.0,483.0
693.0,479.0
698.0,478.0
715.0,490.0
717.0,498.0
717.0,507.0
698.0,507.0
695.0,502.0
691.0,492.0
694.0,486.0
702.0,477.0
719.0,493.0
720.0,501.0
721.0,507.0
717.0,487.0
718.0,474.0
719.0,463.0
716.0,449.0
715.0,431.0
713.0,420.0
702.0,401.0
697.0,406.0
692.0,417.0
699.0,446.0
706.0,455.0
714.0,463.0
724.0,471.0
718.0,492.0
708.0,499.0
702.0,503.0
692.0,507.0
650.0,523.0
641.0,535.0
633.0,540.0
626.0,546.0
622.0,549.0
637.0,555.0
644.0,553.0
647.0,549.0
653.0,541.0
655.0,537.0
652.0,536.0
638.0,526.0
636.0,525.0
636.0,528.0
632.0,547.0
625.0,551.0
618.0,560.0
611.0,568.0
602.0,578.0
599.0,583.0
601.0,597.0
605.0,593.0
614.0,587.0
622.0,582.0
671.0,552.0
682.0,545.0
697.0,537.0
712.0,529.0
767.0,508.0
780.0,507.0
789.0,507.0
800.0,509.0
818.0,522.0
822.0,530.0
826.0,542.0
828.0,557.0
831.0,573.0
833.0,608.0
831.0,603.0
832.0,595.0
833.0,582.0
833.0,512.0
836.0,499.0
836.0,487.0
839.0,479.0
839.0,485.0
839.0,501.0
837.0,507.0
840.0,513.0
856.0,521.0
863.0,521.0
868.0,518.0
872.0,514.0
871.0,509.0
856.0,489.0
851.0,485.0
848.0,485.0
847.0,492.0
850.0,491.0
854.0,491.0
860.0,491.0
868.0,491.0
885.0,514.0
887.0,520.0
890.0,525.0
888.0,523.0
889.0,522.0
887.0,488.0
887.0,481.0
890.0,477.0
889.0,475.0
891.0,480.0
888.0,515.0
886.0,522.0
884.0,529.0
876.0,541.0
876.0,543.0
877.0,545.0
878.0,545.0
880.0,547.0
902.0,564.0
909.0,568.0
916.0,572.0
921.0,579.0
927.0,579.0
921.0,575.0
921.0,569.0
927.0,540.0
935.0,533.0
940.0,526.0
948.0,520.0
955.0,515.0
982.0,513.0
983.0,516.0
981.0,520.0
977.0,520.0
955.0,510.0
951.0,505.0
950.0,499.0
950.0,493.0
968.0,484.0
973.0,486.0
980.0,492.0
983.0,499.0
984.0,518.0
983.0,514.0
984.0,500.0
984.0,500.0
984.0,494.0
986.0,488.0
1004.0,508.0
1006.0,513.0
1008.0,519.0
1010.0,516.0
1009.0,506.0
1006.0,499.0
1007.0,488.0
1008.0,485.0
1012.0,491.0
1014.0,501.0
1020.0,519.0
1023.0,523.0
1023.0,523.0
1032.0,517.0
1035.0,511.0
1032.0,505.0
1034.0,499.0
1035.0,495.0
1040.0,484.0
1046.0,479.0
1050.0,481.0
1050.0,485.0
1048.0,490.0
1045.0,496.0
1038.0,502.0
988.0,520.0
978.0,523.0
968.0,524.0
948.0,526.0
948.0,528.0
951.0,532.0
954.0,534.0
959.0,536.0
965.0,541.0
975.0,548.0
988.0,550.0
989.0,544.0
994.0,537.0
1000.0,536.0
997.0,556.0
992.0,564.0
991.0,577.0
985.0,605.0
985.0,613.0
986.0,620.0
986.0,622.0
1005.0,604.0
1008.0,600.0
1003.0,595.0
1001.0,592.0
992.0,584.0
992.0,581.0
994.0,580.0
