x,y
303.0,438.0
303.0,438.0
313.0,447.0
320.0,453.0
325.0,462.0
331.0,474.0
337.0,482.0
353.0,540.0
355.0,552.0
355.0,569.0
359.0,574.0
357.0,575.0
351.0,565.0
347.0,555.0
343.0,539.0
326.0,472.0
326.0,456.0
324.0,440.0
337.0,401.0
344.0,399.0
350.0,401.0
359.0,406.0
371.0,418.0
380.0,433.0
380.0,433.0
370.0,450.0
370.0,450.0
365.0,442.0
365.0,442.0
362.0,426.0
367.0,405.0
376.0,405.0
376.0,405.0
388.0,428.0
384.0,439.0
382.0,439.0
382.0,439.0
381.0,430.0
383.0,404.0
383.0,404.0
391.0,404.0
401.0,419.0
401.0,419.0
417.0,448.0
419.0,438.0
419.0,419.0
419.0,419.0
416.0,406.0
416.0,406.0
413.0,421.0
426.0,438.0
432.0,446.0
432.0,446.0
435.0,437.0
435.0,437.0
438.0,405.0
444.0,399.0
444.0,399.0
455.0,400.0
481.0,421.0
483.0,435.0
483.0,435.0
468.0,444.0
461.0,432.0
456.0,416.0
456.0,416.0
458.0,400.0
458.0,400.0
467.0,395.0
482.0,414.0
483.0,429.0
483.0,429.0
481.0,438.0
479.0,407.0
480.0,384.0
480.0,384.0
482.0,357.0
482.0,357.0
483.0,310.0
483.0,296.0
477.0,293.0
477.0,293.0
471.0,297.0
471.0,297.0
457.0,316.0
459.0,339.0
464.0,350.0
464.0,358.0
464.0,358.0
458.0,378.0
451.0,392.0
441.0,412.0
441.0,412.0
427.0,437.0
427.0,437.0
413.0,458.0
396.0,478.0
395.0,478.0
395.0,478.0
396.0,477.0
396.0,477.0
405.0,471.0
433.0,455.0
452.0,446.0
452.0,446.0
499.0,436.0
520.0,436.0
520.0,436.0
542.0,437.0
542.0,437.0
560.0,437.0
579.0,448.0
575.0,453.0
575.0,453.0
565.0,452.0
554.0,445.0
554.0,445.0
545.0,425.0
551.0,415.0
551.0,415.0
561.0,411.0
572.0,412.0
572.0,412.0
583.0,436.0
580.0,447.0
578.0,444.0
578.0,444.0
576.0,407.0
576.0,385.0
576.0,385.0
578.0,354.0
578.0,354.0
578.0,327.0
578.0,313.0
574.0,333.0
574.0,333.0
575.0,359.0
575.0,359.0
579.0,385.0
588.0,439.0
590.0,448.0
590.0,448.0
590.0,452.0
589.0,426.0
589.0,412.0
589.0,412.0
604.0,404.0
614.0,414.0
620.0,430.0
620.0,430.0
622.0,450.0
622.0,450.0
620.0,443.0
616.0,427.0
616.0,427.0
620.0,413.0
635.0,402.0
648.0,408.0
648.0,408.0
660.0,418.0
660.0,418.0
668.0,432.0
668.0,455.0
660.0,451.0
660.0,451.0
650.0,435.0
650.0,435.0
644.0,423.0
652.0,400.0
676.0,397.0
685.0,406.0
685.0,406.0
679.0,431.0
661.0,438.0
661.0,438.0
640.0,443.0
640.0,443.0
622.0,446.0
632.0,470.0
645.0,492.0
645.0,492.0
662.0,493.0
669.0,478.0
683.0,464.0
683.0,464.0
702.0,452.0
702.0,452.0
738.0,440.0
