x,y
66.0,411.0
63.0,413.0
66.0,433.0
76.0,442.0
81.0,455.0
93.0,459.0
99.0,416.0
101.0,397.0
101.0,378.0
97.0,366.0
116.0,408.0
122.0,424.0
131.0,435.0
140.0,442.0
151.0,401.0
153.0,386.0
154.0,375.0
162.0,394.0
162.0,411.0
172.0,422.0
190.0,416.0
189.0,403.0
191.0,390.0
195.0,374.0
223.0,375.0
232.0,390.0
237.0,403.0
243.0,414.0
242.0,428.0
238.0,409.0
238.0,396.0
237.0,385.0
243.0,377.0
249.0,371.0
259.0,373.0
269.0,380.0
276.0,389.0
285.0,430.0
284.0,430.0
284.0,422.0
280.0,411.0
288.0,371.0
295.0,371.0
302.0,377.0
313.0,383.0
320.0,396.0
325.0,406.0
328.0,434.0
328.0,423.0
323.0,414.0
320.0,402.0
323.0,381.0
326.0,368.0
330.0,361.0
352.0,380.0
348.0,391.0
343.0,400.0
334.0,414.0
325.0,427.0
315.0,438.0
272.0,482.0
264.0,494.0
259.0,505.0
256.0,511.0
255.0,514.0
256.0,513.0
288.0,484.0
299.0,474.0
313.0,461.0
326.0,451.0
342.0,439.0
357.0,431.0
418.0,413.0
431.0,421.0
443.0,431.0
452.0,447.0
461.0,461.0
492.0,548.0
495.0,565.0
497.0,571.0
493.0,575.0
489.0,570.0
480.0,557.0
475.0,538.0
458.0,438.0
458.0,412.0
461.0,390.0
462.0,376.0
468.0,368.0
476.0,366.0
510.0,393.0
510.0,407.0
509.0,413.0
502.0,419.0
496.0,423.0
490.0,421.0
483.0,414.0
483.0,409.0
507.0,398.0
518.0,398.0
527.0,400.0
534.0,403.0
538.0,408.0
539.0,414.0
536.0,419.0
533.0,420.0
512.0,404.0
510.0,391.0
509.0,384.0
513.0,377.0
520.0,369.0
526.0,369.0
545.0,399.0
546.0,406.0
544.0,417.0
542.0,416.0
541.0,412.0
538.0,404.0
537.0,393.0
542.0,383.0
562.0,382.0
567.0,388.0
571.0,395.0
573.0,407.0
573.0,421.0
574.0,423.0
573.0,421.0
567.0,377.0
574.0,370.0
573.0,369.0
574.0,372.0
573.0,380.0
577.0,392.0
578.0,403.0
595.0,418.0
595.0,414.0
593.0,399.0
592.0,388.0
592.0,379.0
594.0,370.0
609.0,377.0
614.0,386.0
621.0,398.0
629.0,419.0
638.0,442.0
659.0,529.0
660.0,538.0
660.0,538.0
658.0,526.0
651.0,513.0
645.0,495.0
632.0,410.0
633.0,397.0
631.0,381.0
634.0,373.0
635.0,377.0
639.0,390.0
642.0,408.0
666.0,429.0
671.0,425.0
666.0,413.0
657.0,399.0
658.0,388.0
658.0,379.0
659.0,374.0
667.0,380.0
673.0,385.0
667.0,413.0
647.0,421.0
630.0,433.0
546.0,447.0
531.0,447.0
520.0,448.0
515.0,449.0
524.0,457.0
533.0,463.0
533.0,463.0
546.0,473.0
580.0,493.0
580.0,485.0
580.0,475.0
580.0,465.0
584.0,455.0
601.0,439.0
616.0,436.0
674.0,428.0
685.0,427.0
694.0,427.0
705.0,427.0
715.0,429.0
724.0,435.0
731.0,439.0
735.0,435.0
726.0,403.0
723.0,396.0
726.0,394.0
729.0,387.0
741.0,424.0
752.0,433.0
758.0,433.0
757.0,426.0
756.0,411.0
749.0,399.0
749.0,399.0
745.0,381.0
748.0,389.0
750.0,399.0
762.0,424.0
771.0,428.0
772.0,427.0
773.0,393.0
772.0,390.0
774.0,365.0
774.0,363.0
782.0,364.0
786.0,365.0
803.0,377.0
809.0,374.0
817.0,384.0
816.0,411.0
811.0,419.0
802.0,419.0
797.0,414.0
790.0,403.0
789.0,393.0
789.0,387.0
800.0,378.0
805.0,369.0
834.0,374.0
834.0,374.0
836.0,391.0
834.0,405.0
831.0,416.0
827.0,424.0
815.0,407.0
819.0,400.0
825.0,400.0
833.0,400.0
842.0,404.0
863.0,421.0
863.0,430.0
867.0,440.0
866.0,443.0
864.0,443.0
861.0,436.0
860.0,429.0
859.0,389.0
858.0,377.0
859.0,370.0
865.0,369.0
869.0,372.0
870.0,384.0
874.0,396.0
872.0,400.0
865.0,408.0
842.0,433.0
833.0,438.0
825.0,444.0
816.0,452.0
814.0,460.0
819.0,467.0
834.0,467.0
838.0,459.0
839.0,452.0
836.0,447.0
836.0,447.0
812.0,426.0
809.0,428.0
808.0,434.0
806.0,440.0
780.0,462.0
774.0,469.0
774.0,469.0
768.0,478.0
771.0,483.0
775.0,489.0
818.0,518.0
