x,y
195.0,440.0
200.0,431.0
199.0,423.0
198.0,403.0
196.0,381.0
197.0,371.0
195.0,372.0
205.0,401.0
208.0,409.0
214.0,417.0
217.0,421.0
223.0,423.0
229.0,420.0
226.0,375.0
222.0,369.0
225.0,364.0
225.0,374.0
226.0,387.0
230.0,399.0
256.0,439.0
263.0,435.0
269.0,433.0
270.0,422.0
266.0,407.0
265.0,389.0
286.0,370.0
296.0,374.0
310.0,383.0
321.0,393.0
334.0,407.0
341.0,416.0
341.0,423.0
310.0,412.0
306.0,405.0
302.0,395.0
300.0,390.0
305.0,382.0
309.0,376.0
314.0,372.0
322.0,372.0
341.0,399.0
339.0,407.0
336.0,411.0
330.0,418.0
324.0,417.0
321.0,411.0
319.0,405.0
324.0,402.0
366.0,419.0
375.0,431.0
380.0,445.0
385.0,457.0
384.0,469.0
383.0,475.0
378.0,470.0
376.0,459.0
371.0,382.0
374.0,367.0
373.0,363.0
375.0,365.0
380.0,400.0
374.0,416.0
368.0,422.0
361.0,426.0
354.0,433.0
348.0,432.0
347.0,432.0
351.0,430.0
394.0,435.0
402.0,435.0
405.0,438.0
401.0,440.0
394.0,438.0
380.0,436.0
365.0,432.0
303.0,427.0
299.0,428.0
291.0,433.0
290.0,435.0
294.0,437.0
297.0,441.0
307.0,448.0
319.0,459.0
333.0,468.0
336.0,460.0
339.0,453.0
344.0,442.0
347.0,436.0
346.0,429.0
345.0,424.0
311.0,373.0
302.0,359.0
298.0,347.0
294.0,342.0
299.0,340.0
304.0,343.0
311.0,348.0
389.0,388.0
408.0,399.0
433.0,410.0
453.0,420.0
464.0,425.0
472.0,430.0
433.0,416.0
425.0,408.0
422.0,397.0
425.0,387.0
433.0,381.0
439.0,381.0
447.0,386.0
456.0,397.0
467.0,430.0
466.0,422.0
459.0,411.0
460.0,397.0
462.0,384.0
465.0,365.0
468.0,346.0
464.0,331.0
446.0,289.0
439.0,296.0
434.0,302.0
434.0,314.0
435.0,321.0
440.0,327.0
445.0,340.0
500.0,389.0
509.0,400.0
512.0,409.0
511.0,415.0
507.0,417.0
497.0,414.0
482.0,379.0
485.0,373.0
503.0,375.0
503.0,375.0
509.0,382.0
517.0,384.0
515.0,415.0
508.0,416.0
501.0,415.0
494.0,412.0
494.0,406.0
502.0,401.0
513.0,402.0
513.0,402.0
552.0,413.0
564.0,415.0
574.0,415.0
590.0,413.0
581.0,419.0
570.0,421.0
559.0,418.0
539.0,401.0
534.0,394.0
533.0,389.0
536.0,385.0
538.0,379.0
546.0,375.0
556.0,371.0
587.0,378.0
588.0,383.0
581.0,387.0
570.0,391.0
557.0,394.0
545.0,401.0
529.0,402.0
516.0,408.0
508.0,413.0
521.0,449.0
521.0,449.0
535.0,458.0
548.0,465.0
556.0,465.0
550.0,456.0
548.0,440.0
552.0,433.0
559.0,427.0
568.0,423.0
576.0,421.0
576.0,421.0
621.0,399.0
637.0,401.0
649.0,407.0
664.0,422.0
671.0,428.0
673.0,429.0
672.0,426.0
667.0,424.0
669.0,378.0
669.0,361.0
666.0,336.0
667.0,321.0
664.0,296.0
667.0,294.0
666.0,300.0
663.0,351.0
664.0,361.0
665.0,381.0
666.0,397.0
676.0,419.0
686.0,420.0
686.0,406.0
687.0,388.0
685.0,385.0
682.0,383.0
675.0,380.0
670.0,378.0
667.0,379.0
674.0,388.0
677.0,387.0
686.0,383.0
686.0,383.0
690.0,385.0
697.0,390.0
702.0,402.0
733.0,501.0
733.0,523.0
735.0,540.0
734.0,552.0
733.0,558.0
729.0,558.0
729.0,558.0
727.0,552.0
716.0,454.0
716.0,427.0
715.0,402.0
713.0,388.0
716.0,381.0
715.0,401.0
722.0,416.0
731.0,434.0
734.0,440.0
739.0,440.0
745.0,438.0
745.0,432.0
744.0,422.0
750.0,392.0
758.0,391.0
779.0,397.0
792.0,408.0
799.0,417.0
806.0,425.0
808.0,434.0
782.0,433.0
774.0,425.0
768.0,410.0
768.0,410.0
772.0,394.0
776.0,390.0
783.0,392.0
808.0,419.0
809.0,431.0
803.0,442.0
798.0,444.0
785.0,453.0
775.0,451.0
766.0,449.0
764.0,447.0
768.0,455.0
779.0,460.0
789.0,473.0
803.0,482.0
810.0,488.0
814.0,489.0
818.0,480.0
832.0,449.0
835.0,448.0
837.0,449.0
837.0,456.0
835.0,466.0
831.0,471.0
830.0,474.0
846.0,486.0
857.0,490.0
867.0,500.0
874.0,506.0
878.0,512.0
878.0,513.0
877.0,510.0
864.0,477.0
861.0,464.0
858.0,453.0
859.0,445.0
863.0,437.0
866.0,429.0
874.0,426.0
904.0,427.0
909.0,436.0
912.0,442.0
914.0,441.0
913.0,436.0
911.0,429.0
907.0,415.0
907.0,399.0
911.0,402.0
912.0,416.0
918.0,427.0
924.0,433.0
934.0,439.0
940.0,435.0
940.0,428.0
940.0,391.0
945.0,386.0
947.0,389.0
949.0,395.0
954.0,403.0
963.0,415.0
972.0,430.0
979.0,449.0
995.0,522.0
995.0,533.0
990.0,541.0
984.0,540.0
981.0,535.0
975.0,525.0
965.0,442.0
963.0,415.0
959.0,401.0
959.0,389.0
956.0,383.0
956.0,387.0
957.0,397.0
964.0,412.0
989.0,436.0
992.0,434.0
993.0,426.0
994.0,420.0
992.0,410.0
994.0,399.0
998.0,393.0
1002.0,388.0
1043.0,395.0
1058.0,402.0
1064.0,411.0
1069.0,424.0
1071.0,434.0
1066.0,440.0
1062.0,443.0
1040.0,418.0
1035.0,409.0
1037.0,401.0
1042.0,392.0
1046.0,391.0
1053.0,388.0
1072.0,431.0
1066.0,442.0
1061.0,455.0
1053.0,465.0
1045.0,487.0
1044.0,498.0
1038.0,508.0
1050.0,529.0
1059.0,527.0
1061.0,525.0
1069.0,519.0
1068.0,513.0
1071.0,507.0
1046.0,481.0
1042.0,481.0
1036.0,478.0
1033.0,479.0
