x,y
139.0,394.0
141.0,392.0
141.0,393.0
139.0,395.0
145.0,398.0
152.0,409.0
156.0,413.0
161.0,411.0
164.0,365.0
165.0,354.0
163.0,345.0
162.0,344.0
167.0,356.0
178.0,383.0
182.0,392.0
209.0,390.0
209.0,390.0
209.0,380.0
212.0,367.0
211.0,359.0
248.0,360.0
259.0,365.0
270.0,374.0
278.0,382.0
281.0,390.0
280.0,398.0
256.0,401.0
240.0,391.0
235.0,384.0
234.0,376.0
235.0,366.0
238.0,358.0
243.0,351.0
268.0,353.0
278.0,365.0
280.0,376.0
284.0,389.0
285.0,391.0
282.0,386.0
278.0,340.0
279.0,319.0
281.0,303.0
281.0,303.0
275.0,296.0
273.0,287.0
267.0,286.0
260.0,317.0
265.0,328.0
274.0,337.0
285.0,345.0
296.0,355.0
312.0,362.0
352.0,395.0
352.0,400.0
347.0,400.0
339.0,400.0
331.0,396.0
322.0,389.0
317.0,352.0
317.0,352.0
330.0,344.0
341.0,343.0
350.0,343.0
368.0,376.0
367.0,384.0
353.0,392.0
348.0,387.0
346.0,383.0
364.0,371.0
371.0,372.0
379.0,377.0
386.0,382.0
394.0,389.0
396.0,395.0
397.0,401.0
398.0,403.0
388.0,368.0
387.0,354.0
386.0,346.0
389.0,340.0
391.0,335.0
393.0,339.0
398.0,375.0
398.0,389.0
398.0,401.0
398.0,410.0
397.0,417.0
394.0,420.0
389.0,420.0
351.0,419.0
342.0,419.0
328.0,420.0
319.0,423.0
307.0,423.0
303.0,427.0
326.0,450.0
337.0,458.0
344.0,463.0
350.0,461.0
353.0,457.0
354.0,447.0
361.0,438.0
367.0,430.0
412.0,408.0
426.0,407.0
439.0,402.0
451.0,396.0
475.0,398.0
472.0,399.0
466.0,394.0
459.0,394.0
452.0,390.0
445.0,383.0
441.0,378.0
440.0,371.0
468.0,353.0
479.0,359.0
489.0,368.0
497.0,381.0
510.0,398.0
520.0,416.0
526.0,439.0
536.0,495.0
534.0,497.0
529.0,494.0
522.0,482.0
517.0,470.0
510.0,450.0
497.0,402.0
481.0,343.0
483.0,341.0
483.0,348.0
484.0,357.0
487.0,371.0
490.0,379.0
498.0,387.0
502.0,391.0
510.0,361.0
518.0,339.0
527.0,343.0
552.0,382.0
554.0,385.0
552.0,383.0
548.0,377.0
545.0,365.0
540.0,353.0
542.0,342.0
544.0,335.0
569.0,353.0
571.0,364.0
575.0,374.0
575.0,378.0
576.0,378.0
575.0,374.0
569.0,364.0
566.0,353.0
585.0,337.0
591.0,338.0
601.0,340.0
613.0,347.0
626.0,354.0
636.0,362.0
646.0,371.0
613.0,379.0
602.0,373.0
592.0,362.0
589.0,354.0
587.0,341.0
595.0,331.0
602.0,326.0
611.0,328.0
637.0,365.0
640.0,372.0
641.0,372.0
638.0,372.0
632.0,364.0
631.0,351.0
634.0,343.0
636.0,332.0
651.0,327.0
653.0,331.0
654.0,345.0
653.0,355.0
643.0,361.0
600.0,403.0
588.0,414.0
579.0,423.0
572.0,435.0
566.0,441.0
562.0,444.0
561.0,448.0
589.0,435.0
600.0,423.0
614.0,416.0
627.0,409.0
644.0,402.0
707.0,385.0
718.0,383.0
724.0,382.0
726.0,383.0
722.0,384.0
716.0,382.0
707.0,378.0
698.0,377.0
676.0,352.0
681.0,343.0
688.0,336.0
692.0,333.0
706.0,332.0
718.0,331.0
765.0,345.0
775.0,354.0
780.0,362.0
781.0,370.0
781.0,374.0
776.0,376.0
766.0,374.0
757.0,368.0
739.0,331.0
740.0,325.0
748.0,319.0
756.0,317.0
765.0,319.0
776.0,322.0
781.0,328.0
788.0,370.0
780.0,380.0
774.0,384.0
766.0,386.0
759.0,385.0
749.0,382.0
744.0,380.0
744.0,380.0
767.0,401.0
769.0,412.0
776.0,418.0
779.0,424.0
787.0,419.0
794.0,417.0
797.0,412.0
823.0,385.0
823.0,389.0
827.0,391.0
825.0,399.0
821.0,408.0
819.0,415.0
815.0,424.0
799.0,479.0
802.0,485.0
809.0,497.0
813.0,500.0
815.0,504.0
818.0,502.0
822.0,498.0
823.0,494.0
818.0,486.0
817.0,480.0
795.0,452.0
798.0,454.0
806.0,443.0
842.0,406.0
848.0,397.0
856.0,383.0
877.0,373.0
889.0,375.0
893.0,384.0
893.0,384.0
914.0,437.0
915.0,457.0
920.0,468.0
920.0,479.0
920.0,486.0
918.0,477.0
918.0,461.0
911.0,403.0
909.0,384.0
909.0,363.0
907.0,345.0
906.0,335.0
906.0,332.0
913.0,336.0
917.0,344.0
931.0,368.0
937.0,374.0
942.0,379.0
951.0,381.0
958.0,383.0
959.0,383.0
959.0,380.0
942.0,372.0
933.0,365.0
926.0,361.0
926.0,348.0
934.0,343.0
943.0,341.0
953.0,336.0
960.0,335.0
966.0,340.0
980.0,378.0
981.0,382.0
981.0,380.0
981.0,374.0
981.0,374.0
979.0,368.0
980.0,357.0
979.0,346.0
997.0,350.0
1001.0,361.0
1005.0,372.0
1009.0,380.0
1011.0,384.0
1006.0,367.0
1004.0,354.0
1001.0,332.0
999.0,336.0
1001.0,339.0
1007.0,349.0
1012.0,362.0
1016.0,371.0
1037.0,377.0
1037.0,375.0
1035.0,346.0
1034.0,340.0
1036.0,332.0
1041.0,334.0
1047.0,340.0
1068.0,407.0
1077.0,428.0
1079.0,448.0
1083.0,483.0
1084.0,493.0
1084.0,499.0
1084.0,499.0
1083.0,452.0
1084.0,427.0
1082.0,414.0
1082.0,414.0
1075.0,396.0
1072.0,356.0
1068.0,342.0
1067.0,336.0
1082.0,370.0
1084.0,380.0
1091.0,387.0
1098.0,394.0
1105.0,394.0
1105.0,394.0
1112.0,388.0
1112.0,361.0
1116.0,346.0
1122.0,342.0
1129.0,344.0
1131.0,345.0
1116.0,376.0
1104.0,382.0
1087.0,389.0
1070.0,395.0
1046.0,402.0
1032.0,405.0
972.0,420.0
965.0,423.0
968.0,425.0
972.0,428.0
983.0,431.0
992.0,438.0
1029.0,457.0
1033.0,458.0
1035.0,459.0
