x,y
262.0,490.0
261.0,490.0
261.0,490.0
259.0,493.0
259.0,493.0
257.0,498.0
243.0,502.0
238.0,495.0
238.0,495.0
235.0,483.0
231.0,472.0
231.0,472.0
240.0,453.0
256.0,480.0
256.0,480.0
272.0,529.0
272.0,553.0
272.0,553.0
269.0,579.0
273.0,573.0
270.0,550.0
270.0,550.0
269.0,528.0
269.0,528.0
267.0,477.0
269.0,462.0
272.0,460.0
272.0,460.0
272.0,484.0
267.0,500.0
267.0,500.0
261.0,514.0
258.0,529.0
258.0,529.0
240.0,543.0
238.0,544.0
243.0,543.0
243.0,543.0
282.0,548.0
292.0,548.0
293.0,548.0
293.0,548.0
293.0,537.0
293.0,537.0
287.0,513.0
286.0,499.0
286.0,499.0
288.0,489.0
301.0,482.0
309.0,481.0
316.0,484.0
325.0,488.0
329.0,493.0
334.0,498.0
323.0,506.0
317.0,501.0
313.0,492.0
307.0,482.0
304.0,475.0
303.0,467.0
303.0,462.0
309.0,458.0
339.0,472.0
346.0,481.0
352.0,490.0
354.0,498.0
354.0,502.0
356.0,498.0
357.0,489.0
359.0,458.0
358.0,460.0
357.0,469.0
363.0,481.0
367.0,490.0
369.0,500.0
371.0,501.0
374.0,492.0
373.0,455.0
376.0,456.0
378.0,460.0
400.0,481.0
403.0,473.0
404.0,462.0
403.0,457.0
409.0,455.0
411.0,452.0
413.0,469.0
402.0,478.0
394.0,487.0
380.0,499.0
375.0,504.0
362.0,512.0
353.0,515.0
320.0,521.0
315.0,521.0
311.0,520.0
307.0,522.0
308.0,524.0
307.0,527.0
312.0,528.0
313.0,535.0
345.0,548.0
348.0,546.0
351.0,539.0
353.0,532.0
361.0,528.0
366.0,525.0
371.0,522.0
398.0,508.0
406.0,504.0
415.0,498.0
424.0,498.0
434.0,494.0
443.0,495.0
469.0,523.0
474.0,535.0
476.0,543.0
477.0,550.0
475.0,555.0
474.0,550.0
473.0,499.0
477.0,485.0
479.0,477.0
485.0,471.0
489.0,468.0
493.0,467.0
494.0,473.0
480.0,509.0
459.0,520.0
449.0,520.0
448.0,520.0
450.0,519.0
490.0,522.0
499.0,525.0
501.0,528.0
505.0,527.0
505.0,524.0
501.0,521.0
499.0,512.0
498.0,504.0
504.0,476.0
511.0,477.0
514.0,476.0
523.0,482.0
527.0,494.0
534.0,505.0
538.0,520.0
523.0,538.0
522.0,528.0
528.0,523.0
533.0,521.0
537.0,519.0
550.0,493.0
546.0,485.0
549.0,481.0
556.0,480.0
561.0,482.0
570.0,489.0
579.0,495.0
587.0,502.0
580.0,524.0
573.0,520.0
563.0,513.0
562.0,505.0
560.0,497.0
561.0,486.0
579.0,488.0
583.0,492.0
585.0,502.0
587.0,510.0
587.0,515.0
584.0,513.0
583.0,509.0
584.0,497.0
597.0,483.0
601.0,486.0
605.0,497.0
610.0,509.0
613.0,518.0
617.0,521.0
617.0,523.0
620.0,485.0
617.0,477.0
616.0,477.0
613.0,483.0
617.0,494.0
631.0,508.0
636.0,491.0
639.0,482.0
644.0,478.0
644.0,478.0
651.0,476.0
678.0,489.0
681.0,498.0
679.0,506.0
670.0,511.0
654.0,509.0
647.0,483.0
648.0,478.0
657.0,472.0
660.0,473.0
668.0,478.0
673.0,486.0
677.0,494.0
678.0,503.0
675.0,504.0
670.0,470.0
674.0,441.0
674.0,426.0
669.0,414.0
666.0,404.0
662.0,401.0
656.0,401.0
649.0,411.0
652.0,446.0
652.0,446.0
658.0,456.0
663.0,463.0
673.0,490.0
659.0,498.0
647.0,501.0
635.0,507.0
623.0,514.0
612.0,519.0
599.0,524.0
565.0,547.0
555.0,554.0
549.0,559.0
544.0,566.0
546.0,563.0
548.0,562.0
549.0,554.0
563.0,534.0
572.0,530.0
581.0,533.0
593.0,540.0
601.0,548.0
606.0,559.0
614.0,541.0
622.0,532.0
632.0,523.0
666.0,502.0
681.0,498.0
708.0,503.0
719.0,511.0
730.0,519.0
739.0,531.0
741.0,544.0
744.0,555.0
744.0,560.0
742.0,549.0
741.0,531.0
740.0,499.0
744.0,481.0
746.0,472.0
747.0,472.0
745.0,478.0
739.0,490.0
715.0,529.0
712.0,531.0
711.0,530.0
714.0,528.0
728.0,523.0
738.0,519.0
750.0,519.0
768.0,525.0
767.0,518.0
765.0,508.0
765.0,508.0
762.0,495.0
766.0,482.0
769.0,483.0
792.0,518.0
797.0,520.0
799.0,517.0
796.0,508.0
797.0,493.0
797.0,493.0
798.0,484.0
799.0,481.0
814.0,515.0
818.0,515.0
821.0,511.0
822.0,500.0
823.0,487.0
828.0,477.0
841.0,493.0
850.0,509.0
855.0,527.0
861.0,552.0
866.0,574.0
869.0,594.0
870.0,608.0
865.0,614.0
859.0,580.0
855.0,536.0
852.0,513.0
851.0,492.0
846.0,480.0
846.0,476.0
857.0,510.0
862.0,516.0
867.0,519.0
873.0,521.0
876.0,515.0
875.0,506.0
872.0,497.0
882.0,475.0
886.0,475.0
891.0,480.0
892.0,487.0
889.0,496.0
879.0,505.0
867.0,513.0
851.0,515.0
784.0,535.0
769.0,540.0
758.0,544.0
744.0,564.0
767.0,564.0
777.0,551.0
783.0,541.0
792.0,537.0
799.0,540.0
808.0,549.0
816.0,576.0
816.0,574.0
816.0,570.0
817.0,565.0
816.0,557.0
820.0,551.0
824.0,551.0
839.0,538.0
847.0,534.0
852.0,530.0
860.0,527.0
869.0,523.0
878.0,521.0
889.0,521.0
900.0,521.0
928.0,530.0
934.0,532.0
934.0,526.0
933.0,524.0
934.0,514.0
934.0,506.0
932.0,496.0
931.0,491.0
933.0,495.0
941.0,504.0
940.0,513.0
945.0,520.0
951.0,525.0
954.0,525.0
955.0,492.0
955.0,481.0
954.0,477.0
955.0,478.0
958.0,483.0
958.0,498.0
961.0,508.0
986.0,531.0
989.0,528.0
993.0,521.0
994.0,513.0
993.0,502.0
990.0,491.0
992.0,483.0
994.0,482.0
1013.0,511.0
1015.0,517.0
1019.0,526.0
1024.0,531.0
1019.0,534.0
1019.0,530.0
1014.0,489.0
1012.0,483.0
1017.0,484.0
1019.0,485.0
1025.0,487.0
1038.0,492.0
1042.0,498.0
1050.0,503.0
1081.0,515.0
1089.0,519.0
1095.0,520.0
1102.0,521.0
1098.0,522.0
1097.0,522.0
1093.0,521.0
1072.0,507.0
1071.0,505.0
1069.0,500.0
1071.0,493.0
1069.0,488.0
1089.0,473.0
1095.0,476.0
1102.0,478.0
1111.0,486.0
1120.0,497.0
1129.0,513.0
1138.0,530.0
1150.0,604.0
1151.0,615.0
1148.0,621.0
1141.0,619.0
1138.0,616.0
1134.0,603.0
1134.0,586.0
1134.0,569.0
1139.0,495.0
1143.0,486.0
1140.0,480.0
1140.0,482.0
1139.0,486.0
1153.0,512.0
1157.0,518.0
1166.0,522.0
1171.0,522.0
1174.0,522.0
1176.0,495.0
1174.0,487.0
1177.0,482.0
1184.0,479.0
1188.0,479.0
1192.0,482.0
1194.0,487.0
1191.0,489.0
1156.0,506.0
1143.0,512.0
1127.0,519.0
1110.0,526.0
1094.0,534.0
1043.0,558.0
1035.0,561.0
1034.0,562.0
1030.0,558.0
1030.0,553.0
1032.0,545.0
1038.0,487.0
1038.0,471.0
1034.0,455.0
1032.0,444.0
1034.0,435.0
1037.0,438.0
1034.0,441.0
