x,y
371.0,446.0
375.0,447.0
375.0,455.0
375.0,455.0
373.0,466.0
366.0,480.0
366.0,480.0
346.0,490.0
335.0,477.0
330.0,465.0
330.0,465.0
341.0,442.0
355.0,436.0
355.0,436.0
365.0,445.0
370.0,499.0
369.0,527.0
369.0,527.0
364.0,561.0
364.0,561.0
358.0,577.0
355.0,555.0
361.0,517.0
361.0,517.0
373.0,454.0
380.0,433.0
383.0,436.0
383.0,436.0
376.0,477.0
365.0,500.0
353.0,520.0
353.0,520.0
339.0,532.0
339.0,532.0
332.0,537.0
340.0,537.0
355.0,539.0
355.0,539.0
373.0,544.0
373.0,544.0
398.0,554.0
399.0,551.0
399.0,551.0
391.0,537.0
391.0,537.0
385.0,518.0
400.0,492.0
417.0,485.0
417.0,485.0
431.0,482.0
431.0,482.0
441.0,489.0
426.0,493.0
413.0,485.0
413.0,485.0
407.0,471.0
410.0,445.0
423.0,438.0
423.0,438.0
435.0,437.0
445.0,445.0
441.0,480.0
441.0,480.0
422.0,483.0
424.0,473.0
424.0,473.0
435.0,465.0
450.0,465.0
450.0,465.0
479.0,486.0
483.0,497.0
483.0,497.0
480.0,497.0
480.0,497.0
476.0,485.0
476.0,442.0
485.0,431.0
485.0,431.0
489.0,429.0
492.0,438.0
492.0,438.0
489.0,477.0
482.0,497.0
465.0,510.0
449.0,505.0
416.0,501.0
416.0,501.0
407.0,501.0
416.0,514.0
426.0,525.0
426.0,525.0
434.0,533.0
434.0,533.0
435.0,529.0
448.0,506.0
456.0,494.0
456.0,494.0
470.0,485.0
470.0,485.0
486.0,477.0
524.0,476.0
540.0,481.0
540.0,481.0
555.0,487.0
555.0,487.0
562.0,485.0
560.0,456.0
562.0,446.0
562.0,446.0
553.0,444.0
559.0,472.0
578.0,484.0
578.0,484.0
584.0,465.0
583.0,447.0
583.0,447.0
582.0,451.0
585.0,466.0
591.0,477.0
599.0,483.0
611.0,474.0
608.0,465.0
609.0,454.0
610.0,447.0
615.0,439.0
622.0,439.0
656.0,458.0
660.0,466.0
660.0,474.0
652.0,484.0
648.0,488.0
618.0,474.0
617.0,463.0
617.0,454.0
620.0,444.0
624.0,437.0
632.0,436.0
654.0,465.0
657.0,475.0
659.0,482.0
660.0,488.0
660.0,486.0
658.0,481.0
666.0,433.0
672.0,426.0
678.0,426.0
685.0,430.0
702.0,497.0
707.0,513.0
710.0,527.0
710.0,535.0
711.0,534.0
700.0,485.0
699.0,467.0
700.0,451.0
701.0,435.0
706.0,426.0
714.0,449.0
711.0,459.0
707.0,465.0
682.0,491.0
681.0,490.0
679.0,492.0
683.0,490.0
690.0,489.0
727.0,488.0
734.0,489.0
737.0,489.0
734.0,491.0
726.0,495.0
674.0,505.0
658.0,510.0
644.0,515.0
634.0,520.0
612.0,548.0
611.0,548.0
609.0,534.0
612.0,523.0
644.0,514.0
651.0,519.0
669.0,553.0
666.0,557.0
662.0,558.0
655.0,555.0
647.0,548.0
633.0,543.0
635.0,546.0
641.0,553.0
662.0,584.0
668.0,590.0
676.0,597.0
683.0,597.0
683.0,574.0
686.0,565.0
690.0,555.0
699.0,544.0
705.0,531.0
716.0,520.0
757.0,478.0
767.0,470.0
777.0,464.0
785.0,457.0
791.0,451.0
814.0,453.0
816.0,462.0
819.0,474.0
824.0,489.0
827.0,502.0
829.0,520.0
806.0,531.0
808.0,521.0
810.0,511.0
816.0,503.0
826.0,498.0
836.0,490.0
863.0,464.0
863.0,457.0
862.0,454.0
856.0,451.0
846.0,447.0
827.0,451.0
827.0,453.0
832.0,454.0
832.0,454.0
838.0,453.0
